,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,IBSG,54,54
1,2.0,FA Club FUG,49,49
2,3.0,HE,47,47
3,4.0,EniGma,32,32
4,5.0,YaBaL,31,31
5,6.0,BKMN,29,29
6,7.0,SyS,27,27
7,8.0,LAG,19,19
8,9.0,TVN,14,14
9,10.0,Next,14,14
10,11.0,JDT,11,11
11,12.0,Doria_VS_Gratin,8,8
12,13.0,Extreme,4,4
