,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,xD,70,70
3,2.,Good Vibes,60,60
4,3.,LVG,53,53
5,4.,Inglorious,31,31
6,5.,Aim Assist GG,27,27
7,6.,Lunas Superiores,23,23
8,7.,Washed Bois,21,21
9,8.,Vendetta,18,18
10,9.,Poutine Taco,17,17
11,10.,Kraken,13,13
12,11.,evanescence,12,12
13,12.,Bear Gang,12,12
14,13.,New Legends,10,10
15,14.,PVE esports,7,7
16,15.,Team Savage,6,6
