,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,BOT,109,109
3,2.,Shady Kings,47,47
4,3.,ATRX,31,31
5,4.,Team_Supr3me,28,28
6,5.,Hold The Door,28,28
7,6.,NoGiveupGaming,27,27
8,7.,Dark Matter,16,16
9,8.,Anfield,14,14
10,9.,RISK,13,13
11,10.,Filii Martis,13,13
12,11.,Unicorn Guild,11,11
13,12.,1k,10,10
14,13.,Battle Axe GG,8,8
15,14.,Dastardly Sharks,7,7
16,15.,VermillionKnights,0,0
