Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,PQL,Region
1,Jamboree,79,2,12,2,21,9,3,1,11,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
2,Lunatics,43,9,1,3,12,8,3,4,11,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
3,DCN,40,1,11,4,1,10,1,6,5,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
4,Ace1,32,17,3,9,6,3,8,10,4,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
5,QueenSquadRoyal,30,13,0,14,0,1,13,15,2,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
6,LandMarkGondola,28,12,0,7,4,11,3,2,7,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
7,NANB,26,3,6,1,1,18,0,20,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
8,InTheSky,23,4,12,6,2,14,0,18,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
9,MRB,21,15,0,15,0,2,9,14,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
10,KaisenDONDON,20,5,2,11,0,12,2,3,3,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
11,NFM,14,6,5,16,0,19,0,13,5,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
12,Yoropikumin,13,20,0,20,0,5,8,12,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
13,Luna Llena,13,10,2,17,0,4,0,7,1,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
14,MiJP,12,18,0,5,5,15,0,11,1,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
15,BeastMode,11,8,3,13,0,17,0,5,1,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
16,Fujii Gaming,10,7,0,12,3,13,2,19,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
17,NAT,10,16,0,10,1,7,2,8,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
18,EB,7,11,0,18,0,6,3,16,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
19,WYV,5,14,0,8,0,16,0,9,0,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
20,SAEKO,3,19,0,19,0,20,0,17,3,Lobby 3,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
1,456,59,3,2,3,6,4,13,1,7,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
2,EXiA KR,52,6,3,19,3,2,9,3,18,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
3,Marine,51,1,13,1,10,13,2,16,1,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
4,Black,36,10,2,5,8,3,6,9,5,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
5,TSURUGI,34,2,7,2,2,5,2,18,1,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
6,ORC,29,17,0,7,4,20,0,2,13,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
7,RPG,26,5,4,4,4,6,2,10,2,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
8,ARK5,23,16,0,6,1,1,6,11,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
9,GODOsushiTabetai,18,7,4,13,0,15,1,5,4,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
10,RDO,18,11,3,10,2,8,1,4,2,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
11,R.AtR,17,14,7,17,1,12,1,7,3,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
12,NrTv.Vs,17,4,2,11,2,9,3,8,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
13,C-VA KAG,13,15,0,9,4,11,4,13,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
14,Kingdom,11,9,3,8,2,16,1,12,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
15,Crest,10,8,3,15,0,7,1,19,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
16,Welfare,9,13,0,16,2,18,0,6,3,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
17,CPGaming,6,12,1,20,0,19,3,14,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
18,MZB,5,19,0,12,2,10,0,20,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
19,Zenith,4,20,0,14,3,17,0,17,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
20,monkey,2,18,0,18,0,14,0,15,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1,APAC_North
1,LFT BKGK,79,14,0,1,14,12,3,1,6,Lobby 1,Semifinals,20,0,1,18,Preseason_Qualifier_1,APAC_North
2,FC Destroy,59,2,5,12,9,9,14,6,5,Lobby 1,Semifinals,15,3,5,3,Preseason_Qualifier_1,APAC_North
3,CJAM,54,12,0,2,4,2,4,4,8,Lobby 1,Semifinals,3,7,19,0,Preseason_Qualifier_1,APAC_North
4,BKMN,47,13,2,3,4,3,5,3,7,Lobby 1,Semifinals,4,2,20,0,Preseason_Qualifier_1,APAC_North
5,IBSG,44,8,7,7,2,8,0,5,3,Lobby 1,Semifinals,1,8,12,0,Preseason_Qualifier_1,APAC_North
6,AVA,43,6,0,16,0,5,3,2,9,Lobby 1,Semifinals,6,4,4,3,Preseason_Qualifier_1,APAC_North
7,GW,39,1,14,10,4,17,0,14,1,Lobby 1,Semifinals,16,4,16,1,Preseason_Qualifier_1,APAC_North
8,D4RK,37,18,0,17,2,10,1,18,1,Lobby 1,Semifinals,2,4,3,11,Preseason_Qualifier_1,APAC_North
9,SYTH,36,4,8,8,2,20,0,10,4,Lobby 1,Semifinals,9,5,6,3,Preseason_Qualifier_1,APAC_North
10,HE,35,11,1,4,3,1,9,17,1,Lobby 1,Semifinals,10,1,18,0,Preseason_Qualifier_1,APAC_North
11,LAG,32,5,3,14,4,18,0,16,3,Lobby 1,Semifinals,5,3,2,1,Preseason_Qualifier_1,APAC_North
12,TW,26,3,8,11,3,13,3,19,0,Lobby 1,Semifinals,19,0,9,1,Preseason_Qualifier_1,APAC_North
13,Joel Mark,26,16,0,5,3,4,6,20,0,Lobby 1,Semifinals,12,2,10,3,Preseason_Qualifier_1,APAC_North
14,NOVA,23,10,2,6,4,16,0,8,0,Lobby 1,Semifinals,17,5,8,3,Preseason_Qualifier_1,APAC_North
15,WGT,18,20,0,19,0,14,0,9,6,Lobby 1,Semifinals,7,0,7,3,Preseason_Qualifier_1,APAC_North
16,LapiLegends,17,15,3,13,0,7,4,11,0,Lobby 1,Semifinals,14,3,17,0,Preseason_Qualifier_1,APAC_North
17,Japan LFT desu,15,7,1,9,0,15,0,7,2,Lobby 1,Semifinals,8,0,13,0,Preseason_Qualifier_1,APAC_North
18,UC,13,19,0,18,0,6,2,13,0,Lobby 1,Semifinals,11,4,14,1,Preseason_Qualifier_1,APAC_North
19,FA Club FUG,11,17,0,20,0,19,0,12,4,Lobby 1,Semifinals,13,1,11,3,Preseason_Qualifier_1,APAC_North
20,YaBaL,11,9,1,15,0,11,3,15,0,Lobby 1,Semifinals,18,0,15,1,Preseason_Qualifier_1,APAC_North
1,Lunatics,86,5,10,10,4,7,5,4,23,Lobby 2,Semifinals,12,2,1,15,Preseason_Qualifier_1,APAC_North
2,RPG,70,2,4,1,10,4,7,11,0,Lobby 2,Semifinals,1,8,9,0,Preseason_Qualifier_1,APAC_North
3,Marine,62,4,11,9,3,5,7,1,6,Lobby 2,Semifinals,16,4,7,5,Preseason_Qualifier_1,APAC_North
4,456,48,1,11,4,5,20,0,3,5,Lobby 2,Semifinals,19,1,18,2,Preseason_Qualifier_1,APAC_North
5,GODOsushiTabetai,47,7,2,14,1,8,4,13,0,Lobby 2,Semifinals,2,14,6,7,Preseason_Qualifier_1,APAC_North
6,Black,47,12,0,7,3,1,14,15,1,Lobby 2,Semifinals,4,3,8,2,Preseason_Qualifier_1,APAC_North
7,ARK5,44,13,3,6,1,18,0,2,2,Lobby 2,Semifinals,5,6,2,6,Preseason_Qualifier_1,APAC_North
8,LandMarkGondola,35,10,1,12,1,17,0,5,3,Lobby 2,Semifinals,9,5,3,9,Preseason_Qualifier_1,APAC_North
9,Jamboree,31,17,1,2,7,14,3,14,6,Lobby 2,Semifinals,18,1,10,0,Preseason_Qualifier_1,APAC_North
10,KaisenDONDON,30,3,6,18,0,2,5,18,1,Lobby 2,Semifinals,20,0,13,1,Preseason_Qualifier_1,APAC_North
11,ORC,26,20,0,19,0,3,5,7,3,Lobby 2,Semifinals,10,2,5,0,Preseason_Qualifier_1,APAC_North
12,Ace1,24,8,2,8,2,9,1,12,0,Lobby 2,Semifinals,3,4,14,0,Preseason_Qualifier_1,APAC_North
13,RDO,22,19,0,3,4,12,1,9,3,Lobby 2,Semifinals,13,1,12,1,Preseason_Qualifier_1,APAC_North
14,TSURUGI,20,6,1,5,6,10,0,20,0,Lobby 2,Semifinals,6,0,15,0,Preseason_Qualifier_1,APAC_North
15,EXiA KR,18,15,5,16,3,16,1,6,2,Lobby 2,Semifinals,15,2,20,0,Preseason_Qualifier_1,APAC_North
16,NANB,14,16,0,13,8,13,0,8,0,Lobby 2,Semifinals,11,1,16,0,Preseason_Qualifier_1,APAC_North
17,InTheSky,13,18,0,15,0,19,0,17,0,Lobby 2,Semifinals,17,0,4,7,Preseason_Qualifier_1,APAC_North
18,QueenSquadRoyal,13,11,0,11,0,15,2,10,1,Lobby 2,Semifinals,7,1,19,1,Preseason_Qualifier_1,APAC_North
19,DCN,11,9,0,20,0,6,0,16,1,Lobby 2,Semifinals,8,0,11,2,Preseason_Qualifier_1,APAC_North
20,MRB,10,14,0,17,0,11,1,19,0,Lobby 2,Semifinals,14,4,17,2,Preseason_Qualifier_1,APAC_North
1,CJAM,67,1,13,4,7,18,0,2,4,Lobby 1,Finals,11,1,2,6,Preseason_Qualifier_1,APAC_North
2,D4RK,59,11,0,9,1,1,11,8,3,Lobby 1,Finals,6,3,1,9,Preseason_Qualifier_1,APAC_North
3,LFT BKGK,53,4,3,12,6,8,3,5,11,Lobby 1,Finals,7,3,3,5,Preseason_Qualifier_1,APAC_North
4,Lunatics,50,10,4,11,8,3,5,3,5,Lobby 1,Finals,8,3,7,3,Preseason_Qualifier_1,APAC_North
5,GODOsushiTabetai,42,2,3,1,7,14,2,14,3,Lobby 1,Finals,16,0,5,0,Preseason_Qualifier_1,APAC_North
6,GW,41,14,2,2,6,5,1,6,2,Lobby 1,Finals,14,2,6,7,Preseason_Qualifier_1,APAC_North
7,KaisenDONDON,35,5,4,6,1,12,2,11,0,Lobby 1,Finals,5,3,4,7,Preseason_Qualifier_1,APAC_North
8,IBSG,35,3,9,8,1,9,1,20,0,Lobby 1,Finals,2,4,17,0,Preseason_Qualifier_1,APAC_North
9,Marine,34,15,2,17,0,6,5,10,0,Lobby 1,Finals,1,8,12,0,Preseason_Qualifier_1,APAC_North
10,Black,33,16,3,10,0,16,3,1,11,Lobby 1,Finals,17,0,10,0,Preseason_Qualifier_1,APAC_North
11,AVA,33,8,0,15,0,10,4,4,3,Lobby 1,Finals,3,5,14,3,Preseason_Qualifier_1,APAC_North
12,RPG,31,12,0,3,7,4,8,18,1,Lobby 1,Finals,19,0,8,0,Preseason_Qualifier_1,APAC_North
13,FC Destroy,26,19,4,16,3,7,7,9,4,Lobby 1,Finals,18,0,18,3,Preseason_Qualifier_1,APAC_North
14,456,26,9,1,13,1,19,0,16,5,Lobby 1,Finals,10,9,13,4,Preseason_Qualifier_1,APAC_North
15,LandMarkGondola,26,20,0,19,0,2,4,13,4,Lobby 1,Finals,9,1,9,3,Preseason_Qualifier_1,APAC_North
16,BKMN,23,13,0,7,4,17,0,7,0,Lobby 1,Finals,4,7,16,0,Preseason_Qualifier_1,APAC_North
17,ARK5,21,7,9,18,0,15,1,12,2,Lobby 1,Finals,12,2,15,0,Preseason_Qualifier_1,APAC_North
18,HE,21,6,1,14,2,11,2,17,0,Lobby 1,Finals,15,2,11,7,Preseason_Qualifier_1,APAC_North
19,SYTH,10,17,0,5,3,13,1,15,0,Lobby 1,Finals,20,0,20,0,Preseason_Qualifier_1,APAC_North
20,Jamboree,6,18,0,20,0,20,0,19,0,Lobby 1,Finals,13,5,19,0,Preseason_Qualifier_1,APAC_North
1,REAH,51,7,7,2,6,3,8,4,6,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
2,D4RK,46,1,9,3,8,7,0,6,4,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
3,LAG,39,2,5,9,0,2,5,5,5,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
4,ARZ,37,10,1,1,9,11,0,2,3,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
5,Ace1,36,4,1,4,2,1,10,11,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
6,Core Second,29,6,0,7,4,9,0,1,5,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
7,TSURUGI,26,3,1,8,0,6,3,3,3,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
8,Harmony Glory,15,5,0,6,0,4,1,9,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
9,WYV,14,8,1,5,1,5,0,8,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
10,Zenith,11,9,2,11,0,8,0,7,1,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
11,track,7,11,0,10,0,10,0,10,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_2,APAC_North
1,AVA,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2,APAC_North
2,BeastMode,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2,APAC_North
3,Creatives,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2,APAC_North
4,DDD,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2,APAC_North
5,Kingdom,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2,APAC_North
6,QueenSquadRoyal,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2,APAC_North
7,RadicalPopGaming,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2,APAC_North
8,RootunionGaming,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2,APAC_North
9,UC,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2,APAC_North
10,monkey,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2,APAC_North
1,HE,45,3,10,6,4,9,0,1,7,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
2,NAT,41,2,2,8,1,4,4,2,9,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
3,RDO,40,10,0,3,6,2,7,7,6,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
4,PiratesOfMirage,38,5,2,1,8,3,3,10,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
5,ENG,30,1,7,5,0,8,0,6,2,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
6,LLGS,28,9,1,9,0,1,4,3,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
7,IBSG,25,4,4,10,0,5,5,4,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
8,NFM,22,8,1,2,4,10,0,5,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
9,GEMI,15,6,0,7,2,7,2,9,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
10,Serpens,15,7,0,4,1,6,1,8,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
11,SAEKO,0,20,0,20,0,20,0,20,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2,APAC_North
1,EXiA KR,42,3,9,11,0,2,10,9,4,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
2,ARK5,40,9,0,9,0,1,6,2,9,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
3,KaisenDONDON,38,1,8,2,3,6,0,6,0,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
4,YaBaL,33,10,0,1,7,11,0,3,4,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
5,OC,29,8,0,3,5,4,2,4,3,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
6,C-VA KAG,28,4,3,6,6,9,3,7,3,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
7,Solid,28,2,3,7,3,5,3,10,1,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
8,ORB.G,23,11,0,10,0,8,3,1,3,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
9,JDT,21,5,0,4,2,3,2,11,0,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
10,Lixis,17,7,2,5,2,10,0,8,2,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
11,SyS,16,6,3,8,0,7,0,5,1,Lobby 4,Round_1,,,,,Preseason_Qualifier_2,APAC_North
1,Ark cha Puppy,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
2,BlackGorillaN,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
3,DoSanKo,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
4,TeamRoyHage,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
5,WGT,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
6,EB,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
7,LFT BKGK,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
8,sspZ,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
9,ORC,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
10,TW,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
11,MBT,0,0,0,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2,APAC_North
1,BEXT,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2,APAC_North
2,Black,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2,APAC_North
3,Crest,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2,APAC_North
4,DCN,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2,APAC_North
5,Fujii Gaming,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2,APAC_North
6,HIT,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2,APAC_North
7,Ignition,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2,APAC_North
8,LandMarkGondola,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2,APAC_North
9,LapiLegends,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2,APAC_North
10,RuinZ,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2,APAC_North
1,Joel Mark,76,3,4,2,10,1,9,1,13,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
2,Lunatics,59,4,7,1,16,6,6,5,6,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
3,APXRS,37,1,8,9,1,10,0,3,5,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
4,NrTv.Vs,29,7,1,3,0,2,4,10,3,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
5,SYTH,26,2,5,6,0,5,4,11,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
6,Atum,25,5,1,4,1,3,4,7,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
7,KIBIINA-NO-OUCHI,17,6,0,4,0,7,0,4,1,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
8,EGJP,15,11,0,8,1,9,0,2,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
9,WOW.AXIS,12,10,0,10,0,4,1,9,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
10,aim,9,8,0,7,0,11,0,6,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
11,Next,8,9,0,11,0,8,1,8,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2,APAC_North
1,456,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2,APAC_North
2,FA Club FUG,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2,APAC_North
3,FaTe Diamond,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2,APAC_North
4,Fada-one Arcana,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2,APAC_North
5,goo choki paa,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2,APAC_North
