Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Split,Region
BEXT,16,17,0,7,4,17,2,14,0,9,0,15,3,Round 12,Split_2,APAC_North
YOG,14,15,1,15,0,15,3,12,2,20,0,14,3,Round 12,Split_2,APAC_North
LAG,11,14,0,14,2,5,3,20,0,18,0,20,0,Round 12,Split_2,APAC_North
Flora,7,19,0,12,0,10,0,8,1,15,0,17,0,Round 12,Split_2,APAC_North
UNI,66,12,2,13,1,1,11,2,6,15,0,1,10,Round 1,Split_2,APAC_North
RC,64,2,8,3,6,12,0,5,4,7,1,3,14,Round 1,Split_2,APAC_North
RID,59,1,12,1,9,9,4,12,0,6,0,14,3,Round 1,Split_2,APAC_North
FAK,54,18,3,12,0,5,4,1,17,12,1,10,9,Round 1,Split_2,APAC_North
RXC,49,6,9,9,4,20,0,19,0,1,19,20,0,Round 1,Split_2,APAC_North
QF,35,13,0,2,13,10,0,6,1,19,1,7,2,Round 1,Split_2,APAC_North
GW,34,7,2,8,6,11,4,4,8,13,1,12,0,Round 1,Split_2,APAC_North
MTR,32,15,1,17,0,4,3,3,2,9,3,4,3,Round 1,Split_2,APAC_North
D4RK,31,14,3,18,2,18,3,10,6,18,0,2,5,Round 1,Split_2,APAC_North
TW,31,4,3,15,0,16,0,11,5,3,5,8,2,Round 1,Split_2,APAC_North
LFTW,31,3,5,4,2,14,3,20,0,8,4,13,1,Round 1,Split_2,APAC_North
RPG,28,11,1,10,3,8,6,18,0,2,4,16,0,Round 1,Split_2,APAC_North
ALV,28,10,5,6,5,7,4,15,0,20,0,6,2,Round 1,Split_2,APAC_North
UC,27,5,3,7,4,6,3,8,2,11,1,15,0,Round 1,Split_2,APAC_North
RIG-N,26,9,0,5,2,3,6,16,0,16,0,9,3,Round 1,Split_2,APAC_North
Flora,26,8,1,20,0,2,2,13,3,5,4,17,0,Round 1,Split_2,APAC_North
LDN,26,17,0,11,4,15,0,7,3,10,3,5,5,Round 1,Split_2,APAC_North
AVA,12,20,0,19,0,19,0,14,0,4,5,11,0,Round 1,Split_2,APAC_North
BEXT,7,19,0,14,0,13,2,17,0,14,2,19,0,Round 1,Split_2,APAC_North
RUG,5,16,0,16,0,17,0,9,2,17,1,18,0,Round 1,Split_2,APAC_North
LAG,62,1,8,20,0,1,8,2,6,8,1,11,3,Round 2,Split_2,APAC_North
αD,57,15,5,18,6,10,1,5,3,4,0,1,18,Round 2,Split_2,APAC_North
NTH,53,2,8,7,0,20,0,10,0,1,12,4,2,Round 2,Split_2,APAC_North
DTN,47,3,11,1,10,19,3,18,1,15,0,9,0,Round 2,Split_2,APAC_North
FL,40,9,3,14,1,14,0,14,1,2,8,6,10,Round 2,Split_2,APAC_North
ORF,38,16,1,17,4,7,5,1,6,9,1,5,0,Round 2,Split_2,APAC_North
IGZ,36,14,1,6,2,2,10,20,0,5,6,19,0,Round 2,Split_2,APAC_North
V3,35,12,1,16,0,18,2,6,10,3,7,7,1,Round 2,Split_2,APAC_North
FCD,33,8,8,19,0,12,6,17,3,16,3,8,8,Round 2,Split_2,APAC_North
CR,31,20,0,4,8,6,5,7,6,19,0,14,0,Round 2,Split_2,APAC_North
DAI,31,6,3,8,7,15,2,4,2,12,3,12,1,Round 2,Split_2,APAC_North
FSV,29,11,2,13,2,17,0,11,5,17,3,3,7,Round 2,Split_2,APAC_North
GTS,28,10,0,12,0,8,8,13,4,10,6,13,1,Round 2,Split_2,APAC_North
FAV,28,13,2,11,3,3,3,9,0,6,4,10,0,Round 2,Split_2,APAC_North
CAG,27,5,2,3,0,9,2,3,2,11,0,17,0,Round 2,Split_2,APAC_North
USG,27,4,0,2,6,5,0,8,0,14,0,18,0,Round 2,Split_2,APAC_North
RZ,23,19,1,5,1,16,0,12,2,18,0,2,5,Round 2,Split_2,APAC_North
FLCO,14,7,3,9,4,11,1,16,0,20,0,20,0,Round 2,Split_2,APAC_North
REAH,14,17,0,10,1,13,4,19,0,7,2,15,0,Round 2,Split_2,APAC_North
YOG,12,18,0,15,2,4,0,15,0,13,2,16,0,Round 2,Split_2,APAC_North
FAK,71,2,5,8,5,4,4,9,8,1,15,15,3,Round 3,Split_2,APAC_North
αD,65,9,4,19,0,1,8,8,5,9,4,1,14,Round 3,Split_2,APAC_North
UNI,62,1,7,7,0,2,4,2,5,13,1,3,4,Round 3,Split_2,APAC_North
RC,57,3,17,4,7,19,0,12,0,7,7,5,6,Round 3,Split_2,APAC_North
RIG-N,51,17,0,2,8,6,4,1,5,4,1,7,1,Round 3,Split_2,APAC_North
GTS,46,5,4,9,4,3,6,3,3,14,3,14,4,Round 3,Split_2,APAC_North
FCD,38,10,7,16,0,12,5,5,14,16,3,16,2,Round 3,Split_2,APAC_North
REAH,36,7,2,14,3,7,6,6,0,2,5,11,0,Round 3,Split_2,APAC_North
YOG,36,14,0,17,0,5,0,11,3,3,4,2,7,Round 3,Split_2,APAC_North
FAV,33,11,2,1,5,16,0,15,1,6,4,9,2,Round 3,Split_2,APAC_North
RXC,27,20,0,15,3,9,8,10,2,20,1,8,6,Round 3,Split_2,APAC_North
FSV,24,8,0,3,8,15,0,20,0,15,0,10,3,Round 3,Split_2,APAC_North
ORF,24,16,1,5,2,11,3,7,2,11,1,4,1,Round 3,Split_2,APAC_North
LDN,20,18,0,6,4,18,0,4,5,12,1,13,0,Round 3,Split_2,APAC_North
RPG,17,12,0,18,0,10,4,14,3,8,4,18,0,Round 3,Split_2,APAC_North
DAI,15,15,0,20,0,17,0,17,0,9,4,6,5,Round 3,Split_2,APAC_North
LAG,13,6,4,11,2,14,0,16,0,17,1,12,0,Round 3,Split_2,APAC_North
UC,13,19,0,13,3,13,3,13,0,5,0,19,0,Round 3,Split_2,APAC_North
LFTW,11,13,6,12,2,20,0,18,0,18,1,17,0,Round 3,Split_2,APAC_North
AVA,10,4,1,10,0,8,0,19,0,19,0,20,0,Round 3,Split_2,APAC_North
FL,73,11,1,9,8,8,4,5,7,1,13,1,7,Round 4,Split_2,APAC_North
DTN,49,15,0,6,3,1,11,12,3,13,4,5,6,Round 4,Split_2,APAC_North
CR,48,8,3,1,13,12,0,8,4,17,1,7,7,Round 4,Split_2,APAC_North
Flora,46,17,2,8,6,13,1,4,5,14,2,3,14,Round 4,Split_2,APAC_North
RZ,46,3,7,12,0,6,7,6,5,3,3,11,2,Round 4,Split_2,APAC_North
V3,44,19,0,5,0,2,8,2,7,5,2,16,1,Round 4,Split_2,APAC_North
GW,43,1,10,13,0,3,8,16,0,15,2,9,0,Round 4,Split_2,APAC_North
NTH,42,2,1,3,3,5,4,7,1,4,4,14,0,Round 4,Split_2,APAC_North
QF,39,18,0,4,3,11,4,1,8,8,1,12,2,Round 4,Split_2,APAC_North
MTR,32,7,6,11,3,19,0,18,0,2,10,18,0,Round 4,Split_2,APAC_North
TW,32,4,5,19,0,20,0,10,0,16,4,2,7,Round 4,Split_2,APAC_North
BEXT,25,10,7,16,0,4,6,20,0,9,3,19,0,Round 4,Split_2,APAC_North
RID,25,13,3,2,8,7,1,19,0,19,0,20,0,Round 4,Split_2,APAC_North
IGZ,25,14,1,14,0,10,1,3,5,7,1,8,1,Round 4,Split_2,APAC_North
FLCO,23,6,1,20,0,14,3,15,2,11,3,4,3,Round 4,Split_2,APAC_North
RUG,21,20,0,17,4,9,2,9,4,6,4,17,0,Round 4,Split_2,APAC_North
USG,21,12,1,7,1,15,1,14,2,12,0,13,8,Round 4,Split_2,APAC_North
CAG,13,5,1,10,0,16,0,11,0,10,0,6,0,Round 4,Split_2,APAC_North
ALV,12,9,1,15,0,17,1,13,3,20,0,10,1,Round 4,Split_2,APAC_North
D4RK,6,16,3,18,0,18,0,17,2,18,0,15,0,Round 4,Split_2,APAC_North
LFTW,93,7,4,2,11,1,10,1,9,1,9,12,1,Round 5,Split_2,APAC_North
FAK,52,1,12,3,7,17,0,8,7,16,3,13,1,Round 5,Split_2,APAC_North
IGZ,51,3,5,1,10,10,3,14,0,10,0,4,4,Round 5,Split_2,APAC_North
UNI,49,4,1,7,8,16,0,3,3,15,2,2,10,Round 5,Split_2,APAC_North
CR,43,20,0,18,0,11,2,4,11,17,0,1,12,Round 5,Split_2,APAC_North
RIG-N,42,11,3,17,0,14,1,2,10,2,7,15,0,Round 5,Split_2,APAC_North
DTN,35,19,3,13,0,5,10,16,0,4,7,10,3,Round 5,Split_2,APAC_North
CAG,35,2,12,16,2,19,0,13,1,5,3,16,3,Round 5,Split_2,APAC_North
FL,33,15,0,11,3,8,6,19,2,6,3,3,5,Round 5,Split_2,APAC_North
RC,29,9,3,4,3,15,4,9,4,9,3,19,0,Round 5,Split_2,APAC_North
LDN,29,8,4,6,4,12,0,5,2,12,2,5,2,Round 5,Split_2,APAC_North
FLCO,26,14,0,8,2,3,5,20,0,7,5,17,1,Round 5,Split_2,APAC_North
RZ,24,10,1,15,0,2,4,12,0,8,0,18,4,Round 5,Split_2,APAC_North
USG,21,5,3,10,2,6,5,15,0,19,0,14,0,Round 5,Split_2,APAC_North
V3,20,6,2,12,1,18,0,6,0,13,1,6,5,Round 5,Split_2,APAC_North
UC,18,12,2,19,0,9,0,7,5,14,0,8,2,Round 5,Split_2,APAC_North
NTH,17,13,0,9,2,20,0,11,0,3,0,9,2,Round 5,Split_2,APAC_North
RPG,14,17,0,5,2,13,0,10,1,11,1,11,1,Round 5,Split_2,APAC_North
RXC,11,16,0,20,0,7,7,18,0,20,0,20,1,Round 5,Split_2,APAC_North
AVA,11,18,0,14,0,4,0,17,1,18,0,7,1,Round 5,Split_2,APAC_North
αDR,87,1,11,2,5,6,2,1,12,4,5,4,6,Round 6,Split_2,APAC_North
FCD,70,16,4,18,4,7,8,9,5,2,12,1,11,Round 6,Split_2,APAC_North
FSV,65,13,2,1,12,2,9,12,3,8,6,8,6,Round 6,Split_2,APAC_North
Flora,50,4,10,14,1,5,7,2,5,19,0,3,1,Round 6,Split_2,APAC_North
GW,49,2,4,4,8,14,1,5,2,9,3,7,7,Round 6,Split_2,APAC_North
RID,47,9,7,8,4,1,6,3,2,6,2,19,0,Round 6,Split_2,APAC_North
LAG,37,11,1,3,5,20,0,4,3,15,1,2,4,Round 6,Split_2,APAC_North
GTS,33,5,0,12,3,8,4,16,3,1,4,18,0,Round 6,Split_2,APAC_North
BEXT,32,3,4,5,4,11,1,14,3,11,0,14,5,Round 6,Split_2,APAC_North
TW,29,7,3,10,1,9,3,11,2,14,3,5,4,Round 6,Split_2,APAC_North
FAV,24,20,0,16,2,10,7,17,0,3,6,17,0,Round 6,Split_2,APAC_North
MTR,24,18,0,11,2,3,6,10,4,10,0,16,0,Round 6,Split_2,APAC_North
ORF,22,14,2,9,1,19,0,6,7,20,0,6,3,Round 6,Split_2,APAC_North
YOG,20,10,1,6,2,12,0,8,3,13,3,9,0,Round 6,Split_2,APAC_North
ALV,19,15,0,19,0,16,3,13,3,7,3,10,3,Round 6,Split_2,APAC_North
QF,19,6,1,20,0,4,4,15,1,16,1,15,2,Round 6,Split_2,APAC_North
RUG,18,17,0,7,3,13,0,18,0,5,6,11,0,Round 6,Split_2,APAC_North
D4RK,13,8,4,17,0,17,0,20,0,12,0,13,5,Round 6,Split_2,APAC_North
REAH,13,12,2,15,3,18,0,7,0,18,0,12,2,Round 6,Split_2,APAC_North
DAI,3,19,0,13,1,15,0,19,0,17,0,20,0,Round 6,Split_2,APAC_North
GW,72,3,10,2,5,7,1,2,2,11,3,1,10,Round 7,Split_2,APAC_North
FAK,65,19,0,1,17,12,3,10,9,18,0,3,14,Round 7,Split_2,APAC_North
UC,57,6,4,5,5,13,1,1,11,2,7,19,0,Round 7,Split_2,APAC_North
MTR,56,2,8,4,11,5,9,6,4,8,1,18,0,Round 7,Split_2,APAC_North
RID,55,1,8,20,0,3,3,18,0,1,9,5,0,Round 7,Split_2,APAC_North
RUG,43,16,0,3,2,17,1,7,5,4,12,4,3,Round 7,Split_2,APAC_North
LDN,42,15,0,10,6,1,8,13,1,3,2,8,0,Round 7,Split_2,APAC_North
Flora,40,20,0,7,1,4,11,5,6,6,5,13,1,Round 7,Split_2,APAC_North
RXC,38,8,6,17,0,10,2,9,4,12,1,7,15,Round 7,Split_2,APAC_North
LFTW,36,14,3,6,1,11,4,4,7,10,3,10,4,Round 7,Split_2,APAC_North
RC,34,12,2,16,0,14,2,15,4,15,6,2,7,Round 7,Split_2,APAC_North
QF,22,11,2,19,0,6,1,3,5,9,0,11,0,Round 7,Split_2,APAC_North
RIG-N,20,5,2,8,6,18,3,12,0,13,0,15,0,Round 7,Split_2,APAC_North
UNI,19,10,1,12,0,2,4,14,0,17,0,14,0,Round 7,Split_2,APAC_North
AVA,18,9,0,13,0,16,3,20,0,7,6,6,0,Round 7,Split_2,APAC_North
RPG,15,4,6,14,0,9,0,11,0,16,0,20,0,Round 7,Split_2,APAC_North
ALV,14,7,1,11,4,15,0,16,0,14,2,12,0,Round 7,Split_2,APAC_North
D4RK,13,13,1,9,1,8,2,19,0,20,0,9,2,Round 7,Split_2,APAC_North
BEXT,8,17,2,18,0,19,0,17,0,5,2,17,0,Round 7,Split_2,APAC_North
TW,7,18,0,15,0,20,0,8,1,19,0,16,3,Round 7,Split_2,APAC_North
αDR,77,3,2,10,5,1,9,4,6,5,5,1,8,Round 8,Split_2,APAC_North
CR,72,8,11,1,8,7,1,19,0,1,14,6,6,Round 8,Split_2,APAC_North
NTH,61,10,4,2,4,13,0,2,6,2,2,2,6,Round 8,Split_2,APAC_North
V3,55,15,2,9,5,2,9,1,13,17,0,9,0,Round 8,Split_2,APAC_North
RZ,49,9,2,14,0,4,8,3,4,4,5,3,3,Round 8,Split_2,APAC_North
FAV,43,1,8,11,1,20,0,7,1,3,6,5,0,Round 8,Split_2,APAC_North
FSV,42,2,17,15,2,8,4,11,1,10,3,20,0,Round 8,Split_2,APAC_North
GTS,37,12,1,3,6,5,6,9,0,15,0,7,6,Round 8,Split_2,APAC_North
USG,34,4,4,8,5,6,7,18,1,6,3,14,0,Round 8,Split_2,APAC_North
FL,28,18,0,7,3,14,3,14,6,20,0,10,9,Round 8,Split_2,APAC_North
LAG,24,17,0,18,0,3,4,12,1,14,5,4,0,Round 8,Split_2,APAC_North
CAG,23,7,3,12,1,10,0,5,3,12,2,15,2,Round 8,Split_2,APAC_North
FCD,22,16,1,5,6,19,0,10,3,9,1,16,3,Round 8,Split_2,APAC_North
DTN,20,13,2,13,4,15,2,15,2,7,3,18,0,Round 8,Split_2,APAC_North
ORF,20,5,0,4,2,9,0,17,0,16,0,8,5,Round 8,Split_2,APAC_North
FLCO,16,6,1,6,2,18,0,13,4,13,1,19,0,Round 8,Split_2,APAC_North
YOG,15,14,0,16,0,11,1,8,5,8,1,11,1,Round 8,Split_2,APAC_North
DAI,10,19,0,17,0,12,3,20,0,11,4,17,1,Round 8,Split_2,APAC_North
REAH,10,20,0,19,0,16,0,6,2,18,0,12,4,Round 8,Split_2,APAC_North
IGZ,5,11,0,20,0,17,0,16,3,19,0,13,0,Round 8,Split_2,APAC_North
αDR,96,3,2,1,15,9,1,1,6,1,7,1,8,Round 9,Split_2,APAC_North
RIG-N,64,1,10,3,4,3,3,18,2,7,1,3,8,Round 9,Split_2,APAC_North
FSV,52,15,0,16,2,1,12,8,7,16,1,4,10,Round 9,Split_2,APAC_North
FCD,41,19,1,13,2,8,9,5,15,19,0,7,4,Round 9,Split_2,APAC_North
RC,39,17,3,7,0,20,2,10,0,7,6,2,11,Round 9,Split_2,APAC_North
UC,39,9,3,14,1,12,0,2,3,2,10,16,0,Round 9,Split_2,APAC_North
LAG,38,6,1,2,1,15,0,3,5,13,2,6,5,Round 9,Split_2,APAC_North
RPG,38,2,3,15,7,4,1,6,0,3,2,20,0,Round 9,Split_2,APAC_North
FAK,37,8,13,10,5,11,5,14,0,20,0,5,4,Round 9,Split_2,APAC_North
REAH,34,12,1,6,4,2,5,16,2,5,4,13,0,Round 9,Split_2,APAC_North
GTS,28,5,10,12,3,17,0,19,0,8,7,18,1,Round 9,Split_2,APAC_North
RXC,27,16,1,9,3,19,2,13,3,9,10,8,1,Round 9,Split_2,APAC_North
LFTW,24,10,1,11,1,5,2,11,1,4,1,9,3,Round 9,Split_2,APAC_North
UNI,23,4,0,20,0,6,3,4,5,10,0,19,0,Round 9,Split_2,APAC_North
DAI,22,13,0,5,5,7,7,17,0,14,0,15,0,Round 9,Split_2,APAC_North
YOG,20,14,0,4,0,13,1,9,6,15,3,17,0,Round 9,Split_2,APAC_North
ORF,16,11,6,18,0,14,1,7,1,12,0,10,0,Round 9,Split_2,APAC_North
FAV,12,7,4,17,0,18,0,12,0,18,0,11,3,Round 9,Split_2,APAC_North
LDN,12,20,0,8,3,10,1,20,0,17,3,14,0,Round 9,Split_2,APAC_North
AVA,6,18,0,19,0,16,1,15,0,11,0,12,2,Round 9,Split_2,APAC_North
BRGR,85,4,6,2,7,6,10,3,3,1,8,2,6,Round 10,Split_1,APAC_South
STK,81,10,0,1,16,1,18,1,6,13,0,10,0,Round 10,Split_1,APAC_South
NXL,70,1,14,16,1,3,3,11,4,14,0,1,15,Round 10,Split_1,APAC_South
WAT,39,12,1,11,3,7,0,4,4,3,11,15,2,Round 10,Split_1,APAC_South
PK,37,8,1,8,3,2,6,9,5,8,2,7,0,Round 10,Split_1,APAC_South
ITR,36,5,9,6,2,13,3,13,2,7,7,13,0,Round 10,Split_1,APAC_South
FW,35,14,5,17,0,15,4,10,0,2,7,9,4,Round 10,Split_1,APAC_South
EXO,31,11,3,18,0,9,0,2,12,11,0,11,2,Round 10,Split_1,APAC_South
MON,31,3,4,12,0,4,2,16,0,12,2,3,2,Round 10,Split_1,APAC_South
MDY.W,30,18,0,10,2,18,0,5,6,9,10,12,3,Round 10,Split_1,APAC_South
DML,30,2,2,14,1,17,0,12,3,10,1,5,6,Round 10,Split_1,APAC_South
ATH,23,16,0,3,2,10,0,14,0,17,0,4,6,Round 10,Split_1,APAC_South
BWS,22,17,0,7,3,5,1,6,3,15,2,8,0,Round 10,Split_1,APAC_South
MBTN,22,7,2,5,4,14,0,17,0,4,0,14,2,Round 10,Split_1,APAC_South
SNG,22,6,2,4,3,8,0,15,1,16,2,6,0,Round 10,Split_1,APAC_South
MYTH,14,13,2,9,1,12,0,8,1,6,1,17,0,Round 10,Split_1,APAC_South
DNN,14,9,0,15,0,11,0,7,2,5,1,16,0,Round 10,Split_1,APAC_South
WGG,5,15,0,13,2,16,1,18,0,18,0,18,0,Round 10,Split_1,APAC_South
DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 10,Split_1,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 10,Split_1,APAC_South
STK,58,3,11,13,0,5,4,12,1,2,5,3,8,Round 11,Split_1,APAC_South
FA,54,20,0,1,9,11,4,16,0,6,4,1,9,Round 11,Split_1,APAC_South
RIG,53,17,3,5,15,14,7,19,0,12,3,2,10,Round 11,Split_1,APAC_South
SNG,53,5,6,4,6,1,8,9,2,7,1,6,1,Round 11,Split_1,APAC_South
EXO,44,13,0,12,2,10,3,1,12,8,1,4,3,Round 11,Split_1,APAC_South
NXL,43,11,4,2,7,12,1,7,4,11,0,5,8,Round 11,Split_1,APAC_South
ANT,39,1,5,10,5,7,3,8,5,16,1,14,0,Round 11,Split_1,APAC_South
EMM,38,18,0,20,0,2,12,5,4,9,6,13,0,Round 11,Split_1,APAC_South
LU,35,2,10,7,0,17,2,11,7,19,0,10,1,Round 11,Split_1,APAC_South
NLN,35,19,0,18,3,9,5,13,3,1,7,12,1,Round 11,Split_1,APAC_South
OC,34,16,0,14,0,6,6,2,3,5,7,14,0,Round 11,Split_1,APAC_South
DNZ,30,9,0,17,0,8,6,17,0,3,12,11,0,Round 11,Split_1,APAC_South
FW,25,12,4,9,0,18,0,4,6,15,6,20,0,Round 11,Split_1,APAC_South
BWS,25,4,3,16,0,15,0,3,7,14,1,19,0,Round 11,Split_1,APAC_South
DML,25,10,1,3,4,3,0,14,1,10,0,17,0,Round 11,Split_1,APAC_South
Antiaa,24,7,2,11,1,19,0,20,2,4,1,8,7,Round 11,Split_1,APAC_South
ATH,18,15,3,8,4,13,1,18,0,17,0,7,3,Round 11,Split_1,APAC_South
MBTN,14,8,4,6,1,16,0,6,1,18,0,16,0,Round 11,Split_1,APAC_South
DNN,11,14,0,19,0,4,0,10,0,20,0,18,3,Round 11,Split_1,APAC_South
DYN,11,6,0,15,0,20,0,15,0,13,0,9,3,Round 11,Split_1,APAC_South
BRGR,91,2,10,9,3,8,2,1,10,3,10,1,12,Round 12,Split_1,APAC_South
M2,56,9,0,8,2,2,7,2,18,5,1,8,0,Round 12,Split_1,APAC_South
MDY.W,53,5,2,3,15,4,8,15,0,9,5,13,3,Round 12,Split_1,APAC_South
MYTH,50,1,6,5,3,11,3,10,3,10,0,3,7,Round 12,Split_1,APAC_South
BRP,48,6,6,1,10,13,0,4,0,6,2,6,3,Round 12,Split_1,APAC_South
MON,48,4,2,4,2,1,6,11,2,4,2,5,2,Round 12,Split_1,APAC_South
SLAY,40,3,3,7,1,7,0,3,2,2,4,11,0,Round 12,Split_1,APAC_South
DF,37,14,0,2,7,6,1,8,2,8,3,9,5,Round 12,Split_1,APAC_South
WAT,35,13,3,15,0,12,0,12,0,1,15,14,0,Round 12,Split_1,APAC_South
PK,32,10,0,10,0,5,4,5,4,13,1,2,1,Round 12,Split_1,APAC_South
ITR,26,7,2,6,0,3,6,9,0,15,0,10,0,Round 12,Split_1,APAC_South
WGG,23,12,3,11,0,15,0,7,0,7,4,4,2,Round 12,Split_1,APAC_South
STB,18,8,2,14,0,14,1,6,1,12,0,7,3,Round 12,Split_1,APAC_South
DESI,12,15,0,13,0,10,2,14,0,14,0,12,3,Round 12,Split_1,APAC_South
WHIZ,10,11,3,12,0,9,0,13,0,11,0,15,0,Round 12,Split_1,APAC_South
DREAM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,Split_1,APAC_South
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,Split_1,APAC_South
PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,Split_1,APAC_South
SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,Split_1,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 12,Split_1,APAC_South
RIG,86,17,0,15,0,1,12,2,9,1,14,3,10,Round 1,Split_1,APAC_South
BRGR,65,1,11,5,2,18,0,1,6,5,8,10,4,Round 1,Split_1,APAC_South
FA,63,7,9,2,5,8,3,6,2,15,3,1,11,Round 1,Split_1,APAC_South
LU,59,5,4,10,1,2,11,3,0,3,10,7,1,Round 1,Split_1,APAC_South
ANT,45,10,0,11,2,5,9,16,0,2,4,2,5,Round 1,Split_1,APAC_South
DNZ,44,13,6,1,15,16,0,15,5,13,3,17,0,Round 1,Split_1,APAC_South
WAT,37,14,0,8,9,9,2,10,3,4,2,4,4,Round 1,Split_1,APAC_South
OC,37,2,7,17,0,15,2,7,5,8,0,5,4,Round 1,Split_1,APAC_South
NLN,28,11,0,3,1,14,1,5,8,12,4,19,0,Round 1,Split_1,APAC_South
MON,27,9,0,7,5,4,3,8,5,16,0,15,1,Round 1,Split_1,APAC_South
EMM,22,12,3,9,8,7,3,11,0,17,0,14,0,Round 1,Split_1,APAC_South
ITR,22,8,0,4,2,11,0,12,2,6,3,13,2,Round 1,Split_1,APAC_South
PK,21,16,0,12,1,6,5,19,0,7,3,6,2,Round 1,Split_1,APAC_South
MYTH,21,3,2,18,3,10,1,13,1,14,0,8,1,Round 1,Split_1,APAC_South
DYN,19,6,0,6,2,12,0,9,1,10,1,9,2,Round 1,Split_1,APAC_South
DREAM,18,4,3,19,0,3,1,17,0,11,0,12,0,Round 1,Split_1,APAC_South
MDY.W,16,15,3,16,0,13,4,14,5,19,0,16,1,Round 1,Split_1,APAC_South
Antiaa,11,18,3,13,0,19,0,4,2,18,0,18,0,Round 1,Split_1,APAC_South
WGG,8,19,0,14,0,17,0,18,0,9,0,11,4,Round 1,Split_1,APAC_South
YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 1,Split_1,APAC_South
STK,79,2,9,3,1,2,4,1,15,5,2,5,3,Round 2,Split_1,APAC_South
BRP,70,1,16,6,2,7,3,14,0,15,0,1,17,Round 2,Split_1,APAC_South
ATH,64,5,2,1,5,5,4,5,6,1,8,10,1,Round 2,Split_1,APAC_South
EXO,51,18,3,19,1,4,8,9,7,6,8,3,7,Round 2,Split_1,APAC_South
NXL,50,7,5,11,5,10,5,18,0,3,8,2,5,Round 2,Split_1,APAC_South
DF,47,11,2,2,10,8,7,8,3,9,1,9,6,Round 2,Split_1,APAC_South
BWS,42,14,1,12,5,17,4,6,3,2,14,14,0,Round 2,Split_1,APAC_South
M2,37,6,3,4,4,19,0,2,9,11,2,11,0,Round 2,Split_1,APAC_South
MBTN,36,19,0,9,6,1,9,12,2,10,1,15,0,Round 2,Split_1,APAC_South
SNG,27,8,4,7,2,6,0,13,2,7,6,16,1,Round 2,Split_1,APAC_South
WHIZ,22,3,3,15,0,15,0,3,2,19,0,13,0,Round 2,Split_1,APAC_South
SMC,21,9,5,13,2,13,2,11,1,16,0,12,5,Round 2,Split_1,APAC_South
DML,20,12,0,5,1,12,3,7,0,12,0,8,4,Round 2,Split_1,APAC_South
PWLS,18,13,1,10,2,14,0,15,0,17,0,4,5,Round 2,Split_1,APAC_South
DNN,16,15,1,14,0,3,6,17,0,18,0,19,0,Round 2,Split_1,APAC_South
STB,16,4,0,16,0,11,0,4,0,14,4,17,0,Round 2,Split_1,APAC_South
FW,13,17,0,8,5,16,0,16,3,8,1,18,0,Round 2,Split_1,APAC_South
DESI,10,16,0,17,0,18,0,10,0,4,0,7,0,Round 2,Split_1,APAC_South
SLAY,8,10,0,18,0,9,0,19,0,13,0,6,0,Round 2,Split_1,APAC_South
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 2,Split_1,APAC_South
STB,77,2,8,3,6,6,6,13,0,7,4,1,18,Round 3,Split_1,APAC_South
ANT,63,8,0,5,0,3,8,6,7,3,14,4,6,Round 3,Split_1,APAC_South
RIG,62,10,3,1,15,7,2,1,8,8,2,15,0,Round 3,Split_1,APAC_South
DF,61,12,1,7,3,2,10,5,3,1,6,3,2,Round 3,Split_1,APAC_South
LU,60,1,8,2,9,1,7,16,0,12,0,8,0,Round 3,Split_1,APAC_South
BRP,59,4,5,13,4,4,6,2,7,2,5,13,2,Round 3,Split_1,APAC_South
FA,46,6,7,4,1,18,0,3,11,10,3,6,4,Round 3,Split_1,APAC_South
M2,36,3,4,14,0,8,5,12,2,5,4,7,3,Round 3,Split_1,APAC_South
SLAY,35,7,4,6,0,5,2,4,6,6,4,16,1,Round 3,Split_1,APAC_South
DESI,22,11,1,18,0,9,0,18,0,15,1,2,7,Round 3,Split_1,APAC_South
NLN,17,18,0,8,2,13,1,9,0,9,3,11,3,Round 3,Split_1,APAC_South
DYN,17,5,0,15,0,14,0,7,1,4,2,17,0,Round 3,Split_1,APAC_South
EMM,16,13,5,11,0,12,3,14,2,16,0,18,2,Round 3,Split_1,APAC_South
WHIZ,15,16,0,10,3,11,1,15,3,13,0,10,1,Round 3,Split_1,APAC_South
DNZ,12,14,0,9,6,17,0,17,0,17,0,12,2,Round 3,Split_1,APAC_South
Antiaa,12,15,2,17,0,15,0,8,1,14,0,5,0,Round 3,Split_1,APAC_South
OC,10,9,0,16,0,16,0,10,0,11,2,9,1,Round 3,Split_1,APAC_South
PWLS,7,17,0,12,0,10,0,11,2,18,0,14,0,Round 3,Split_1,APAC_South
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 3,Split_1,APAC_South
