Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,P.6,K.6,P.7,K.7,P.8,K.8,P.9,K.9,MP #,Region
2.0,ALL,116,2,12,1,10,5,6,17,0,4,2,3.0,6.0,3.0,8.0,11.0,2.0,4.0,8.0,7.0,0.0,2,EMEA
3.0,GMB,100,5,3,2,10,1,11,13,0,5,2,4.0,2.0,7.0,3.0,4.0,2.0,15.0,5.0,3.0,1.0,3,EMEA
4.0,IG,88,1,14,5,4,4,12,2,8,10,0,14.0,0.0,19.0,0.0,19.0,0.0,14.0,0.0,4.0,8.0,3,EMEA
5.0,69IQ,85,14,4,3,1,15,0,19,0,1,9,7.0,8.0,4.0,3.0,6.0,3.0,2.0,2.0,6.0,4.0,6,EMEA
6.0,MP,68,8,1,13,3,7,0,1,10,11,11,18.0,0.0,5.0,7.0,16.0,4.0,17.0,6.0,18.0,3.0,7,EMEA
7.0,RBL,58,15,0,10,4,13,1,8,1,19,0,1.0,14.0,8.0,4.0,15.0,2.0,16.0,2.0,9.0,6.0,9,EMEA
8.0,HRZN,58,9,3,16,0,9,2,4,7,12,2,5.0,6.0,16.0,0.0,5.0,4.0,3.0,4.0,8.0,3.0,9,EMEA
9.0,GMT,57,16,0,12,2,8,7,3,7,2,6,19.0,0.0,6.0,4.0,8.0,0.0,12.0,0.0,20.0,0.0,7,EMEA
10.0,GUILD,55,4,4,7,6,6,0,9,2,16,0,20.0,0.0,20.0,0.0,7.0,5.0,5.0,5.0,12.0,4.0,9,EMEA
11.0,SOL,53,13,1,20,0,17,0,10,7,3,9,13.0,0.0,10.0,2.0,18.0,0.0,1.0,9.0,16.0,0.0,9,EMEA
12.0,K1CK,53,10,5,19,3,2,9,6,7,6,4,17.0,0.0,14.0,1.0,17.0,0.0,8.0,0.0,15.0,3.0,10,EMEA
13.0,ETH,49,7,3,9,0,10,3,5,0,14,1,9.0,0.0,2.0,2.0,14.0,0.0,13.0,1.0,2.0,5.0,-,EMEA
14.0,TTM,48,20,0,11,0,3,2,7,3,7,3,12.0,0.0,13.0,0.0,3.0,2.0,10.0,4.0,5.0,3.0,-,EMEA
15.0,MAGI,42,19,0,8,2,20,0,14,0,20,0,16.0,3.0,1.0,10.0,13.0,0.0,9.0,0.0,14.0,3.0,-,EMEA
16.0,NAVI,42,3,7,14,0,12,0,16,0,15,1,15.0,0.0,12.0,0.0,2.0,9.0,20.0,0.0,17.0,0.0,-,EMEA
17.0,KNG,39,6,0,6,6,18,0,15,0,8,2,2.0,3.0,15.0,0.0,12.0,0.0,7.0,3.0,11.0,1.0,-,EMEA
18.0,DM,38,18,2,17,0,14,0,12,3,17,2,11.0,5.0,11.0,11.0,10.0,4.0,18.0,0.0,13.0,4.0,-,EMEA
19.0,RASC,26,17,1,15,2,11,3,20,0,13,1,8.0,4.0,18.0,0.0,20.0,0.0,6.0,3.0,10.0,2.0,-,EMEA
20.0,SZ.EU,15,12,0,18,0,19,0,11,0,9,3,10.0,0.0,17.0,0.0,9.0,3.0,19.0,1.0,19.0,0.0,-,EMEA
1.0,TSM,93,3,15,13,1,5,5,1,7,9,5,16.0,0.0,1.0,16.0,,,,,,,4,North_America
2.0,NRG,62,1,7,6,3,16,0,10,2,4,0,3.0,9.0,12.0,2.0,,,,,,,6,North_America
3.0,ESA,60,5,1,5,5,9,4,2,10,7,1,10.0,0.0,7.0,4.0,,,,,,,5,North_America
4.0,SEN,59,20,0,16,1,11,1,3,14,15,0,1.0,10.0,11.0,1.0,,,,,,,6,North_America
5.0,TOR,58,8,0,17,0,2,4,5,7,1,10,11.0,0.0,9.0,7.0,,,,,,,7,North_America
6.0,C9,58,19,4,11,0,15,1,13,5,6,10,2.0,11.0,4.0,5.0,,,,,,,7,North_America
7.0,PGG,54,13,0,2,11,7,3,20,0,2,7,7.0,4.0,8.0,2.0,,,,,,,6,North_America
8.0,G2,45,6,4,9,3,1,8,15,0,18,0,8.0,1.0,13.0,1.0,,,,,,,-,North_America
9.0,RNG,43,17,0,3,6,3,4,11,0,20,0,5.0,2.0,2.0,3.0,,,,,,,-,North_America
10.0,DY,41,4,7,14,0,14,6,12,0,3,4,15.0,2.0,6.0,2.0,,,,,,,-,North_America
11.0,TL,41,10,4,8,3,10,3,6,1,8,6,9.0,2.0,5.0,5.0,,,,,,,-,North_America
12.0,COL,35,7,2,10,9,8,6,18,1,11,0,20.0,0.0,10.0,3.0,,,,,,,-,North_America
13.0,SSG,32,12,0,4,3,12,5,8,3,13,0,12.0,5.0,19.0,0.0,,,,,,,-,North_America
14.0,FUR,28,15,2,15,0,4,6,4,7,19,0,14.0,0.0,18.0,0.0,,,,,,,-,North_America
15.0,NBL,26,16,1,1,8,13,0,16,2,12,1,19.0,0.0,17.0,0.0,,,,,,,-,North_America
16.0,PK,25,2,4,19,3,17,0,17,0,14,0,6.0,4.0,16.0,1.0,,,,,,,-,North_America
17.0,LZR,24,9,3,18,0,20,0,14,1,5,4,4.0,4.0,20.0,0.0,,,,,,,-,North_America
18.0,XSET,23,14,3,12,1,19,1,7,0,16,0,13.0,3.0,3.0,2.0,,,,,,,-,North_America
19.0,OXG,16,11,0,7,1,6,0,19,0,10,5,17.0,0.0,14.0,0.0,,,,,,,-,North_America
20.0,100T,11,18,0,20,0,18,0,9,2,17,2,18.0,0.0,15.0,1.0,,,,,,,-,North_America
1.0,SNG,82,1,11,10,8,7,3,10,6,1,13,,,,,,,,,,,4,South_America
2.0,FNX,51,10,1,2,6,15,2,3,9,10,3,,,,,,,,,,,5,South_America
3.0,DFX,47,6,8,6,6,2,3,6,1,5,1,,,,,,,,,,,-,South_America
4.0,ELV,43,3,6,9,3,6,1,11,5,9,9,,,,,,,,,,,-,South_America
5.0,LNW,42,12,1,11,1,1,17,9,1,7,1,,,,,,,,,,,-,South_America
6.0,OF,38,5,3,4,6,5,3,14,4,19,0,,,,,,,,,,,-,South_America
7.0,1IQ,37,9,1,3,5,4,4,4,1,13,6,,,,,,,,,,,-,South_America
8.0,PTD,34,16,0,5,1,3,5,8,3,6,9,,,,,,,,,,,-,South_America
9.0,BRT,32,15,0,1,6,16,3,20,0,8,1,,,,,,,,,,,-,South_America
10.0,HRS,31,4,7,20,0,11,1,18,0,2,8,,,,,,,,,,,-,South_America
