Standings,Team.1,Total,Lobby,Round,Region
4,Weebs Out,36,Lobby 5,Round_1,EMEA
5,edit,35,Lobby 5,Round_1,EMEA
6,Justthreeplayers,33,Lobby 5,Round_1,EMEA
7,CHOC,27,Lobby 5,Round_1,EMEA
8,White Clover,23,Lobby 5,Round_1,EMEA
9,DASK,12,Lobby 5,Round_1,EMEA
10,First in Battle,11,Lobby 5,Round_1,EMEA
11,Moin Myster,10,Lobby 5,Round_1,EMEA
12,Looking4Wingman,8,Lobby 5,Round_1,EMEA
13,Precise Hornets,8,Lobby 5,Round_1,EMEA
14,So Basically,8,Lobby 5,Round_1,EMEA
15,Escuella,5,Lobby 5,Round_1,EMEA
16,WashedUpShitters,4,Lobby 5,Round_1,EMEA
17,RareBar™,4,Lobby 5,Round_1,EMEA
18,TAW Rampage,4,Lobby 5,Round_1,EMEA
1,DM,71,Lobby 6,Round_1,EMEA
2,WLS,50,Lobby 6,Round_1,EMEA
3,24K,46,Lobby 6,Round_1,EMEA
4,TRIHARD,33,Lobby 6,Round_1,EMEA
5,BountyHunterGG,31,Lobby 6,Round_1,EMEA
6,iEnvy,28,Lobby 6,Round_1,EMEA
7,VALUE TEAM,28,Lobby 6,Round_1,EMEA
8,NotoriousFamily,25,Lobby 6,Round_1,EMEA
9,Reakless,21,Lobby 6,Round_1,EMEA
10,6bnt,21,Lobby 6,Round_1,EMEA
11,Let’s Carry This,15,Lobby 6,Round_1,EMEA
12,Fluffy Bunnies,14,Lobby 6,Round_1,EMEA
13,DUNDER,10,Lobby 6,Round_1,EMEA
14,Ebic Snake Dewds,7,Lobby 6,Round_1,EMEA
15,DoT-ger,6,Lobby 6,Round_1,EMEA
16,FriendsofBoomers,5,Lobby 6,Round_1,EMEA
17,Space Renegades,4,Lobby 6,Round_1,EMEA
18,Casuals4Fun,4,Lobby 6,Round_1,EMEA
1,Apex Who Dis,47,Lobby 7,Round_1,EMEA
2,PunX,46,Lobby 7,Round_1,EMEA
3,GVG,42,Lobby 7,Round_1,EMEA
4,LGN,41,Lobby 7,Round_1,EMEA
5,ARIS,37,Lobby 7,Round_1,EMEA
6,Mat For Victory,31,Lobby 7,Round_1,EMEA
7,EFG,26,Lobby 7,Round_1,EMEA
8,Xaler,25,Lobby 7,Round_1,EMEA
9,KJT,25,Lobby 7,Round_1,EMEA
10,Crying our best,20,Lobby 7,Round_1,EMEA
11,qoud vera Genus,16,Lobby 7,Round_1,EMEA
12,NyanPasu,15,Lobby 7,Round_1,EMEA
13,789Academy,11,Lobby 7,Round_1,EMEA
14,Takavid,7,Lobby 7,Round_1,EMEA
15,THE OLD MEN,7,Lobby 7,Round_1,EMEA
16,Team AeS,3,Lobby 7,Round_1,EMEA
17,1YEP6,2,Lobby 7,Round_1,EMEA
18,Renaissance,2,Lobby 7,Round_1,EMEA
1,ETH,57,Lobby 8,Round_1,EMEA
2,Pepegi,46,Lobby 8,Round_1,EMEA
3,PXL,43,Lobby 8,Round_1,EMEA
4,LegionF,38,Lobby 8,Round_1,EMEA
5,no team name,35,Lobby 8,Round_1,EMEA
6,PauseChamps,33,Lobby 8,Round_1,EMEA
7,3turrets1brain,26,Lobby 8,Round_1,EMEA
8,KOMANDA A,23,Lobby 8,Round_1,EMEA
9,Senshi,20,Lobby 8,Round_1,EMEA
10,WARM Esport,18,Lobby 8,Round_1,EMEA
11,work hard money,17,Lobby 8,Round_1,EMEA
12,Yeboi Gaming,15,Lobby 8,Round_1,EMEA
13,Ignite,13,Lobby 8,Round_1,EMEA
14,WHO,12,Lobby 8,Round_1,EMEA
15,TASS,7,Lobby 8,Round_1,EMEA
16,AYCEE,4,Lobby 8,Round_1,EMEA
17,Pog Frog,3,Lobby 8,Round_1,EMEA
18,AP827926,0,Lobby 8,Round_1,EMEA
1,PRSTS,63,Lobby 9,Round_1,EMEA
2,Ragshack Bangers,58,Lobby 9,Round_1,EMEA
3,ThatsaYouProblem,42,Lobby 9,Round_1,EMEA
4,CHI,37,Lobby 9,Round_1,EMEA
5,Explosion,31,Lobby 9,Round_1,EMEA
6,Beams Only,26,Lobby 9,Round_1,EMEA
7,fifth grader,26,Lobby 9,Round_1,EMEA
8,Exiled,23,Lobby 9,Round_1,EMEA
9,SCBS,21,Lobby 9,Round_1,EMEA
10,KIMADAZ,21,Lobby 9,Round_1,EMEA
11,SVR,16,Lobby 9,Round_1,EMEA
12,Skill Gap,9,Lobby 9,Round_1,EMEA
13,DidzGhiott,9,Lobby 9,Round_1,EMEA
14,SA Legends,8,Lobby 9,Round_1,EMEA
15,Kids With Candy,5,Lobby 9,Round_1,EMEA
16,Noobs In Town,4,Lobby 9,Round_1,EMEA
17,Ovar Esport,2,Lobby 9,Round_1,EMEA
1,AST,86,Lobby 10,Round_1,North_America
2,CC,70,Lobby 10,Round_1,North_America
3,Onyx,49,Lobby 10,Round_1,North_America
4,Dawn of Legends,22,Lobby 10,Round_1,North_America
5,True SightENT,21,Lobby 10,Round_1,North_America
6,Net,17,Lobby 10,Round_1,North_America
7,BRONZELASTSEASON,17,Lobby 10,Round_1,North_America
8,UMBC Retrievers,17,Lobby 10,Round_1,North_America
9,Conquest Gaming,16,Lobby 10,Round_1,North_America
10,Jump out boys,14,Lobby 10,Round_1,North_America
11,Razen Gaming,13,Lobby 10,Round_1,North_America
12,EAB MODEL,9,Lobby 10,Round_1,North_America
13,BackStage,9,Lobby 10,Round_1,North_America
14,Clemson Orange,5,Lobby 10,Round_1,North_America
1,Never Lucky,102,Lobby 11,Round_1,North_America
2,The Fudges,48,Lobby 11,Round_1,North_America
3,CVS,41,Lobby 11,Round_1,North_America
4,LZR,38,Lobby 11,Round_1,North_America
5,Undisputed,33,Lobby 11,Round_1,North_America
6,Gods Plan Gaming,22,Lobby 11,Round_1,North_America
7,Gryphon Gaming,18,Lobby 11,Round_1,North_America
8,Team Possessed,16,Lobby 11,Round_1,North_America
9,IntentionalWhite,15,Lobby 11,Round_1,North_America
10,GPS,10,Lobby 11,Round_1,North_America
11,Simpfor2Dgirls,7,Lobby 11,Round_1,North_America
12,PuraVidaCR,7,Lobby 11,Round_1,North_America
13,NA Assault,7,Lobby 11,Round_1,North_America
14,The Bois,5,Lobby 11,Round_1,North_America
15,Los KKS,4,Lobby 11,Round_1,North_America
1,O TAMA,91,Lobby 12,Round_1,North_America
2,Meow Syndicate,52,Lobby 12,Round_1,North_America
3,SLS,33,Lobby 12,Round_1,North_America
4,Club Cobra,28,Lobby 12,Round_1,North_America
5,He’s One Shot,27,Lobby 12,Round_1,North_America
6,Siracha,27,Lobby 12,Round_1,North_America
7,SDO,25,Lobby 12,Round_1,North_America
8,DeGents,23,Lobby 12,Round_1,North_America
9,BrownieBoys,21,Lobby 12,Round_1,North_America
10,Ignition Team,16,Lobby 12,Round_1,North_America
11,WiseGuyz,16,Lobby 12,Round_1,North_America
12,Neutral Net,9,Lobby 12,Round_1,North_America
13,Chillz N Killz,8,Lobby 12,Round_1,North_America
14,ClemsonPurple,5,Lobby 12,Round_1,North_America
15,NaturalSelection,4,Lobby 12,Round_1,North_America
1,BP,112,Lobby 13,Round_1,North_America
2,Dexterous,59,Lobby 13,Round_1,North_America
3,Pickles,38,Lobby 13,Round_1,North_America
4,TRP,29,Lobby 13,Round_1,North_America
5,Nest,20,Lobby 13,Round_1,North_America
6,Stars Raws,17,Lobby 13,Round_1,North_America
7,Passivaggressive,16,Lobby 13,Round_1,North_America
8,MT Heads,14,Lobby 13,Round_1,North_America
9,TropicAlone 🍍,14,Lobby 13,Round_1,North_America
10,Merciless Pros,13,Lobby 13,Round_1,North_America
11,TiTanes Cronos,13,Lobby 13,Round_1,North_America
12,LULW,11,Lobby 13,Round_1,North_America
13,The Inmortals,10,Lobby 13,Round_1,North_America
14,Under Cover,9,Lobby 13,Round_1,North_America
15,ZombieNeverDie,6,Lobby 13,Round_1,North_America
1,TGJ,68,Lobby 14,Round_1,North_America
2,Whoms'tve Thiccs,65,Lobby 14,Round_1,North_America
3,Vandals,37,Lobby 14,Round_1,North_America
4,GBK DK’s,29,Lobby 14,Round_1,North_America
5,zyn,29,Lobby 14,Round_1,North_America
6,Bandits,20,Lobby 14,Round_1,North_America
7,Possibility,19,Lobby 14,Round_1,North_America
8,TexasRatsnakes,17,Lobby 14,Round_1,North_America
9,Abbys Sports,17,Lobby 14,Round_1,North_America
10,GIBRAWLERS,15,Lobby 14,Round_1,North_America
11,Hand of Fate,14,Lobby 14,Round_1,North_America
12,REXTOXICSLAYER,14,Lobby 14,Round_1,North_America
13,Fraggin & Laggin,11,Lobby 14,Round_1,North_America
14,24kt Boys,5,Lobby 14,Round_1,North_America
1,YouLikeThatMate?,88,Lobby 15,Round_1,North_America
2,InevitableGaming,62,Lobby 15,Round_1,North_America
3,LMX,39,Lobby 15,Round_1,North_America
4,4Fun,37,Lobby 15,Round_1,North_America
5,oni,33,Lobby 15,Round_1,North_America
6,"You stay, I go",25,Lobby 15,Round_1,North_America
7,Anger Of Nubs,21,Lobby 15,Round_1,North_America
8,Unlucky Players,13,Lobby 15,Round_1,North_America
9,Eleventh Squad,12,Lobby 15,Round_1,North_America
10,Mexican Demons,12,Lobby 15,Round_1,North_America
11,Valhalla,10,Lobby 15,Round_1,North_America
12,The Bread Bears,8,Lobby 15,Round_1,North_America
13,Better Not Run,7,Lobby 15,Round_1,North_America
14,Merk and Co,7,Lobby 15,Round_1,North_America
15,Aztecas Mex Team,3,Lobby 15,Round_1,North_America
1,BBJ,85,Lobby 16,Round_1,North_America
2,All The Smoke,66,Lobby 16,Round_1,North_America
3,LuxuryRose,51,Lobby 16,Round_1,North_America
4,The Stinkies,28,Lobby 16,Round_1,North_America
5,Buck Town Squad,18,Lobby 16,Round_1,North_America
6,Hardstuck Plat,17,Lobby 16,Round_1,North_America
7,CatDog,17,Lobby 16,Round_1,North_America
8,JustSomeWarriors,17,Lobby 16,Round_1,North_America
9,H4GAMING,13,Lobby 16,Round_1,North_America
10,ASE,13,Lobby 16,Round_1,North_America
11,Team Ravag3,12,Lobby 16,Round_1,North_America
12,Heavy Force,10,Lobby 16,Round_1,North_America
13,Lap Sap,9,Lobby 16,Round_1,North_America
14,YourMothersFav,6,Lobby 16,Round_1,North_America
15,Firebirds,1,Lobby 16,Round_1,North_America
1,Sokudo Plus,70,Lobby 17,Round_1,North_America
2,MOAN,50,Lobby 17,Round_1,North_America
3,Coconut Island,37,Lobby 17,Round_1,North_America
4,BQB,35,Lobby 17,Round_1,North_America
5,Savage Misfits,35,Lobby 17,Round_1,North_America
6,Alliance Esports,29,Lobby 17,Round_1,North_America
7,Koatl esports,21,Lobby 17,Round_1,North_America
8,Deathbox Hunters,18,Lobby 17,Round_1,North_America
9,OnTheRocks,12,Lobby 17,Round_1,North_America
10,AEG Esports,12,Lobby 17,Round_1,North_America
11,WiFi Boyz,10,Lobby 17,Round_1,North_America
12,UwUCrew,10,Lobby 17,Round_1,North_America
13,Virtual Nightmare,9,Lobby 17,Round_1,North_America
14,wizzy,5,Lobby 17,Round_1,North_America
15,The BRKN CNTRLR,4,Lobby 17,Round_1,North_America
1,Aisle 5,102,Lobby 18,Round_1,North_America
2,ZERO,51,Lobby 18,Round_1,North_America
3,Lorax,39,Lobby 18,Round_1,North_America
4,Razer 3dge Black,28,Lobby 18,Round_1,North_America
5,NightMare Red,28,Lobby 18,Round_1,North_America
6,Exoterran Y,26,Lobby 18,Round_1,North_America
7,L1FT,21,Lobby 18,Round_1,North_America
8,Audio Visual,13,Lobby 18,Round_1,North_America
9,Swagnificent,12,Lobby 18,Round_1,North_America
10,Vertic,11,Lobby 18,Round_1,North_America
11,ObviouslyMX,11,Lobby 18,Round_1,North_America
12,BootyBoyz,9,Lobby 18,Round_1,North_America
13,KING OF HELL,8,Lobby 18,Round_1,North_America
14,Mist Gaming,5,Lobby 18,Round_1,North_America
1,EST,86,Lobby 19,Round_1,North_America
2,Tijuana Piranas,56,Lobby 19,Round_1,North_America
3,Sniper Meta,54,Lobby 19,Round_1,North_America
4,Vault Hunters,33,Lobby 19,Round_1,North_America
5,Cod kids,23,Lobby 19,Round_1,North_America
6,2 Zoomers1boomer,19,Lobby 19,Round_1,North_America
7,The Big 3,17,Lobby 19,Round_1,North_America
8,KThrewLife,16,Lobby 19,Round_1,North_America
9,Team Boomer,14,Lobby 19,Round_1,North_America
10,Grizzy,12,Lobby 19,Round_1,North_America
11,Dominators,12,Lobby 19,Round_1,North_America
12,The Pack,11,Lobby 19,Round_1,North_America
13,oGwaffles,8,Lobby 19,Round_1,North_America
14,RAG3,6,Lobby 19,Round_1,North_America
15,Discord Admins,4,Lobby 19,Round_1,North_America
1,CLX,76,Lobby 1,Round_1,North_America
2,OA,55,Lobby 1,Round_1,North_America
3,RCO,44,Lobby 1,Round_1,North_America
4,PWM,39,Lobby 1,Round_1,North_America
5,TEAM Workaholics,37,Lobby 1,Round_1,North_America
6,Insane Xboxsers,33,Lobby 1,Round_1,North_America
7,Chud Bungus,15,Lobby 1,Round_1,North_America
8,Ampedant,15,Lobby 1,Round_1,North_America
9,Team Shadow Wolf,14,Lobby 1,Round_1,North_America
10,JustSomeNewGuys,12,Lobby 1,Round_1,North_America
11,2B1R,12,Lobby 1,Round_1,North_America
12,ControllerLegend,12,Lobby 1,Round_1,North_America
13,Carbon Esports,7,Lobby 1,Round_1,North_America
14,Tooshbags,6,Lobby 1,Round_1,North_America
15,Aces Team,3,Lobby 1,Round_1,North_America
1,NV Kwispy Tart,97,Lobby 20,Round_1,North_America
2,1 vs Lobby,40,Lobby 20,Round_1,North_America
3,NM,32,Lobby 20,Round_1,North_America
4,EKO,24,Lobby 20,Round_1,North_America
5,Watson 2 Strong,23,Lobby 20,Round_1,North_America
6,Impulsive Gaming,23,Lobby 20,Round_1,North_America
7,Distruttori Team,21,Lobby 20,Round_1,North_America
8,Team SlamJam,21,Lobby 20,Round_1,North_America
9,MAP,21,Lobby 20,Round_1,North_America
10,Guys Being Dudes,17,Lobby 20,Round_1,North_America
11,Phantom Troupe,15,Lobby 20,Round_1,North_America
12,APEX BOIZ,10,Lobby 20,Round_1,North_America
13,Triple Threat,9,Lobby 20,Round_1,North_America
14,Vortex CGO,8,Lobby 20,Round_1,North_America
15,Raw Dog Agents,7,Lobby 20,Round_1,North_America
1,JIN,70,Lobby 21,Round_1,North_America
2,NEAN,69,Lobby 21,Round_1,North_America
3,Spicy,55,Lobby 21,Round_1,North_America
4,Sussy Bakas,38,Lobby 21,Round_1,North_America
5,MexicanPowerTeam,22,Lobby 21,Round_1,North_America
6,TTN CRIO,18,Lobby 21,Round_1,North_America
7,JEAGERS,17,Lobby 21,Round_1,North_America
8,Anarchy,17,Lobby 21,Round_1,North_America
9,TeamHitX (missing),14,Lobby 21,Round_1,North_America
10,Int Us Hardef (missing),12,Lobby 21,Round_1,North_America
11,Rez Dogs,12,Lobby 21,Round_1,North_America
12,Stacked Pred,10,Lobby 21,Round_1,North_America
13,EthOS,9,Lobby 21,Round_1,North_America
14,All Outta Birds,6,Lobby 21,Round_1,North_America
15,Frequency,4,Lobby 21,Round_1,North_America
1,TPM,56,Lobby 22,Round_1,North_America
2,Shibby,47,Lobby 22,Round_1,North_America
3,Lethal Villains,47,Lobby 22,Round_1,North_America
4,AbsoluteMonarchy,45,Lobby 22,Round_1,North_America
5,TheBidetBoys,32,Lobby 22,Round_1,North_America
6,GNR,30,Lobby 22,Round_1,North_America
7,FROG,28,Lobby 22,Round_1,North_America
8,Godz of deci,23,Lobby 22,Round_1,North_America
9,Stuck Diamonds,13,Lobby 22,Round_1,North_America
10,Swanky Boys,13,Lobby 22,Round_1,North_America
11,LegendsnWarriors,12,Lobby 22,Round_1,North_America
12,Mictlan Esports,7,Lobby 22,Round_1,North_America
13,HiPoint,6,Lobby 22,Round_1,North_America
14,Deathbox Dealers,6,Lobby 22,Round_1,North_America
15,PosVibesOnly,0,Lobby 22,Round_1,North_America
1,En Carto Garmers (missing),61,Lobby 23,Round_1,North_America
2,RT,49,Lobby 23,Round_1,North_America
3,LF,42,Lobby 23,Round_1,North_America
4,Los Hefes,40,Lobby 23,Round_1,North_America
5,Them Boiz,32,Lobby 23,Round_1,North_America
6,Kaged,30,Lobby 23,Round_1,North_America
7,Spood Beest,23,Lobby 23,Round_1,North_America
8,The Other Guys,19,Lobby 23,Round_1,North_America
9,Eternal x Beasts,18,Lobby 23,Round_1,North_America
10,Corruption,16,Lobby 23,Round_1,North_America
11,Jolly Roger,14,Lobby 23,Round_1,North_America
12,Xbox,12,Lobby 23,Round_1,North_America
13,ChkyMoneyBadgers,10,Lobby 23,Round_1,North_America
14,The Spit Boys,10,Lobby 23,Round_1,North_America
15,GForce Team,4,Lobby 23,Round_1,North_America
1,Zachs Chest Hair,66,Lobby 24,Round_1,North_America
2,trippinoncables,52,Lobby 24,Round_1,North_America
3,Laggy 'n Rollers,51,Lobby 24,Round_1,North_America
4,ChayKayJay,38,Lobby 24,Round_1,North_America
5,TAG NA,31,Lobby 24,Round_1,North_America
6,Unlucky,30,Lobby 24,Round_1,North_America
7,Mid Piece,28,Lobby 24,Round_1,North_America
8,Captains,14,Lobby 24,Round_1,North_America
9,LF,13,Lobby 24,Round_1,North_America
10,Dunk Squad,12,Lobby 24,Round_1,North_America
11,ShadowPunisherMx,11,Lobby 24,Round_1,North_America
12,Bounty Hunters,6,Lobby 24,Round_1,North_America
13,Foreign Deity,6,Lobby 24,Round_1,North_America
14,Dream Catcherz,3,Lobby 24,Round_1,North_America
15,Anime Tibbiez,1,Lobby 24,Round_1,North_America
1,BOT,109,Lobby 25,Round_1,North_America
2,Shady Kings,47,Lobby 25,Round_1,North_America
3,ATRX,31,Lobby 25,Round_1,North_America
4,Team_Supr3me,28,Lobby 25,Round_1,North_America
5,Hold The Door,28,Lobby 25,Round_1,North_America
6,NoGiveupGaming,27,Lobby 25,Round_1,North_America
7,Dark Matter,16,Lobby 25,Round_1,North_America
8,Anfield,14,Lobby 25,Round_1,North_America
9,RISK,13,Lobby 25,Round_1,North_America
10,Filii Martis,13,Lobby 25,Round_1,North_America
11,Unicorn Guild,11,Lobby 25,Round_1,North_America
12,1k,10,Lobby 25,Round_1,North_America
13,Battle Axe GG,8,Lobby 25,Round_1,North_America
14,Dastardly Sharks,7,Lobby 25,Round_1,North_America
15,VermillionKnights,0,Lobby 25,Round_1,North_America
1,2B1C,87,Lobby 26,Round_1,North_America
2,pub stars,68,Lobby 26,Round_1,North_America
3,WASH,39,Lobby 26,Round_1,North_America
4,LNT,31,Lobby 26,Round_1,North_America
5,Yess,29,Lobby 26,Round_1,North_America
6,Tater,20,Lobby 26,Round_1,North_America
7,TheCerealKillers,16,Lobby 26,Round_1,North_America
8,ForcesGG,15,Lobby 26,Round_1,North_America
9,UnderWorldGaming,13,Lobby 26,Round_1,North_America
10,RLP,12,Lobby 26,Round_1,North_America
11,Akedos Gaming,11,Lobby 26,Round_1,North_America
12,Fuego,10,Lobby 26,Round_1,North_America
13,Night Raid,9,Lobby 26,Round_1,North_America
14,Pride Stark,8,Lobby 26,Round_1,North_America
1,Dark Matter,93,Lobby 27,Round_1,North_America
2,TAT,38,Lobby 27,Round_1,North_America
3,Wonderboys,33,Lobby 27,Round_1,North_America
4,Blockbuster,28,Lobby 27,Round_1,North_America
5,Movement Temple,28,Lobby 27,Round_1,North_America
6,Miso Hate Club,26,Lobby 27,Round_1,North_America
7,Buds and Beer,23,Lobby 27,Round_1,North_America
8,Iron Giant,17,Lobby 27,Round_1,North_America
9,Evil Eye,16,Lobby 27,Round_1,North_America
10,Just The Boys,15,Lobby 27,Round_1,North_America
11,VATOS LOCOS,12,Lobby 27,Round_1,North_America
12,Perpetual Empire,11,Lobby 27,Round_1,North_America
13,APEX BOOMERS,9,Lobby 27,Round_1,North_America
14,Literal Bots,7,Lobby 27,Round_1,North_America
15,Soli Deo Gloria,0,Lobby 27,Round_1,North_America
1,Content Squad,52,Lobby 28,Round_1,North_America
2,NOXIOUS,48,Lobby 28,Round_1,North_America
3,JOYBOYS,48,Lobby 28,Round_1,North_America
4,Spacelanders,37,Lobby 28,Round_1,North_America
5,TeamDreams,34,Lobby 28,Round_1,North_America
6,DarkRoyalNation,32,Lobby 28,Round_1,North_America
7,PradoHouseCigar,21,Lobby 28,Round_1,North_America
8,Team Name,19,Lobby 28,Round_1,North_America
9,Plimbo,19,Lobby 28,Round_1,North_America
10,UNDD,18,Lobby 28,Round_1,North_America
11,The Dusters,15,Lobby 28,Round_1,North_America
12,Vengeance,11,Lobby 28,Round_1,North_America
13,EXOTICK,9,Lobby 28,Round_1,North_America
14,Zime,5,Lobby 28,Round_1,North_America
15,Bulldogs,4,Lobby 28,Round_1,North_America
1,WPH,57,Lobby 29,Round_1,North_America
2,Specter,55,Lobby 29,Round_1,North_America
3,Raised By Wolves,48,Lobby 29,Round_1,North_America
4,4 Told,34,Lobby 29,Round_1,North_America
5,MoonStone,33,Lobby 29,Round_1,North_America
6,Chefs,31,Lobby 29,Round_1,North_America
7,GearsKidsonApex,25,Lobby 29,Round_1,North_America
8,Onyx,24,Lobby 29,Round_1,North_America
9,Lights Out,18,Lobby 29,Round_1,North_America
10,CastAways,15,Lobby 29,Round_1,North_America
11,Suck my thermite,10,Lobby 29,Round_1,North_America
12,RND,8,Lobby 29,Round_1,North_America
13,TNGS,7,Lobby 29,Round_1,North_America
14,AirPlane Mode,5,Lobby 29,Round_1,North_America
15,Built For War,2,Lobby 29,Round_1,North_America
1,BW,102,Lobby 2,Round_1,North_America
2,Spooky Scary,66,Lobby 2,Round_1,North_America
3,HololiveDXD,26,Lobby 2,Round_1,North_America
4,6ide,23,Lobby 2,Round_1,North_America
5,ParkingLotBirds,21,Lobby 2,Round_1,North_America
6,Azakana,20,Lobby 2,Round_1,North_America
7,Bot Squad,17,Lobby 2,Round_1,North_America
8,Team Animo,17,Lobby 2,Round_1,North_America
9,The Not Squad,16,Lobby 2,Round_1,North_America
10,KingsVictoryClub,15,Lobby 2,Round_1,North_America
11,AVS,12,Lobby 2,Round_1,North_America
12,Remember Reach,11,Lobby 2,Round_1,North_America
13,Themeathouse,10,Lobby 2,Round_1,North_America
14,Team Raven,8,Lobby 2,Round_1,North_America
1,Jacked and Tan,87,Lobby 30,Round_1,North_America
2,MoJo,52,Lobby 30,Round_1,North_America
3,UORG,48,Lobby 30,Round_1,North_America
4,BobaBallers,27,Lobby 30,Round_1,North_America
5,Black Panthers,26,Lobby 30,Round_1,North_America
6,G7 Legends,21,Lobby 30,Round_1,North_America
7,Sopa de Mancos,17,Lobby 30,Round_1,North_America
8,SolarImpact,17,Lobby 30,Round_1,North_America
9,Elation Esports,17,Lobby 30,Round_1,North_America
10,TTN ALPHA,16,Lobby 30,Round_1,North_America
11,Los Nenuckles,12,Lobby 30,Round_1,North_America
12,Tin Roof Tacos,6,Lobby 30,Round_1,North_America
13,Krazy Krew,6,Lobby 30,Round_1,North_America
14,WRLDDomination,2,Lobby 30,Round_1,North_America
1,Unsigned Talent,89,Lobby 31,Round_1,North_America
2,C K 8,58,Lobby 31,Round_1,North_America
3,Yuzu Dog,44,Lobby 31,Round_1,North_America
4,Baecation,27,Lobby 31,Round_1,North_America
5,Global,26,Lobby 31,Round_1,North_America
6,Intertainers,23,Lobby 31,Round_1,North_America
7,Dee Em Zee,22,Lobby 31,Round_1,North_America
8,VHS,17,Lobby 31,Round_1,North_America
9,El Sindicato,12,Lobby 31,Round_1,North_America
10,Valkyrie Array,12,Lobby 31,Round_1,North_America
11,Silhouette,12,Lobby 31,Round_1,North_America
12,Fog Yo City,9,Lobby 31,Round_1,North_America
13,The Wolf Union,9,Lobby 31,Round_1,North_America
14,Hard stuck D4,9,Lobby 31,Round_1,North_America
15,Green Bean Gang,2,Lobby 31,Round_1,North_America
1,BAD,75,Lobby 32,Round_1,North_America
2,IFE,75,Lobby 32,Round_1,North_America
3,OrgSignUs,36,Lobby 32,Round_1,North_America
4,SUP,35,Lobby 32,Round_1,North_America
5,Adonitology,28,Lobby 32,Round_1,North_America
6,Devils x Death,17,Lobby 32,Round_1,North_America
7,Shadow IllusionZ,15,Lobby 32,Round_1,North_America
8,Solus,14,Lobby 32,Round_1,North_America
9,ill,14,Lobby 32,Round_1,North_America
10,Aim Botz,14,Lobby 32,Round_1,North_America
11,We Better Word,13,Lobby 32,Round_1,North_America
12,GLO,12,Lobby 32,Round_1,North_America
13,JokersFC,4,Lobby 32,Round_1,North_America
14,MBM,4,Lobby 32,Round_1,North_America
1,Hooiya,102,Lobby 3,Round_1,North_America
2,TOAOS GG,41,Lobby 3,Round_1,North_America
3,2Sticks1Musician,36,Lobby 3,Round_1,North_America
4,Monke Mode 3B,31,Lobby 3,Round_1,North_America
5,Shadow Point,24,Lobby 3,Round_1,North_America
6,Apex orphans,23,Lobby 3,Round_1,North_America
7,Forever Gaming,19,Lobby 3,Round_1,North_America
8,Bull Gang,19,Lobby 3,Round_1,North_America
9,Kaen Esports,18,Lobby 3,Round_1,North_America
10,Tokyo manji,17,Lobby 3,Round_1,North_America
11,OwO,16,Lobby 3,Round_1,North_America
12,HYPERION,14,Lobby 3,Round_1,North_America
13,Bocek Bandits,8,Lobby 3,Round_1,North_America
14,Gauntlet Esports,8,Lobby 3,Round_1,North_America
15,DFA,6,Lobby 3,Round_1,North_America
1,DNO,91,Lobby 4,Round_1,North_America
2,Controller Bots,41,Lobby 4,Round_1,North_America
3,ING,30,Lobby 4,Round_1,North_America
4,Nobody,28,Lobby 4,Round_1,North_America
5,Kox Gaming,26,Lobby 4,Round_1,North_America
6,Hardstuck10k,25,Lobby 4,Round_1,North_America
7,XcellentEra,24,Lobby 4,Round_1,North_America
8,UBC Blue,19,Lobby 4,Round_1,North_America
9,ROT,18,Lobby 4,Round_1,North_America
10,The Monke Men,16,Lobby 4,Round_1,North_America
11,INF,15,Lobby 4,Round_1,North_America
12,Lonesome Devils,12,Lobby 4,Round_1,North_America
13,Dub4Bub,9,Lobby 4,Round_1,North_America
14,Modern Esports,9,Lobby 4,Round_1,North_America
15,LegendaryEsports,8,Lobby 4,Round_1,North_America
1,SMP,93,Lobby 5,Round_1,North_America
2,Dumpsters,49,Lobby 5,Round_1,North_America
3,We Lose,39,Lobby 5,Round_1,North_America
4,Selfish Team,33,Lobby 5,Round_1,North_America
5,High Dexterity,22,Lobby 5,Round_1,North_America
6,MEAL Team 6,20,Lobby 5,Round_1,North_America
7,WeBall,17,Lobby 5,Round_1,North_America
8,SQS Gaming,17,Lobby 5,Round_1,North_America
9,Fallen Legacy,16,Lobby 5,Round_1,North_America
10,SW,15,Lobby 5,Round_1,North_America
11,BlueDevilsGaming,14,Lobby 5,Round_1,North_America
12,Bro Exclusive,14,Lobby 5,Round_1,North_America
13,Cerberus,14,Lobby 5,Round_1,North_America
14,Good Vibes Only,8,Lobby 5,Round_1,North_America
15,Rising. Phoenix,7,Lobby 5,Round_1,North_America
1,Insurgents,48,Lobby 6,Round_1,North_America
2,Pipeliners,47,Lobby 6,Round_1,North_America
3,TS,39,Lobby 6,Round_1,North_America
4,KDT,39,Lobby 6,Round_1,North_America
5,Hi,36,Lobby 6,Round_1,North_America
6,The Loud Boys,35,Lobby 6,Round_1,North_America
7,AGL,28,Lobby 6,Round_1,North_America
8,Team Asensinos,25,Lobby 6,Round_1,North_America
9,Team Pepinito,14,Lobby 6,Round_1,North_America
10,Sleepy Hut,14,Lobby 6,Round_1,North_America
11,Exoterran X,12,Lobby 6,Round_1,North_America
12,Squid Squad,11,Lobby 6,Round_1,North_America
13,ELIT3 EMPIRE,9,Lobby 6,Round_1,North_America
14,The Banner Bros,8,Lobby 6,Round_1,North_America
15,Three Lil Bots,4,Lobby 6,Round_1,North_America
1,NBL,66,Lobby 7,Round_1,North_America
