Standings,Team.1,Total,Lobby,Round,Region
8,Dimple Esport,23,Lobby 2,Quarterfinals,APAC_South
9,RNG,21,Lobby 2,Quarterfinals,APAC_South
10,Pavlova,19,Lobby 2,Quarterfinals,APAC_South
11,Suspicious Fools,18,Lobby 2,Quarterfinals,APAC_South
12,ANgun,11,Lobby 2,Quarterfinals,APAC_South
13,DSG,11,Lobby 2,Quarterfinals,APAC_South
14,Elegants,9,Lobby 2,Quarterfinals,APAC_South
15,YOII,9,Lobby 2,Quarterfinals,APAC_South
16,DESI,7,Lobby 2,Quarterfinals,APAC_South
17,Bad Genius,5,Lobby 2,Quarterfinals,APAC_South
18,Anthem Sygma,1,Lobby 2,Quarterfinals,APAC_South
19,Joker,0,Lobby 2,Quarterfinals,APAC_South
20,DDYM,0,Lobby 2,Quarterfinals,APAC_South
1,O3,79,Lobby 3,Quarterfinals,APAC_South
2,DYN,51,Lobby 3,Quarterfinals,APAC_South
3,WGG,49,Lobby 3,Quarterfinals,APAC_South
4,On the Sticks,35,Lobby 3,Quarterfinals,APAC_South
5,RL.Genesis,33,Lobby 3,Quarterfinals,APAC_South
6,AMG TW,32,Lobby 3,Quarterfinals,APAC_South
7,Hardstuck D4,29,Lobby 3,Quarterfinals,APAC_South
8,NonetWork,19,Lobby 3,Quarterfinals,APAC_South
9,InfernoDSC,17,Lobby 3,Quarterfinals,APAC_South
10,LittleMeow,13,Lobby 3,Quarterfinals,APAC_South
11,Boink Gang,12,Lobby 3,Quarterfinals,APAC_South
12,TooSoonParty,10,Lobby 3,Quarterfinals,APAC_South
13,LAG,9,Lobby 3,Quarterfinals,APAC_South
14,Team Lockdown,8,Lobby 3,Quarterfinals,APAC_South
15,Multicultural,7,Lobby 3,Quarterfinals,APAC_South
16,Astreaks Gaming,6,Lobby 3,Quarterfinals,APAC_South
17,God's Geek Gang,6,Lobby 3,Quarterfinals,APAC_South
18,R1,4,Lobby 3,Quarterfinals,APAC_South
19,Triple Cobra,4,Lobby 3,Quarterfinals,APAC_South
20,SmoothOperators,0,Lobby 3,Quarterfinals,APAC_South
1,TX,72,Lobby 4,Quarterfinals,APAC_South
2,HeadHunters,45,Lobby 4,Quarterfinals,APAC_South
3,PG,41,Lobby 4,Quarterfinals,APAC_South
4,iON,40,Lobby 4,Quarterfinals,APAC_South
5,WGGxPK,38,Lobby 4,Quarterfinals,APAC_South
6,MBTN,36,Lobby 4,Quarterfinals,APAC_South
7,QE.NY,33,Lobby 4,Quarterfinals,APAC_South
8,South Cartel,22,Lobby 4,Quarterfinals,APAC_South
9,EVO BERZ,21,Lobby 4,Quarterfinals,APAC_South
10,Antiaa,15,Lobby 4,Quarterfinals,APAC_South
11,RJININ,14,Lobby 4,Quarterfinals,APAC_South
12,StrawberryJam,11,Lobby 4,Quarterfinals,APAC_South
13,Bot Bot,11,Lobby 4,Quarterfinals,APAC_South
14,DifferentBreed,10,Lobby 4,Quarterfinals,APAC_South
15,Team Shinigami,8,Lobby 4,Quarterfinals,APAC_South
16,Nim Nim Esport,4,Lobby 4,Quarterfinals,APAC_South
17,BTCxWGG,4,Lobby 4,Quarterfinals,APAC_South
18,NMLS,2,Lobby 4,Quarterfinals,APAC_South
19,Tomato town,1,Lobby 4,Quarterfinals,APAC_South
20,Haiya,1,Lobby 4,Quarterfinals,APAC_South
1,Nooobix,69,Lobby 10,Round_1,EMEA
2,Plombralicious,45,Lobby 10,Round_1,EMEA
3,GOD,42,Lobby 10,Round_1,EMEA
4,SCTA,35,Lobby 10,Round_1,EMEA
5,Sxercise,33,Lobby 10,Round_1,EMEA
6,RAT,30,Lobby 10,Round_1,EMEA
7,K1CK,29,Lobby 10,Round_1,EMEA
8,SUETA,25,Lobby 10,Round_1,EMEA
9,Controller City,19,Lobby 10,Round_1,EMEA
10,SPL,18,Lobby 10,Round_1,EMEA
11,KsT Team,16,Lobby 10,Round_1,EMEA
12,SHEESH,12,Lobby 10,Round_1,EMEA
13,AilTéTé,12,Lobby 10,Round_1,EMEA
14,Misfits,9,Lobby 10,Round_1,EMEA
15,Duck Goes Quack,7,Lobby 10,Round_1,EMEA
16,3GallicRoosters,6,Lobby 10,Round_1,EMEA
17,Shieldmaiden,5,Lobby 10,Round_1,EMEA
18,SS,4,Lobby 10,Round_1,EMEA
1,TREX,100,Lobby 11,Round_1,EMEA
2,Illuminary FTW,38,Lobby 11,Round_1,EMEA
3,Lunar,31,Lobby 11,Round_1,EMEA
4,TURKs,28,Lobby 11,Round_1,EMEA
5,NoWay XBox,27,Lobby 11,Round_1,EMEA
6,NurzethexStyleS,27,Lobby 11,Round_1,EMEA
7,Peak Performerz,25,Lobby 11,Round_1,EMEA
8,uwuowoboys,24,Lobby 11,Round_1,EMEA
9,Carnage,17,Lobby 11,Round_1,EMEA
10,TRS Clan,16,Lobby 11,Round_1,EMEA
11,WeHaveNoLives,15,Lobby 11,Round_1,EMEA
12,KYKLOS,13,Lobby 11,Round_1,EMEA
13,Last Light,13,Lobby 11,Round_1,EMEA
14,DSI,13,Lobby 11,Round_1,EMEA
15,SkyFam,12,Lobby 11,Round_1,EMEA
16,Apes Legends,9,Lobby 11,Round_1,EMEA
17,ottr Plus 2,5,Lobby 11,Round_1,EMEA
18,The Clumdogs,3,Lobby 11,Round_1,EMEA
1,Tweetlonger,67,Lobby 12,Round_1,EMEA
2,HNY,61,Lobby 12,Round_1,EMEA
3,ATK,57,Lobby 12,Round_1,EMEA
4,DI,47,Lobby 12,Round_1,EMEA
5,HLDC,40,Lobby 12,Round_1,EMEA
6,Aspirateur,21,Lobby 12,Round_1,EMEA
7,69IQ,20,Lobby 12,Round_1,EMEA
8,TRIADA,16,Lobby 12,Round_1,EMEA
9,BlueCheeseGaming,14,Lobby 12,Round_1,EMEA
10,LPm,12,Lobby 12,Round_1,EMEA
11,SirCollyLemonz,8,Lobby 12,Round_1,EMEA
12,Over The Top Sgv,7,Lobby 12,Round_1,EMEA
13,pull up gang,7,Lobby 12,Round_1,EMEA
14,Icedentz,6,Lobby 12,Round_1,EMEA
15,NPS,5,Lobby 12,Round_1,EMEA
16,Simply_E_Sports,5,Lobby 12,Round_1,EMEA
17,Bikes,5,Lobby 12,Round_1,EMEA
18,FulL on TilT!,0,Lobby 12,Round_1,EMEA
1,BOOBA,52,Lobby 13,Round_1,EMEA
2,JIGSAW,39,Lobby 13,Round_1,EMEA
3,MF,36,Lobby 13,Round_1,EMEA
4,FaTuttoilPad,31,Lobby 13,Round_1,EMEA
5,NIBL,30,Lobby 13,Round_1,EMEA
6,Siliciler,29,Lobby 13,Round_1,EMEA
7,Enoughandmore,27,Lobby 13,Round_1,EMEA
8,T3W,24,Lobby 13,Round_1,EMEA
9,Vagabonds,23,Lobby 13,Round_1,EMEA
10,FIRE CLAN,23,Lobby 13,Round_1,EMEA
11,Quartis,21,Lobby 13,Round_1,EMEA
12,Acid Papis,19,Lobby 13,Round_1,EMEA
13,TororosGang,16,Lobby 13,Round_1,EMEA
14,HunApexPredators,11,Lobby 13,Round_1,EMEA
15,Triangle Mafia,10,Lobby 13,Round_1,EMEA
16,n00rmiki,8,Lobby 13,Round_1,EMEA
17,ENDSARZZ,4,Lobby 13,Round_1,EMEA
1,RD,75,Lobby 14,Round_1,EMEA
2,Sheriffs,63,Lobby 14,Round_1,EMEA
3,signelunaire,51,Lobby 14,Round_1,EMEA
4,Team Volpid,35,Lobby 14,Round_1,EMEA
5,NXB,32,Lobby 14,Round_1,EMEA
6,Nuclear Apes,28,Lobby 14,Round_1,EMEA
7,Kvasna,24,Lobby 14,Round_1,EMEA
8,Vain,20,Lobby 14,Round_1,EMEA
9,Lagom,19,Lobby 14,Round_1,EMEA
10,Wellenförmig™,18,Lobby 14,Round_1,EMEA
11,Južni Vetar Gas,10,Lobby 14,Round_1,EMEA
12,Hookahge,8,Lobby 14,Round_1,EMEA
13,Wait For Top 6 A,7,Lobby 14,Round_1,EMEA
14,Insane Vecchio,7,Lobby 14,Round_1,EMEA
