Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split,Region
13.0,BFG,23,11,6,9,1,17,1,11,4,Lobby 2,Semifinals,8.0,1.0,14.0,3.0,Split_1,EMEA
14.0,Steamroller,23,3,1,13,0,10,3,15,0,Lobby 2,Semifinals,6.0,4.0,13.0,0.0,Split_1,EMEA
15.0,ALKaIIIbI,18,4,3,19,0,12,0,7,4,Lobby 2,Semifinals,11.0,1.0,18.0,0.0,Split_1,EMEA
16.0,Yes,18,12,0,7,3,15,0,6,1,Lobby 2,Semifinals,13.0,0.0,5.0,1.0,Split_1,EMEA
17.0,2.5WL,14,13,0,15,2,18,2,12,1,Lobby 2,Semifinals,15.0,3.0,11.0,1.0,Split_1,EMEA
18.0,3FR,13,14,0,17,0,11,0,9,2,Lobby 2,Semifinals,7.0,3.0,16.0,1.0,Split_1,EMEA
19.0,ILL,9,16,6,11,1,14,0,20,0,Lobby 2,Semifinals,20.0,0.0,20.0,0.0,Split_1,EMEA
20.0,Kryptic,5,19,0,8,0,13,1,16,0,Lobby 2,Semifinals,18.0,0.0,15.0,0.0,Split_1,EMEA
1.0,SJP2,70,1,9,4,8,18,0,6,7,Lobby 1,Finals,12.0,2.0,1.0,11.0,Split_1,EMEA
2.0,NXB,56,15,2,18,0,4,8,3,9,Lobby 1,Finals,3.0,5.0,4.0,7.0,Split_1,EMEA
3.0,GOD,55,6,3,8,5,2,8,2,8,Lobby 1,Finals,20.0,0.0,5.0,4.0,Split_1,EMEA
4.0,SSD,50,4,3,16,0,10,6,8,2,Lobby 1,Finals,1.0,17.0,17.0,1.0,Split_1,EMEA
5.0,SMS,50,3,5,2,10,3,5,20,0,Lobby 1,Finals,17.0,0.0,6.0,4.0,Split_1,EMEA
6.0,LOS,50,9,2,17,3,1,8,4,5,Lobby 1,Finals,2.0,4.0,19.0,0.0,Split_1,EMEA
7.0,SYND,46,2,5,14,1,7,4,13,0,Lobby 1,Finals,5.0,3.0,3.0,8.0,Split_1,EMEA
8.0,Zeta,38,8,4,6,1,5,3,1,3,Lobby 1,Finals,11.0,2.0,8.0,1.0,Split_1,EMEA
9.0,CHI,36,5,4,3,2,15,0,12,0,Lobby 1,Finals,4.0,5.0,7.0,4.0,Split_1,EMEA
