Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Region
1,Jamboree,79,2,12,2,21,9,3,1,11,Lobby 3,Quarterfinals,,,,,APAC_North
2,Lunatics,43,9,1,3,12,8,3,4,11,Lobby 3,Quarterfinals,,,,,APAC_North
3,DCN,40,1,11,4,1,10,1,6,5,Lobby 3,Quarterfinals,,,,,APAC_North
4,Ace1,32,17,3,9,6,3,8,10,4,Lobby 3,Quarterfinals,,,,,APAC_North
5,QueenSquadRoyal,30,13,0,14,0,1,13,15,2,Lobby 3,Quarterfinals,,,,,APAC_North
6,LandMarkGondola,28,12,0,7,4,11,3,2,7,Lobby 3,Quarterfinals,,,,,APAC_North
7,NANB,26,3,6,1,1,18,0,20,0,Lobby 3,Quarterfinals,,,,,APAC_North
8,InTheSky,23,4,12,6,2,14,0,18,0,Lobby 3,Quarterfinals,,,,,APAC_North
9,MRB,21,15,0,15,0,2,9,14,0,Lobby 3,Quarterfinals,,,,,APAC_North
10,KaisenDONDON,20,5,2,11,0,12,2,3,3,Lobby 3,Quarterfinals,,,,,APAC_North
11,NFM,14,6,5,16,0,19,0,13,5,Lobby 3,Quarterfinals,,,,,APAC_North
12,Yoropikumin,13,20,0,20,0,5,8,12,0,Lobby 3,Quarterfinals,,,,,APAC_North
13,Luna Llena,13,10,2,17,0,4,0,7,1,Lobby 3,Quarterfinals,,,,,APAC_North
14,MiJP,12,18,0,5,5,15,0,11,1,Lobby 3,Quarterfinals,,,,,APAC_North
15,BeastMode,11,8,3,13,0,17,0,5,1,Lobby 3,Quarterfinals,,,,,APAC_North
16,Fujii Gaming,10,7,0,12,3,13,2,19,0,Lobby 3,Quarterfinals,,,,,APAC_North
17,NAT,10,16,0,10,1,7,2,8,0,Lobby 3,Quarterfinals,,,,,APAC_North
18,EB,7,11,0,18,0,6,3,16,0,Lobby 3,Quarterfinals,,,,,APAC_North
19,WYV,5,14,0,8,0,16,0,9,0,Lobby 3,Quarterfinals,,,,,APAC_North
20,SAEKO,3,19,0,19,0,20,0,17,3,Lobby 3,Quarterfinals,,,,,APAC_North
1,456,59,3,2,3,6,4,13,1,7,Lobby 4,Quarterfinals,,,,,APAC_North
2,EXiA KR,52,6,3,19,3,2,9,3,18,Lobby 4,Quarterfinals,,,,,APAC_North
3,Marine,51,1,13,1,10,13,2,16,1,Lobby 4,Quarterfinals,,,,,APAC_North
4,Black,36,10,2,5,8,3,6,9,5,Lobby 4,Quarterfinals,,,,,APAC_North
5,TSURUGI,34,2,7,2,2,5,2,18,1,Lobby 4,Quarterfinals,,,,,APAC_North
6,ORC,29,17,0,7,4,20,0,2,13,Lobby 4,Quarterfinals,,,,,APAC_North
7,RPG,26,5,4,4,4,6,2,10,2,Lobby 4,Quarterfinals,,,,,APAC_North
8,ARK5,23,16,0,6,1,1,6,11,0,Lobby 4,Quarterfinals,,,,,APAC_North
9,GODOsushiTabetai,18,7,4,13,0,15,1,5,4,Lobby 4,Quarterfinals,,,,,APAC_North
10,RDO,18,11,3,10,2,8,1,4,2,Lobby 4,Quarterfinals,,,,,APAC_North
