Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Region
9,PauseChamps,22,4,6,9,3,15,0,8,3,Lobby 4,Round_2,,,,,EMEA
10,Mat For Victory,19,2,5,16,0,9,0,11,2,Lobby 4,Round_2,,,,,EMEA
11,ARIS,16,5,3,10,0,5,3,17,0,Lobby 4,Round_2,,,,,EMEA
12,Crying our best,14,16,0,6,0,8,5,12,3,Lobby 4,Round_2,,,,,EMEA
13,PunX,14,11,0,8,4,7,1,6,0,Lobby 4,Round_2,,,,,EMEA
14,Senshi,11,20,0,4,2,12,1,16,2,Lobby 4,Round_2,,,,,EMEA
15,no team name,7,12,0,18,0,13,4,15,0,Lobby 4,Round_2,,,,,EMEA
16,KJT,6,18,0,11,0,18,0,14,4,Lobby 4,Round_2,,,,,EMEA
17,WARM Esport,6,9,1,17,0,6,0,18,0,Lobby 4,Round_2,,,,,EMEA
18,EFG,2,14,0,14,0,16,0,20,0,Lobby 4,Round_2,,,,,EMEA
19,Apex Who Dis,1,15,0,20,0,20,0,20,0,Lobby 4,Round_2,,,,,EMEA
20,Xaler,1,19,0,19,0,19,0,13,0,Lobby 4,Round_2,,,,,EMEA
1,K1CK,70,1,7,1,12,5,7,3,9,Lobby 5,Round_2,,,,,EMEA
2,KIMADAZ,43,12,1,12,0,3,10,1,11,Lobby 5,Round_2,,,,,EMEA
3,Sxercise,37,17,0,6,1,1,6,2,6,Lobby 5,Round_2,,,,,EMEA
4,Plombralicious,36,4,9,4,10,9,1,8,2,Lobby 5,Round_2,,,,,EMEA
5,PRSTS,34,13,5,3,3,4,6,6,4,Lobby 5,Round_2,,,,,EMEA
6,SCTA,31,14,4,2,6,6,1,4,2,Lobby 5,Round_2,,,,,EMEA
7,SCBS,28,2,5,10,3,7,2,7,1,Lobby 5,Round_2,,,,,EMEA
8,CHI,19,5,1,5,4,12,3,10,0,Lobby 5,Round_2,,,,,EMEA
9,RAT,18,3,2,11,6,15,0,12,0,Lobby 5,Round_2,,,,,EMEA
10,Controller City,18,10,0,9,0,2,5,17,0,Lobby 5,Round_2,,,,,EMEA
11,Ragshack Bangers,16,8,6,8,0,11,0,13,4,Lobby 5,Round_2,,,,,EMEA
12,Beams Only,16,9,3,7,0,16,0,5,4,Lobby 5,Round_2,,,,,EMEA
13,Explosion,14,6,6,14,2,14,0,11,0,Lobby 5,Round_2,,,,,EMEA
14,Nooobix,12,19,0,16,3,8,5,15,1,Lobby 5,Round_2,,,,,EMEA
15,ThatsaYouProblem,11,15,3,15,1,17,0,9,3,Lobby 5,Round_2,,,,,EMEA
16,SPL,11,7,2,17,0,10,1,14,2,Lobby 5,Round_2,,,,,EMEA
17,GOD,10,11,1,13,3,13,0,16,3,Lobby 5,Round_2,,,,,EMEA
18,Exiled,0,16,0,20,0,20,0,20,0,Lobby 5,Round_2,,,,,EMEA
19,SUETA,0,18,0,18,0,20,0,20,0,Lobby 5,Round_2,,,,,EMEA
20,fifth grader,0,20,0,20,0,20,0,20,0,Lobby 5,Round_2,,,,,EMEA
1,DI,64,11,6,3,11,2,10,3,13,Lobby 6,Round_2,,,,,EMEA
2,69IQ,50,1,17,13,4,7,7,8,4,Lobby 6,Round_2,,,,,EMEA
3,uwuowoboys,42,6,0,1,9,4,5,4,3,Lobby 6,Round_2,,,,,EMEA
4,TREX,40,19,0,7,6,3,5,1,7,Lobby 6,Round_2,,,,,EMEA
5,ATK,33,8,2,2,9,5,4,13,2,Lobby 6,Round_2,,,,,EMEA
6,TURKs,30,4,7,15,2,15,3,2,2,Lobby 6,Round_2,,,,,EMEA
7,NoWay XBox,30,10,0,10,0,1,8,7,3,Lobby 6,Round_2,,,,,EMEA
8,Aspirateur,29,2,9,17,0,9,2,10,5,Lobby 6,Round_2,,,,,EMEA
9,NurzethexStyleS,18,3,9,18,1,16,0,15,0,Lobby 6,Round_2,,,,,EMEA
10,Lunar,18,5,3,9,0,12,0,5,4,Lobby 6,Round_2,,,,,EMEA
11,Tweetlonger,17,12,1,11,5,11,2,6,3,Lobby 6,Round_2,,,,,EMEA
12,HNY,14,9,0,4,2,6,1,11,0,Lobby 6,Round_2,,,,,EMEA
13,Illuminary FTW,13,7,2,5,0,13,0,9,1,Lobby 6,Round_2,,,,,EMEA
14,HLDC,9,16,2,8,0,10,3,16,0,Lobby 6,Round_2,,,,,EMEA
15,Peak Performerz,6,17,0,14,2,8,1,17,0,Lobby 6,Round_2,,,,,EMEA
16,LPm,6,13,0,12,0,14,0,12,2,Lobby 6,Round_2,,,,,EMEA
17,Carnage,6,15,0,6,1,17,0,14,0,Lobby 6,Round_2,,,,,EMEA
18,TRIADA,1,14,0,20,0,20,0,20,0,Lobby 6,Round_2,,,,,EMEA
19,BlueCheeseGaming,0,18,0,16,0,20,0,20,0,Lobby 6,Round_2,,,,,EMEA
20,TRS Clan,0,20,0,20,0,20,0,20,0,Lobby 6,Round_2,,,,,EMEA
1,Sheriffs,72,5,6,1,17,12,6,1,14,Lobby 7,Round_2,,,,,EMEA
2,Team Volpid,62,3,14,2,7,2,7,4,4,Lobby 7,Round_2,,,,,EMEA
3,RD,43,1,7,15,2,9,11,13,7,Lobby 7,Round_2,,,,,EMEA
4,signelunaire,28,7,0,3,6,10,4,6,3,Lobby 7,Round_2,,,,,EMEA
5,Enoughandmore,27,8,1,6,0,1,8,11,0,Lobby 7,Round_2,,,,,EMEA
6,Kvasna,25,17,1,11,1,11,3,2,9,Lobby 7,Round_2,,,,,EMEA
7,Nuclear Apes,23,4,1,4,1,5,4,9,1,Lobby 7,Round_2,,,,,EMEA
8,BOOBA,22,11,4,5,2,6,1,5,3,Lobby 7,Round_2,,,,,EMEA
9,NIBL,21,2,6,14,0,13,0,10,2,Lobby 7,Round_2,,,,,EMEA
10,JIGSAW,19,15,0,7,6,14,0,3,1,Lobby 7,Round_2,,,,,EMEA
11,T3W,17,13,0,8,4,4,3,8,0,Lobby 7,Round_2,,,,,EMEA
12,MF,15,19,1,13,0,7,0,7,7,Lobby 7,Round_2,,,,,EMEA
13,Vain,10,12,2,10,1,8,1,14,0,Lobby 7,Round_2,,,,,EMEA
14,FaTuttoilPad,10,14,0,17,0,3,1,12,0,Lobby 7,Round_2,,,,,EMEA
15,NXB,7,6,4,16,0,18,0,17,0,Lobby 7,Round_2,,,,,EMEA
16,Siliciler,7,9,3,18,0,15,0,15,0,Lobby 7,Round_2,,,,,EMEA
17,FIRE CLAN,5,18,0,9,3,16,0,18,0,Lobby 7,Round_2,,,,,EMEA
18,Lagom,3,10,0,12,0,17,0,16,0,Lobby 7,Round_2,,,,,EMEA
19,Wellenförmig™,0,16,0,20,0,20,0,20,0,Lobby 7,Round_2,,,,,EMEA
20,Vagabonds,0,20,0,20,0,20,0,20,0,Lobby 7,Round_2,,,,,EMEA
1,Undertaker,62,2,13,1,7,8,6,3,6,Lobby 8,Round_2,,,,,EMEA
2,CLN,52,6,9,9,11,4,6,6,13,Lobby 8,Round_2,,,,,EMEA
3,3 Jabronies,37,3,3,6,2,1,8,13,1,Lobby 8,Round_2,,,,,EMEA
4,NMS,34,1,6,10,4,11,5,11,3,Lobby 8,Round_2,,,,,EMEA
5,Monkey Milkers,27,10,0,3,5,9,6,7,2,Lobby 8,Round_2,,,,,EMEA
6,Bacalhau,27,11,0,13,0,5,3,1,6,Lobby 8,Round_2,,,,,EMEA
7,SPPI,26,14,0,16,0,2,3,2,4,Lobby 8,Round_2,,,,,EMEA
8,HKE,23,4,4,17,1,13,0,5,8,Lobby 8,Round_2,,,,,EMEA
9,OG,19,15,2,11,0,10,6,4,2,Lobby 8,Round_2,,,,,EMEA
10,MZY,19,18,0,2,6,14,1,8,0,Lobby 8,Round_2,,,,,EMEA
11,Kryptic,18,7,4,4,1,7,1,15,0,Lobby 8,Round_2,,,,,EMEA
12,Vanaheim Gaming,17,13,0,8,4,3,3,16,0,Lobby 8,Round_2,,,,,EMEA
13,1515,16,12,1,5,5,15,0,9,2,Lobby 8,Round_2,,,,,EMEA
14,Excellents,13,17,0,15,6,12,1,14,3,Lobby 8,Round_2,,,,,EMEA
15,BFG,13,5,1,14,1,6,1,10,0,Lobby 8,Round_2,,,,,EMEA
16,60fps,11,9,7,12,0,16,0,12,0,Lobby 8,Round_2,,,,,EMEA
17,BWG,5,8,0,7,0,17,0,18,0,Lobby 8,Round_2,,,,,EMEA
18,3 Uomini 1 Gamba,0,20,0,20,0,20,0,20,0,Lobby 8,Round_2,,,,,EMEA
19,Aesir,0,16,0,18,0,18,0,17,0,Lobby 8,Round_2,,,,,EMEA
20,DoubleuandL,0,20,0,20,0,20,0,20,0,Lobby 8,Round_2,,,,,EMEA
1,MP,56,5,2,11,3,1,11,1,11,Lobby 1,Quarterfinals,,,,,EMEA
2,AUS,50,1,9,3,6,3,5,11,3,Lobby 1,Quarterfinals,,,,,EMEA
3,GIGI,38,15,7,18,3,10,0,2,16,Lobby 1,Quarterfinals,,,,,EMEA
4,SMS,34,2,17,13,4,16,3,20,0,Lobby 1,Quarterfinals,,,,,EMEA
5,Hope Die Last,33,17,0,5,6,2,8,4,1,Lobby 1,Quarterfinals,,,,,EMEA
6,AAS,32,8,4,2,9,11,1,5,2,Lobby 1,Quarterfinals,,,,,EMEA
7,BCG,29,7,1,4,2,4,4,7,6,Lobby 1,Quarterfinals,,,,,EMEA
8,SPIRAL,28,11,1,1,8,6,3,18,0,Lobby 1,Quarterfinals,,,,,EMEA
9,FV,19,12,2,7,11,15,0,13,0,Lobby 1,Quarterfinals,,,,,EMEA
10,UTFT,19,3,4,19,2,14,5,16,0,Lobby 1,Quarterfinals,,,,,EMEA
11,Uchinix,17,10,0,14,0,7,1,3,3,Lobby 1,Quarterfinals,,,,,EMEA
12,AP,15,6,3,12,1,13,2,10,2,Lobby 1,Quarterfinals,,,,,EMEA
13,Wisps,15,14,4,10,1,12,0,6,3,Lobby 1,Quarterfinals,,,,,EMEA
14,ORCL,14,9,3,9,0,5,2,19,1,Lobby 1,Quarterfinals,,,,,EMEA
15,NoFear,13,13,0,8,0,9,6,9,0,Lobby 1,Quarterfinals,,,,,EMEA
16,WhyUs,12,19,0,6,4,17,1,12,3,Lobby 1,Quarterfinals,,,,,EMEA
17,RNGBless,10,4,0,15,0,18,0,8,2,Lobby 1,Quarterfinals,,,,,EMEA
18,bykva U,9,18,0,16,1,8,4,15,1,Lobby 1,Quarterfinals,,,,,EMEA
19,Proxima,5,20,0,20,0,20,1,14,3,Lobby 1,Quarterfinals,,,,,EMEA
20,Excellent Era,2,16,1,17,1,19,0,17,0,Lobby 1,Quarterfinals,,,,,EMEA
1,TD,47,5,3,11,1,2,4,1,13,Lobby 2,Quarterfinals,,,,,EMEA
2,DM,44,11,5,12,0,1,17,9,6,Lobby 2,Quarterfinals,,,,,EMEA
3,PXL,40,1,17,7,2,15,3,14,1,Lobby 2,Quarterfinals,,,,,EMEA
4,Mat For Victory,32,14,2,3,6,10,0,3,7,Lobby 2,Quarterfinals,,,,,EMEA
5,6bnt,29,16,2,5,7,7,1,2,3,Lobby 2,Quarterfinals,,,,,EMEA
6,LegionF,25,9,3,2,6,17,0,10,3,Lobby 2,Quarterfinals,,,,,EMEA
7,TRIHARD,25,13,0,1,9,11,2,17,0,Lobby 2,Quarterfinals,,,,,EMEA
8,LGN,24,18,1,8,8,4,8,18,0,Lobby 2,Quarterfinals,,,,,EMEA
9,BGR,23,10,0,17,1,5,8,4,3,Lobby 2,Quarterfinals,,,,,EMEA
10,ETH,22,3,6,16,1,9,0,5,2,Lobby 2,Quarterfinals,,,,,EMEA
11,Pepegi,21,2,3,4,3,19,0,15,0,Lobby 2,Quarterfinals,,,,,EMEA
12,Weebs Out,19,4,8,19,0,14,0,11,4,Lobby 2,Quarterfinals,,,,,EMEA
13,KOMANDA A,18,15,0,14,0,3,5,6,1,Lobby 2,Quarterfinals,,,,,EMEA
14,NotoriousFamily,17,6,3,10,3,18,0,7,3,Lobby 2,Quarterfinals,,,,,EMEA
15,3turrets1brain,15,12,0,6,4,8,4,13,0,Lobby 2,Quarterfinals,,,,,EMEA
16,GVG,10,8,2,15,0,12,0,12,3,Lobby 2,Quarterfinals,,,,,EMEA
17,WLS,6,7,0,18,0,16,1,16,2,Lobby 2,Quarterfinals,,,,,EMEA
18,Reakless,6,17,0,9,1,6,0,20,0,Lobby 2,Quarterfinals,,,,,EMEA
19,PauseChamps,4,19,0,13,0,13,0,8,0,Lobby 2,Quarterfinals,,,,,EMEA
20,edit,0,20,0,20,0,20,0,20,0,Lobby 2,Quarterfinals,,,,,EMEA
1,69IQ,76,1,10,1,12,1,5,3,6,Lobby 3,Quarterfinals,,,,,EMEA
2,K1CK,51,9,8,11,5,2,12,2,5,Lobby 3,Quarterfinals,,,,,EMEA
3,Aspirateur,41,14,1,6,4,6,6,1,11,Lobby 3,Quarterfinals,,,,,EMEA
4,SCBS,33,5,8,13,0,15,5,4,9,Lobby 3,Quarterfinals,,,,,EMEA
5,DI,29,3,4,17,0,14,6,6,8,Lobby 3,Quarterfinals,,,,,EMEA
6,ATK,29,4,2,3,9,20,0,7,3,Lobby 3,Quarterfinals,,,,,EMEA
7,NurzethexStyleS,22,2,9,9,0,9,0,20,0,Lobby 3,Quarterfinals,,,,,EMEA
8,CHI,21,8,0,2,7,18,1,15,1,Lobby 3,Quarterfinals,,,,,EMEA
9,TURKs,19,7,0,15,2,7,3,11,6,Lobby 3,Quarterfinals,,,,,EMEA
10,uwuowoboys,15,6,4,18,0,16,0,5,4,Lobby 3,Quarterfinals,,,,,EMEA
11,Lunar,15,10,2,7,0,11,3,10,2,Lobby 3,Quarterfinals,,,,,EMEA
12,NoWay XBox,15,13,3,10,1,5,2,8,0,Lobby 3,Quarterfinals,,,,,EMEA
13,TREX,15,18,0,5,4,4,1,12,0,Lobby 3,Quarterfinals,,,,,EMEA
14,Plombralicious,13,12,2,19,0,10,7,13,0,Lobby 3,Quarterfinals,,,,,EMEA
15,PRSTS,12,11,0,4,5,12,0,18,0,Lobby 3,Quarterfinals,,,,,EMEA
16,KIMADAZ,11,16,1,20,0,3,3,17,0,Lobby 3,Quarterfinals,,,,,EMEA
17,RAT,9,15,0,16,0,8,3,9,1,Lobby 3,Quarterfinals,,,,,EMEA
18,Sxercise,8,20,0,8,4,17,0,16,2,Lobby 3,Quarterfinals,,,,,EMEA
19,Controller City,5,17,0,12,3,13,0,19,0,Lobby 3,Quarterfinals,,,,,EMEA
20,SCTA,5,19,2,14,1,19,0,14,0,Lobby 3,Quarterfinals,,,,,EMEA
1,CLN,79,1,9,1,11,16,5,1,18,Lobby 4,Quarterfinals,,,,,EMEA
2,NMS,40,2,12,7,4,4,6,14,0,Lobby 4,Quarterfinals,,,,,EMEA
3,NIBL,37,18,3,14,0,1,10,3,4,Lobby 4,Quarterfinals,,,,,EMEA
4,signelunaire,33,17,0,3,5,14,1,2,10,Lobby 4,Quarterfinals,,,,,EMEA
5,Team Volpid,29,6,2,4,4,7,2,4,5,Lobby 4,Quarterfinals,,,,,EMEA
6,Undertaker,28,8,4,2,6,19,0,9,5,Lobby 4,Quarterfinals,,,,,EMEA
7,HKE,27,3,8,16,3,10,0,5,3,Lobby 4,Quarterfinals,,,,,EMEA
8,RD,26,5,10,19,0,5,7,16,1,Lobby 4,Quarterfinals,,,,,EMEA
9,Bacalhau,26,12,0,18,0,2,10,7,3,Lobby 4,Quarterfinals,,,,,EMEA
10,OG,23,4,2,8,4,3,2,11,0,Lobby 4,Quarterfinals,,,,,EMEA
11,Sheriffs,21,10,3,10,7,15,5,15,0,Lobby 4,Quarterfinals,,,,,EMEA
12,SPPI,17,11,2,17,0,8,3,6,6,Lobby 4,Quarterfinals,,,,,EMEA
13,JIGSAW,17,7,3,9,3,11,3,8,0,Lobby 4,Quarterfinals,,,,,EMEA
14,3 Jabronies,13,13,0,6,6,6,0,17,0,Lobby 4,Quarterfinals,,,,,EMEA
15,Enoughandmore,10,9,1,15,1,12,3,13,0,Lobby 4,Quarterfinals,,,,,EMEA
16,MZY,9,14,0,12,3,13,1,12,1,Lobby 4,Quarterfinals,,,,,EMEA
17,Kvasna,6,16,0,5,0,9,0,18,0,Lobby 4,Quarterfinals,,,,,EMEA
18,Nuclear Apes,3,15,0,11,0,18,1,19,0,Lobby 4,Quarterfinals,,,,,EMEA
19,Monkey Milkers,3,19,0,13,0,20,0,10,0,Lobby 4,Quarterfinals,,,,,EMEA
20,BOOBA,1,20,0,20,0,17,1,20,0,Lobby 4,Quarterfinals,,,,,EMEA
1,ETH,62,7,3,13,1,1,7,2,6,Lobby 1,Semifinals,4,4,2,2,EMEA
2,TD,55,2,8,11,3,11,1,6,5,Lobby 1,Semifinals,5,9,5,7,EMEA
3,AAS,55,4,6,7,4,2,13,5,4,Lobby 1,Semifinals,13,2,11,3,EMEA
4,SMS,53,1,12,3,4,5,4,12,1,Lobby 1,Semifinals,18,3,15,4,EMEA
5,GIGI,52,9,0,1,6,20,0,1,14,Lobby 1,Semifinals,10,4,19,0,EMEA
6,FV,49,8,6,8,4,4,5,9,0,Lobby 1,Semifinals,14,2,1,8,EMEA
7,BGR,44,12,5,9,3,13,2,10,0,Lobby 1,Semifinals,1,8,10,6,EMEA
8,TRIHARD,37,17,3,12,2,12,0,3,5,Lobby 1,Semifinals,3,7,9,2,EMEA
9,AUS,32,16,0,5,6,10,3,14,3,Lobby 1,Semifinals,8,1,4,5,EMEA
10,BCG,31,10,0,4,9,15,1,17,0,Lobby 1,Semifinals,7,3,14,6,EMEA
11,LGN,31,11,3,6,2,6,0,7,2,Lobby 1,Semifinals,6,2,6,6,EMEA
12,6bnt,28,6,5,17,3,8,2,4,3,Lobby 1,Semifinals,12,1,8,1,EMEA
13,DM,28,19,0,2,7,19,0,8,5,Lobby 1,Semifinals,9,3,18,0,EMEA
14,PXL,26,15,0,19,2,18,5,20,0,Lobby 1,Semifinals,2,5,7,1,EMEA
15,LegionF,18,18,0,20,0,17,3,19,0,Lobby 1,Semifinals,17,0,3,8,EMEA
16,SPIRAL,15,5,2,18,0,9,3,13,0,Lobby 1,Semifinals,11,1,13,0,EMEA
17,UTFT,13,14,0,16,0,3,2,15,0,Lobby 1,Semifinals,15,0,12,0,EMEA
18,Mat For Victory,12,3,2,15,0,16,1,18,0,Lobby 1,Semifinals,19,0,17,1,EMEA
19,MP,11,13,1,10,1,14,3,16,1,Lobby 1,Semifinals,16,0,16,1,EMEA
20,Hope Die Last,10,20,0,14,1,7,2,11,2,Lobby 1,Semifinals,20,0,20,0,EMEA
1,69IQ,81,1,8,1,9,2,13,12,1,Lobby 2,Semifinals,2,4,12,2,EMEA
2,DI,74,3,2,5,4,3,3,1,9,Lobby 2,Semifinals,7,6,2,8,EMEA
3,K1CK,69,5,4,4,5,6,4,3,10,Lobby 2,Semifinals,13,2,1,12,EMEA
4,CHI,60,2,13,2,4,13,4,4,4,Lobby 2,Semifinals,18,3,4,3,EMEA
5,CLN,56,9,8,3,13,12,3,9,0,Lobby 2,Semifinals,10,5,3,6,EMEA
6,RD,42,14,2,17,2,7,0,11,6,Lobby 2,Semifinals,1,11,10,2,EMEA
7,SCBS,38,10,3,6,5,1,4,10,3,Lobby 2,Semifinals,17,0,6,1,EMEA
8,OG,31,4,9,14,3,9,5,15,0,Lobby 2,Semifinals,5,1,17,0,EMEA
9,signelunaire,29,12,0,8,1,14,4,2,5,Lobby 2,Semifinals,9,1,7,0,EMEA
10,NMS,28,11,2,9,1,15,2,5,7,Lobby 2,Semifinals,4,2,13,0,EMEA
11,HKE,23,8,3,7,1,4,6,18,0,Lobby 2,Semifinals,8,0,15,0,EMEA
12,Aspirateur,22,18,2,15,2,10,3,16,0,Lobby 2,Semifinals,6,5,14,3,EMEA
13,uwuowoboys,21,16,0,16,3,17,1,7,1,Lobby 2,Semifinals,11,1,5,7,EMEA
14,Undertaker,21,6,0,13,0,16,1,8,0,Lobby 2,Semifinals,12,5,9,6,EMEA
15,TURKs,16,13,1,18,0,5,3,14,3,Lobby 2,Semifinals,15,1,11,0,EMEA
16,NIBL,16,15,0,12,0,19,0,19,0,Lobby 2,Semifinals,3,4,16,3,EMEA
17,NurzethexStyleS,15,7,0,11,0,11,3,6,2,Lobby 2,Semifinals,19,0,8,0,EMEA
18,ATK,11,20,0,10,1,8,3,17,3,Lobby 2,Semifinals,16,0,18,0,EMEA
19,Team Volpid,8,19,0,19,4,20,0,13,3,Lobby 2,Semifinals,20,0,20,0,EMEA
20,Bacalhau,7,17,0,20,0,18,0,20,0,Lobby 2,Semifinals,14,3,19,3,EMEA
1,69IQ,67,17,3,15,0,15,2,1,7,Lobby 1,Finals,1,9,1,8,EMEA
2,GIGI,63,5,11,9,1,1,18,4,5,Lobby 1,Finals,13,1,12,2,EMEA
3,AUS,60,15,0,2,12,13,4,16,6,Lobby 1,Finals,12,6,2,11,EMEA
4,ETH,54,3,3,7,2,3,6,3,5,Lobby 1,Finals,2,4,16,1,EMEA
5,NMS,52,12,1,4,6,6,9,9,7,Lobby 1,Finals,5,3,6,8,EMEA
6,OG,46,10,0,3,5,2,5,10,2,Lobby 1,Finals,7,5,7,3,EMEA
7,RD,44,14,3,12,5,9,5,2,5,Lobby 1,Finals,8,8,10,1,EMEA
8,BCG,37,19,1,5,7,14,1,15,2,Lobby 1,Finals,4,6,4,4,EMEA
9,DI,37,1,10,11,1,20,0,6,3,Lobby 1,Finals,16,3,13,3,EMEA
10,BGR,36,11,0,1,6,4,3,8,0,Lobby 1,Finals,9,0,8,3,EMEA
11,K1CK,35,2,6,14,0,5,5,7,5,Lobby 1,Finals,10,0,19,0,EMEA
12,TD,28,16,0,13,2,12,1,14,0,Lobby 1,Finals,3,5,3,3,EMEA
13,signelunaire,22,6,2,6,5,19,0,18,0,Lobby 1,Finals,11,2,9,4,EMEA
14,SCBS,22,4,6,16,0,16,0,5,2,Lobby 1,Finals,6,2,17,0,EMEA
15,SMS,20,7,2,10,3,10,0,19,3,Lobby 1,Finals,14,3,14,0,EMEA
16,CLN,18,13,6,8,1,11,2,17,2,Lobby 1,Finals,17,0,18,3,EMEA
17,AAS,16,8,3,17,0,18,0,13,3,Lobby 1,Finals,18,0,5,3,EMEA
18,TRIHARD,10,20,0,20,0,7,0,11,1,Lobby 1,Finals,15,3,11,0,EMEA
19,CHI,6,9,1,18,0,8,1,20,0,Lobby 1,Finals,19,0,20,0,EMEA
20,FV,3,18,0,19,0,17,0,12,1,Lobby 1,Finals,20,0,15,0,EMEA
1,DNO,63,10,8,3,5,4,10,1,14,Lobby 1,Quarterfinals,,,,,North_America
2,NBL,44,5,6,18,0,1,9,2,4,Lobby 1,Quarterfinals,,,,,North_America
3,BW,42,7,4,1,9,11,1,4,7,Lobby 1,Quarterfinals,,,,,North_America
4,The Semi Pros,35,2,8,12,6,17,0,3,4,Lobby 1,Quarterfinals,,,,,North_America
5,OA,34,8,0,5,5,2,7,9,5,Lobby 1,Quarterfinals,,,,,North_America
6,SMP,30,3,8,11,1,3,2,6,1,Lobby 1,Quarterfinals,,,,,North_America
7,CLX,24,15,5,6,4,9,5,14,3,Lobby 1,Quarterfinals,,,,,North_America
8,Titanes,24,1,4,16,0,5,2,10,0,Lobby 1,Quarterfinals,,,,,North_America
9,SXG,21,16,0,2,7,13,2,12,1,Lobby 1,Quarterfinals,,,,,North_America
10,Hooiya,20,19,2,8,1,6,3,5,5,Lobby 1,Quarterfinals,,,,,North_America
11,My Neck My Back,19,4,7,4,1,15,0,19,0,Lobby 1,Quarterfinals,,,,,North_America
12,ROT,15,13,0,7,2,12,1,13,6,Lobby 1,Quarterfinals,,,,,North_America
13,RCO,15,6,1,9,3,14,2,7,0,Lobby 1,Quarterfinals,,,,,North_America
14,gibbyhands,14,11,0,13,0,7,6,8,1,Lobby 1,Quarterfinals,,,,,North_America
15,Hardstuck10k,9,9,0,19,0,8,1,11,3,Lobby 1,Quarterfinals,,,,,North_America
16,Spooky Scary,4,12,1,15,0,19,1,16,0,Lobby 1,Quarterfinals,,,,,North_America
17,SQS Gaming,4,14,0,14,0,10,0,18,0,Lobby 1,Quarterfinals,,,,,North_America
18,Insane Xboxsers,3,17,0,10,0,16,0,15,0,Lobby 1,Quarterfinals,,,,,North_America
19,Dumpsters,2,18,0,17,2,18,0,17,0,Lobby 1,Quarterfinals,,,,,North_America
20,AGL,0,20,0,20,0,20,0,20,0,Lobby 1,Quarterfinals,,,,,North_America
1,YouLikeThatMate?,50,1,17,2,10,12,1,19,0,Lobby 2,Quarterfinals,,,,,North_America
2,BP,48,11,3,1,10,8,13,10,5,Lobby 2,Quarterfinals,,,,,North_America
3,LMX,44,4,3,5,7,17,1,1,12,Lobby 2,Quarterfinals,,,,,North_America
4,Dexterous,33,3,8,20,0,2,6,14,2,Lobby 2,Quarterfinals,,,,,North_America
5,LZR,33,12,0,4,5,1,9,13,0,Lobby 2,Quarterfinals,,,,,North_America
6,xD,29,18,0,6,12,7,0,4,6,Lobby 2,Quarterfinals,,,,,North_America
7,LVG,29,2,10,15,3,13,1,6,1,Lobby 2,Quarterfinals,,,,,North_America
8,Never Lucky,24,7,5,11,1,6,5,12,5,Lobby 2,Quarterfinals,,,,,North_America
9,CC,24,10,1,7,0,10,0,2,7,Lobby 2,Quarterfinals,,,,,North_America
10,Vandals,22,13,1,12,2,18,1,3,9,Lobby 2,Quarterfinals,,,,,North_America
11,Undisputed,20,14,2,14,0,3,8,17,1,Lobby 2,Quarterfinals,,,,,North_America
12,AST,18,9,4,9,7,11,0,15,1,Lobby 2,Quarterfinals,,,,,North_America
13,Meow Syndicate,17,16,0,3,2,16,0,5,4,Lobby 2,Quarterfinals,,,,,North_America
14,4Fun,13,8,2,18,0,4,4,16,0,Lobby 2,Quarterfinals,,,,,North_America
15,oni,12,6,0,10,0,9,5,18,0,Lobby 2,Quarterfinals,,,,,North_America
16,Onyx,9,15,0,16,0,5,3,11,0,Lobby 2,Quarterfinals,,,,,North_America
17,Nest,7,17,1,17,0,20,0,8,4,Lobby 2,Quarterfinals,,,,,North_America
18,JustSomeWarriors,7,19,1,8,0,15,0,9,1,Lobby 2,Quarterfinals,,,,,North_America
19,SDO,7,20,0,13,0,14,1,7,1,Lobby 2,Quarterfinals,,,,,North_America
20,Pickles,6,5,2,19,0,19,0,20,0,Lobby 2,Quarterfinals,,,,,North_America
1,AM,62,14,1,9,8,2,16,1,13,Lobby 3,Quarterfinals,,,,,North_America
2,EST,45,9,2,3,11,1,6,9,3,Lobby 3,Quarterfinals,,,,,North_America
3,LF,39,2,4,5,3,4,7,6,4,Lobby 3,Quarterfinals,,,,,North_America
4,RT,37,1,9,15,2,3,4,14,1,Lobby 3,Quarterfinals,,,,,North_America
5,NEAN,30,3,10,18,0,8,3,4,3,Lobby 3,Quarterfinals,,,,,North_America
6,Sussy Bakas,30,7,3,1,4,14,2,12,4,Lobby 3,Quarterfinals,,,,,North_America
7,Unlucky,28,13,1,2,2,9,3,5,6,Lobby 3,Quarterfinals,,,,,North_America
8,NM,21,16,0,7,3,15,0,2,5,Lobby 3,Quarterfinals,,,,,North_America
9,Los Hefes,20,4,5,6,2,10,3,17,0,Lobby 3,Quarterfinals,,,,,North_America
10,Aisle 5,19,6,3,19,0,5,2,3,0,Lobby 3,Quarterfinals,,,,,North_America
11,MOAN,17,8,3,14,6,7,2,19,0,Lobby 3,Quarterfinals,,,,,North_America
12,GNR,16,10,3,17,3,12,5,13,1,Lobby 3,Quarterfinals,,,,,North_America
13,TPM,15,5,1,12,0,13,0,7,5,Lobby 3,Quarterfinals,,,,,North_America
14,Sniper Meta,13,11,5,16,0,16,0,11,6,Lobby 3,Quarterfinals,,,,,North_America
