Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,CCE UCX,53,2,6,18,1,1,6,3,12
2.0,HCH,46,4,8,2,11,7,7,17,3
3.0,SSU,39,5,4,1,15,18,0,13,3
4.0,ONS,38,3,9,9,0,8,10,7,5
5.0,CYLX,32,14,0,7,5,17,0,1,11
6.0,GSG,32,1,7,5,3,5,1,14,0
7.0,IRONIC,28,15,3,13,3,3,6,8,5
8.0,TS,27,18,0,6,1,2,9,5,1
9.0,ASUR,21,9,3,12,1,14,6,4,2
10.0,iRL,18,20,0,16,1,16,0,2,8
11.0,LNT,18,13,0,17,5,4,2,6,2
12.0,UNDD,16,10,1,3,4,15,0,11,0
13.0,U-2,14,16,0,4,2,6,4,16,0
14.0,POSKITINO,12,7,3,10,1,13,1,12,0
15.0,Prodigy,11,6,4,19,1,9,0,15,0
16.0,AST,7,8,4,14,0,19,0,18,0
17.0,Poseidon,5,11,2,15,0,12,0,19,0
18.0,SDO,5,17,0,20,0,10,1,10,0
19.0,SNOW,5,19,0,8,0,11,0,9,0
20.0,RG,2,12,0,11,0,20,0,20,0
