Standings,Team.1,Total,Lobby
1.0,RL.XV,66,Lobby 1
2.0,April,60,Lobby 1
3.0,SNG,55,Lobby 1
4.0,PWLS,35,Lobby 1
5.0,WHIZ,32,Lobby 1
6.0,DREAM,27,Lobby 1
7.0,IFPD,26,Lobby 1
8.0,RebellioN,25,Lobby 1
9.0,hello nihao,15,Lobby 1
10.0,Incorporated,14,Lobby 1
11.0,Ryze Empire HK,13,Lobby 1
12.0,Team eXplicit,13,Lobby 1
13.0,Vaczer Esport,12,Lobby 1
14.0,SAINTS,7,Lobby 1
15.0,madzJabol,6,Lobby 1
16.0,EVO.Shadow,6,Lobby 1
17.0,Conquerors,4,Lobby 1
18.0,BOG,4,Lobby 1
19.0,Team Psycho,3,Lobby 1
20.0,JOKO,0,Lobby 1
1.0,GS,59,Lobby 2
2.0,INF,50,Lobby 2
3.0,WAT,47,Lobby 2
4.0,EVOS,45,Lobby 2
5.0,Estrell,34,Lobby 2
6.0,uwuXuwu,24,Lobby 2
7.0,AFxRP Skyrise,23,Lobby 2
8.0,Dimple Esport,23,Lobby 2
9.0,RNG,21,Lobby 2
10.0,Pavlova,19,Lobby 2
11.0,Suspicious Fools,18,Lobby 2
12.0,ANgun,11,Lobby 2
13.0,DSG,11,Lobby 2
14.0,Elegants,9,Lobby 2
15.0,YOII,9,Lobby 2
16.0,DESI,7,Lobby 2
17.0,Bad Genius,5,Lobby 2
18.0,Anthem Sygma,1,Lobby 2
19.0,Joker,0,Lobby 2
20.0,DDYM,0,Lobby 2
1.0,O3,79,Lobby 3
2.0,DYN,51,Lobby 3
3.0,WGG,49,Lobby 3
4.0,On the Sticks,35,Lobby 3
5.0,RL.Genesis,33,Lobby 3
6.0,AMG TW,32,Lobby 3
7.0,Hardstuck D4,29,Lobby 3
8.0,NonetWork,19,Lobby 3
9.0,InfernoDSC,17,Lobby 3
10.0,LittleMeow,13,Lobby 3
11.0,Boink Gang,12,Lobby 3
12.0,TooSoonParty,10,Lobby 3
13.0,LAG,9,Lobby 3
14.0,Team Lockdown,8,Lobby 3
15.0,Multicultural,7,Lobby 3
16.0,Astreaks Gaming,6,Lobby 3
17.0,God's Geek Gang,6,Lobby 3
18.0,R1,4,Lobby 3
19.0,Triple Cobra,4,Lobby 3
20.0,SmoothOperators,0,Lobby 3
1.0,TX,72,Lobby 4
2.0,HeadHunters,45,Lobby 4
3.0,PG,41,Lobby 4
4.0,iON,40,Lobby 4
5.0,WGGxPK,38,Lobby 4
6.0,MBTN,36,Lobby 4
7.0,QE.NY,33,Lobby 4
8.0,South Cartel,22,Lobby 4
9.0,EVO BERZ,21,Lobby 4
10.0,Antiaa,15,Lobby 4
11.0,RJININ,14,Lobby 4
12.0,StrawberryJam,11,Lobby 4
13.0,Bot Bot,11,Lobby 4
14.0,DifferentBreed,10,Lobby 4
15.0,Team Shinigami,8,Lobby 4
16.0,Nim Nim Esport,4,Lobby 4
17.0,BTCxWGG,4,Lobby 4
18.0,NMLS,2,Lobby 4
19.0,Tomato town,1,Lobby 4
20.0,Haiya,1,Lobby 4
