Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,WING,75,11,1,6,6,2,12,2,10,8,5,3,10
2.0,MH,63,2,5,1,9,18,0,14,0,1,12,16,3
3.0,TRP,55,6,5,19,0,15,5,6,6,11,5,1,14
4.0,SHEESH,43,17,0,15,1,1,11,3,6,17,0,9,3
5.0,AST,42,1,14,20,1,16,3,10,3,16,0,10,5
6.0,RT,42,12,1,2,3,12,1,1,9,13,3,13,0
7.0,RDM,41,10,3,9,3,3,9,12,2,19,0,5,8
8.0,Guppies,32,4,4,12,3,7,2,18,0,20,0,2,5
9.0,AE,31,7,4,5,7,8,3,7,1,14,0,7,0
10.0,UNDOGS,31,9,3,18,0,10,1,15,3,2,4,4,1
11.0,SKSQ,30,18,0,14,4,9,4,16,2,3,9,15,0
12.0,ASUR,29,8,2,16,0,4,6,5,5,10,2,18,1
13.0,CBM,29,5,5,10,3,19,0,9,4,9,3,6,1
14.0,HC,29,15,0,3,7,5,0,8,1,7,0,8,2
15.0,HVND,27,19,0,7,3,6,2,11,1,4,8,12,0
16.0,VOID,24,3,5,8,0,14,0,19,0,5,4,14,0
17.0,YFP,19,16,3,13,3,13,2,4,2,15,0,11,0
18.0,ShameAssist,13,14,0,4,1,11,0,20,0,12,1,17,3
19.0,BRB,7,13,2,17,0,17,0,13,0,6,0,19,0
20.0,Lyfe,1,20,0,11,0,20,0,17,0,18,0,20,0
