Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,GS,79,4,7,2,14,4,7,2,11,11,0,8,9
2.0,WGGxPK,71,1,7,3,4,13,3,1,9,19,0,1,4
3.0,WAT,61,9,0,1,12,1,9,5,4,5,2,18,0
4.0,MDY,48,11,6,19,0,3,18,11,4,10,9,16,0
5.0,TX,46,19,1,14,3,17,3,9,6,15,0,4,24
6.0,PG,39,7,0,8,4,2,3,3,5,12,1,14,3
7.0,Estrell,35,3,7,5,2,16,0,19,0,9,0,2,4
8.0,StrawberryJam,35,5,6,9,3,6,2,4,0,6,0,3,0
9.0,SNG,33,18,1,10,3,18,0,6,2,1,7,9,1
10.0,PWLS,32,14,0,12,1,8,4,20,0,3,15,11,0
11.0,4Thumbs1Arm,31,2,11,18,2,19,0,12,1,7,3,13,0
12.0,BOG,26,6,0,11,1,5,5,7,2,18,4,12,2
13.0,BTCxWGG,23,17,0,7,5,7,2,8,4,16,1,7,0
14.0,DNZ,19,20,0,15,3,10,0,17,3,17,3,6,4
15.0,END,19,12,5,20,1,11,0,18,0,2,2,20,0
16.0,LAG,19,8,0,4,0,9,0,13,1,8,3,10,1
17.0,IFPD,16,13,3,13,0,20,0,10,1,4,3,19,0
18.0,DREAM,11,15,0,16,0,15,0,15,2,14,2,15,2
19.0,ANgun,11,10,0,17,0,14,0,16,0,20,0,5,4
20.0,April,10,16,3,6,0,12,0,14,1,13,0,17,0
