Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,TX,58,16,6,10,4,1,15,7,16
2.0,April,56,3,18,1,15,17,0,8,2
3.0,WAT,44,1,6,8,2,11,0,1,9
4.0,IFPD,41,18,0,6,9,2,4,3,9
5.0,StrawberryJam,32,2,8,14,0,9,2,2,1
6.0,RL.IXiA,30,14,0,7,4,4,9,5,4
7.0,INF,29,5,7,2,3,18,2,14,3
8.0,NaresuanSniper,28,17,0,4,10,3,4,10,0
9.0,Pavlova,24,7,0,9,3,5,3,4,4
10.0,OGL,22,4,2,11,0,6,9,13,1
11.0,SkarptSinne,17,12,0,3,0,10,1,6,3
12.0,LAG,16,9,5,15,1,12,5,11,0
13.0,Astreaks Gaming,9,6,0,5,1,13,0,18,0
14.0,a搞耍小隊,8,8,2,20,1,19,0,16,3
15.0,Fogyo City,7,13,1,12,1,7,0,20,0
16.0,Losin Control,6,10,0,13,1,20,0,12,1
17.0,JOKO,5,11,0,17,0,15,0,17,3
18.0,TEAM MIRACLE,5,20,0,18,1,8,1,15,0
19.0,FLRV,4,15,0,16,0,16,0,9,1
20.0,Team Shinigami,2,19,0,19,0,14,1,19,0
