Standings,Team.1,Total
1.0,Keep Moving Fwd,43
2.0,As Misera,43
3.0,BRZ,39
4.0,BHT,38
5.0,Natural Killer,38
6.0,Coquinha gelada,32
7.0,ZETTA,31
8.0,Blagueur,30
9.0,Pandora,27
10.0,Mystical,19
11.0,PiscoSour,17
12.0,2 And a Half Man,14
13.0,Sory,10
14.0,Fluxo Team,10
15.0,PoliShopu,9
16.0,Voy a Hacer,5
17.0,Tharsis,5
18.0,ICEBERGS,3
19.0,xKarma,1
20.0,EASY CLAP,0
