Standings,Team.1,Total
1.0,New Age,68
2.0,OF,60
3.0,AIM,58
4.0,BTH,34
5.0,TCS,26
6.0,OMEGA,23
7.0,Infinity Evo,18
8.0,PTX,17
9.0,LostSoulsDreamer,17
10.0,Taichi Horror,16
11.0,Svart Katze,16
12.0,NOKID E-SPORTS,15
13.0,ROCKETZ TEAM,14
14.0,Teletubbies,14
15.0,Vingadores Team,12
16.0,Os MIAU,11
17.0,KZN,9
18.0,Los perro waton,8
19.0,Yakuza,7
20.0,EZPIKERS,0
