Standings,Team.1,Total
1.0,Love Egirls,54
2.0,ElemenT,46
3.0,SP,45
4.0,ZISKA,40
5.0,NÃO sei,33
6.0,AGCL,32
7.0,sFx,31
8.0,HU3HU3HU3BR,24
9.0,Inka Supremacy,19
10.0,Seven,17
11.0,1crack2crack,17
12.0,PATETEX,16
13.0,ZGravityEsports,16
14.0,KARMA K41,15
15.0,Spartan Warriors,12
16.0,KPS,8
17.0,Squad Sombra,7
18.0,OS KRACUDOS,6
19.0,BRATVA420Forever,4
20.0,SCAL,1
