B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,FP,71,12,6,5,5,1,15,4,7,4,6,5,1
2.0,YMG,57,14,1,18,0,2,5,1,10,2,6,14,3
3.0,69IQ,49,8,2,3,7,19,0,16,0,1,11,8,6
4.0,TTM,46,6,5,9,6,3,5,11,0,3,10,20,0
5.0,KNG,42,4,4,1,4,11,1,5,5,8,2,9,0
6.0,GUILD,40,7,0,12,5,13,5,10,9,5,10,19,0
7.0,NMS,37,2,14,13,2,9,0,6,1,13,1,10,1
8.0,FV,36,18,0,2,16,15,1,9,3,7,1,16,0
9.0,MYZ,32,20,0,17,0,6,0,19,0,14,1,1,15
10.0,SZ.EU,31,11,7,16,2,14,1,13,0,17,2,2,7
11.0,789,31,9,0,4,2,10,4,7,1,19,1,3,4
12.0,RBL,31,3,2,19,0,7,1,2,3,11,0,6,2
13.0,TD,30,5,7,6,4,8,2,14,5,18,2,18,0
14.0,MP,29,1,6,20,0,20,0,12,0,10,2,15,5
15.0,PXL,19,10,2,7,2,16,5,15,1,15,0,12,1
16.0,RD,18,13,0,15,2,4,3,20,0,20,0,11,5
17.0,FORG,18,15,2,10,0,5,3,17,3,9,1,17,0
18.0,DM,16,19,0,11,1,12,3,18,0,6,2,7,2
19.0,SQG,16,17,0,14,0,17,0,8,4,16,0,4,4
20.0,RAT,16,16,0,8,1,18,0,3,2,12,0,13,2
