Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,CLN,76,5,14,1,12,12,1,1,20
2.0,ETH,62,1,8,2,4,1,12,8,3
3.0,NoFear,42,2,8,4,4,14,1,2,5
4.0,KYKLOS,30,16,0,5,3,2,9,12,4
5.0,Nuclear Apes,30,7,3,6,3,3,7,10,2
6.0,BOOBA,28,10,0,11,3,5,9,5,5
7.0,SHEESH,24,6,8,14,3,15,0,4,3
8.0,The Last Hope,23,3,2,3,5,11,1,17,0
9.0,Exalty,21,8,3,7,3,4,5,16,0
10.0,LGN,20,18,0,15,4,7,5,7,4
11.0,Aspirateur,17,4,8,17,0,10,1,15,0
12.0,Senbonzakura,14,20,0,18,3,9,4,6,2
13.0,Illuminary FTW,12,14,1,12,0,19,0,3,2
14.0,NoHalo,11,9,0,9,5,18,0,14,1
15.0,Over The Top Sgv,11,13,0,13,1,6,3,9,0
16.0,OG,6,12,0,20,0,20,0,11,4
17.0,XDA,4,19,0,8,0,13,0,13,0
18.0,SVR,3,11,0,10,0,17,0,20,0
19.0,CHOC,2,17,0,19,0,8,0,19,0
20.0,Mat For Victory,1,15,0,16,0,16,0,18,0
