Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,MonsTer Team,99,4,13,1,16,19,0,1,14,5,6,4,12
2.0,OF,65,9,9,12,3,9,9,12,3,1,13,6,7
3.0,PRDX,63,5,1,4,2,2,4,2,7,6,1,1,6
4.0,Chimera,60,3,9,5,7,10,4,19,0,2,15,9,1
5.0,BHT,54,1,5,7,4,3,5,6,3,16,0,2,3
6.0,Los Makias,45,2,7,6,0,14,1,3,0,9,8,13,6
7.0,KZN,36,19,0,2,6,4,5,4,3,7,0,20,0
8.0,Slav Animals,35,6,1,3,4,6,4,17,0,4,3,5,1
9.0,Aposentados,29,20,0,20,0,8,7,11,10,10,0,11,6
10.0,Duty calls,29,10,6,18,0,15,2,9,6,11,4,7,2
11.0,BRZ,26,18,2,17,0,1,8,15,0,15,0,10,0
12.0,Fluxo Team,22,12,2,11,0,17,0,16,2,19,0,3,9
13.0,SEM ORG,17,16,0,9,5,13,0,5,0,14,3,14,0
14.0,PPEX,17,7,0,13,0,5,5,20,0,13,0,16,3
15.0,Lovely Venom,16,8,0,19,0,11,0,7,1,3,0,12,1
16.0,OMEGA,14,13,0,8,0,18,3,14,0,12,2,8,2
17.0,BTH,12,14,1,10,3,7,0,10,0,17,0,19,0
18.0,Seven,9,17,0,16,3,20,0,8,3,18,1,17,0
19.0,QUAS,9,11,0,15,0,16,1,18,3,8,1,18,0
20.0,Voy a Hacer,7,15,2,14,0,12,0,13,0,20,0,15,0
