StandingsPlacements and killsPoints,Team,Total,"Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge BearClaw Gaming AllPlanned WhyUs","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge BearClaw Gaming AllPlanned WhyUs.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge AAS Morning Stars Excellent Era","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge AAS Morning Stars Excellent Era.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BearClaw Gaming Morning Stars AAS","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BearClaw Gaming Morning Stars AAS.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge BearClaw Gaming GIGI RNGBless",Lobby,"Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge SPIRAL Team NoFear Gaming Oracle Esport","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge SPIRAL Team NoFear Gaming Oracle Esport.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge MajorPushers superdumplings SPIRAL Team","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge MajorPushers superdumplings SPIRAL Team.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge MajorPushers Hope Die Last UTFT","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge MajorPushers Hope Die Last UTFT.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge UTFT Australis FIGVAM","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge DungeonMast33rs Top Dogs Reakless","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge DungeonMast33rs Top Dogs Reakless.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge WeLoveShotgun NotoriousFamily BORGIR","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge WeLoveShotgun NotoriousFamily BORGIR.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BORGIR 6 banok na troih WeLoveShotgun","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge BORGIR 6 banok na troih WeLoveShotgun.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge BORGIR Top Dogs DungeonMast33rs","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge LegionF Mat For Victory Ethernal","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge LegionF Mat For Victory Ethernal.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Ethernal GVG LegionF","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Ethernal GVG LegionF.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge 3turrets1brain Team Legion Ethernal","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge 3turrets1brain Team Legion Ethernal.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge KOMANDA A GVG 3turrets1brain","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge K1CK SUCCUBUS Rats","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge K1CK SUCCUBUS Rats.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge K1CK SeComportaYa Priests","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge K1CK SeComportaYa Priests.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge Sxercise Controller City KIMADAZ","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge Sxercise Controller City KIMADAZ.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge KIMADAZ Sxercise K1CK","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge 69iQ eSports Aspirateur NurzethexStyleS","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge 69iQ eSports Aspirateur NurzethexStyleS.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge uwuowoboys ATK dead inside","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge uwuowoboys ATK dead inside.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge NoWay XBox dead inside T-Rex","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge NoWay XBox dead inside T-Rex.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge T-Rex TURKs dead inside","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge Redragon NIBBLE Esports Team Volpid","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge Redragon NIBBLE Esports Team Volpid.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Sheriffs Team Volpid signelunaire","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Sheriffs Team Volpid signelunaire.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge Enoughandmore Team Volpid FaTuttoilPad","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge Enoughandmore Team Volpid FaTuttoilPad.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge Sheriffs Kvasna JIGSAW","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge Nemesis Undertaker 3 Jabronies","Round 1 Round 1 September 11, 2021 - 14:20 BSTWorld's Edge Nemesis Undertaker 3 Jabronies.1","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Undertaker MZY Monkey Milkers","Round 2 Round 2 September 11, 2021 - 14:55 BSTWorld's Edge Undertaker MZY Monkey Milkers.1","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge 3 Jabronies Space Pigeons Vanaheim Gaming","Round 3 Round 3 September 11, 2021 - 15:30 BSTWorld's Edge 3 Jabronies Space Pigeons Vanaheim Gaming.1","Round 4 Round 4 September 11, 2021 - 16:05 BSTWorld's Edge Bacalhau Space Pigeons Undertaker"
15.0,PDPivas,12,,,,,,,,Lobby 2,102,0,141,22,170,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,ZEBI,10,,,,,,,,Lobby 2,92,0,45,11,151,0,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Young Squad,8,,,,,,,,Lobby 2,170,0,121,0,141,0,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Gang FDD,3,,,,,,,,Lobby 2,200,0,170,0,92,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,weebs,1,,,,,,,,Lobby 2,160,0,111,0,190,0,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Minor Keepers,0,,,,,,,,Lobby 2,180,0,200,0,180,0,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 0_level_2,Team,Total,,,,,,,,Lobby 3,,,,,,,,P,K,P,K,P,K,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,DM,57,,,,,,,,Lobby 3,,,,,,,,112,1616,63,33,54,55,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,BGR,51,,,,,,,,Lobby 3,,,,,,,,180,0,37,1010,112,55,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,WLS,43,,,,,,,,Lobby 3,,,,,,,,160,11,112,66,37,88,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,TD,40,,,,,,,,Lobby 3,,,,,,,,29,22,131,0,45,77,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,NotoriousFamily,35,,,,,,,,Lobby 3,,,,,,,,151,0,29,77,73,33,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,6bnt,32,,,,,,,,Lobby 3,,,,,,,,63,44,54,0,29,44,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,TRIHARD,31,,,,,,,,Lobby 3,,,,,,,,54,99,45,66,141,55,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,edit,22,,,,,,,,Lobby 3,,,,,,,,102,99,111,33,121,11,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Reakless,22,,,,,,,,Lobby 3,,,,,,,,37,77,92,55,131,0,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Weebs Out,18,,,,,,,,Lobby 3,,,,,,,,82,11,141,0,190,44,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Justthreeplayers,13,,,,,,,,Lobby 3,,,,,,,,170,33,73,11,102,33,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,DASK,13,,,,,,,,Lobby 3,,,,,,,,121,0,82,33,92,11,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,24K,12,,,,,,,,Lobby 3,,,,,,,,73,22,102,0,160,0,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,iEnvy,10,,,,,,,,Lobby 3,,,,,,,,131,0,160,0,82,66,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,CHOC,9,,,,,,,,Lobby 3,,,,,,,,92,22,200,11,180,11,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Team SiMo,9,,,,,,,,Lobby 3,,,,,,,,45,11,180,0,111,0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,VALUE TEAM,8,,,,,,,,Lobby 3,,,,,,,,200,0,190,0,63,55,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,First in Battle,8,,,,,,,,Lobby 3,,,,,,,,111,0,121,44,151,0,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,White Clover,4,,,,,,,,Lobby 3,,,,,,,,141,22,151,0,170,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,BountyHunterGG,1,,,,,,,,Lobby 3,,,,,,,,190,0,170,0,200,0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 0_level_2,Team,Total,,,,,,,,Lobby 4,,,,,,,,,,,,,,,P,K,P,K,P,K,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,LegionF,47,,,,,,,,Lobby 4,,,,,,,,,,,,,,,112,1616,37,77,170,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,ETH,46,,,,,,,,Lobby 4,,,,,,,,,,,,,,,37,55,112,77,37,44,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,3turrets1brain,44,,,,,,,,Lobby 4,,,,,,,,,,,,,,,170,0,151,33,112,1414,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,KOMANDA A,39,,,,,,,,Lobby 4,,,,,,,,,,,,,,,63,11,131,0,45,44,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Pepegi,37,,,,,,,,Lobby 4,,,,,,,,,,,,,,,131,99,54,88,102,66,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,LGN,36,,,,,,,,Lobby 4,,,,,,,,,,,,,,,73,33,121,55,29,99,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,GVG,29,,,,,,,,Lobby 4,,,,,,,,,,,,,,,102,0,29,77,141,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,PXL,25,,,,,,,,Lobby 4,,,,,,,,,,,,,,,82,22,73,55,111,33,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,PauseChamps,22,,,,,,,,Lobby 4,,,,,,,,,,,,,,,45,66,92,33,151,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
