Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,GOB-ARH,66,112,1515,29,1212,54,66,82,66
2.0,EMM,50,131,22,92,77,63,77,112,1616
3.0,CKB,44,29,33,112,1212,92,22,131,33
4.0,DESI,38,54,55,45,55,37,11,37,44
5.0,DNT,33,141,0,54,0,112,99,45,22
6.0,Just Send It,33,92,44,37,11,45,33,29,22
7.0,姐妹花,23,37,88,102,33,102,0,111,0
8.0,Systematic,20,63,11,73,0,29,22,92,0
9.0,The Legend Pride,14,45,0,82,0,111,0,73,33
10.0,Bit of Trolling,12,102,0,151,0,73,22,63,11
11.0,RNG,10,111,0,131,0,121,22,102,33
12.0,SkarptSinne,10,151,0,141,0,82,22,121,33
13.0,Monkey Predator,9,73,0,121,0,131,33,151,0
14.0,BTCxWGG,8,82,0,63,11,141,0,141,0
15.0,Kardinals,7,121,0,111,0,151,0,54,0
