Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,BKMN,77,1,9,11,0,6,8,1,13,Lobby 1,Semifinals,3.0,7.0,11.0,4.0
2.0,LAG,72,6,5,1,11,5,3,15,0,Lobby 1,Semifinals,2.0,10.0,4.0,9.0
3.0,IBSG,49,4,2,6,3,7,1,2,7,Lobby 1,Semifinals,1.0,4.0,17.0,0.0
4.0,MTR,48,11,3,10,2,8,4,8,0,Lobby 1,Semifinals,9.0,5.0,1.0,13.0
5.0,APXRS,45,5,5,9,1,14,3,7,6,Lobby 1,Semifinals,5.0,12.0,16.0,4.0
6.0,ScL,42,2,6,3,5,19,0,3,1,Lobby 1,Semifinals,8.0,0.0,5.0,1.0
7.0,456,38,13,9,18,3,16,3,5,4,Lobby 1,Semifinals,18.0,0.0,2.0,5.0
8.0,Serpens,38,9,3,5,5,9,0,18,1,Lobby 1,Semifinals,4.0,4.0,3.0,5.0
9.0,GEMI,34,19,0,4,8,3,6,11,0,Lobby 1,Semifinals,17.0,0.0,7.0,4.0
10.0,Servelal alpha,34,18,0,7,2,4,1,4,9,Lobby 1,Semifinals,10.0,3.0,9.0,2.0
11.0,SyS,34,8,0,13,0,2,11,9,0,Lobby 1,Semifinals,7.0,4.0,8.0,0.0
12.0,Joel Mark,31,17,0,2,9,20,0,6,4,Lobby 1,Semifinals,13.0,0.0,15.0,4.0
13.0,AVA,30,16,0,17,0,1,11,13,2,Lobby 1,Semifinals,16.0,1.0,14.0,2.0
14.0,GW,26,3,5,12,0,18,1,17,4,Lobby 1,Semifinals,15.0,6.0,13.0,0.0
15.0,Crest,21,20,1,8,3,13,3,14,5,Lobby 1,Semifinals,11.0,1.0,19.0,3.0
16.0,3DONE,16,10,9,19,0,17,0,16,0,Lobby 1,Semifinals,19.0,0.0,6.0,2.0
17.0,BeastMode,13,7,1,14,3,12,2,20,0,Lobby 1,Semifinals,20.0,0.0,12.0,1.0
18.0,YaBaL,12,14,0,15,0,11,1,10,1,Lobby 1,Semifinals,6.0,0.0,10.0,0.0
19.0,WYV,9,15,1,16,3,10,0,12,0,Lobby 1,Semifinals,12.0,0.0,20.0,0.0
20.0,REAH,4,12,0,20,0,15,0,19,0,Lobby 1,Semifinals,14.0,0.0,18.0,1.0
1.0,NAT,69,4,8,5,1,10,4,1,7,Lobby 2,Semifinals,10.0,4.0,2.0,11.0
2.0,RPG,65,5,2,1,7,3,7,4,4,Lobby 2,Semifinals,5.0,2.0,4.0,6.0
3.0,SYTH,60,18,0,2,16,2,7,11,1,Lobby 2,Semifinals,2.0,3.0,5.0,1.0
4.0,Marine,57,3,5,20,1,13,2,2,8,Lobby 2,Semifinals,17.0,1.0,1.0,11.0
5.0,EXiA KR,47,7,8,14,4,1,10,15,0,Lobby 2,Semifinals,14.0,3.0,16.0,4.0
6.0,UC,46,14,0,12,6,5,6,18,3,Lobby 2,Semifinals,1.0,11.0,9.0,0.0
7.0,D4RK,45,10,6,3,9,18,4,14,2,Lobby 2,Semifinals,18.0,0.0,3.0,7.0
8.0,JDT,44,1,7,6,0,11,4,10,0,Lobby 2,Semifinals,3.0,3.0,7.0,2.0
9.0,TW,35,2,2,17,3,16,0,6,9,Lobby 2,Semifinals,8.0,6.0,12.0,0.0
10.0,LandMarkGondola,30,17,0,19,1,7,1,3,10,Lobby 2,Semifinals,6.0,3.0,8.0,0.0
11.0,HE,28,8,11,10,1,8,4,17,0,Lobby 2,Semifinals,12.0,2.0,13.0,2.0
12.0,FA Club FUG,28,11,2,13,2,12,6,19,0,Lobby 2,Semifinals,4.0,7.0,10.0,1.0
13.0,Fujii Gaming,23,9,0,7,2,14,3,12,1,Lobby 2,Semifinals,15.0,2.0,14.0,6.0
14.0,ENG,21,12,0,11,0,4,3,7,3,Lobby 2,Semifinals,16.0,0.0,6.0,2.0
15.0,Zenith,17,19,3,4,3,17,0,13,3,Lobby 2,Semifinals,19.0,0.0,11.0,1.0
16.0,TSURUGI,17,15,0,18,0,6,0,5,3,Lobby 2,Semifinals,7.0,3.0,19.0,0.0
17.0,HIT,13,6,5,15,0,9,0,16,2,Lobby 2,Semifinals,20.0,0.0,20.0,0.0
18.0,ARZ,9,13,0,9,0,15,1,20,0,Lobby 2,Semifinals,9.0,0.0,18.0,2.0
19.0,Ignition,7,16,0,8,1,20,0,9,0,Lobby 2,Semifinals,13.0,0.0,15.0,0.0
20.0,RUG,4,20,0,16,0,19,0,8,0,Lobby 2,Semifinals,11.0,1.0,17.0,0.0
1.0,UC,63,19,0,1,15,10,5,5,3,Lobby 1,Finals,2.0,11.0,15.0,1.0
2.0,RPG,62,11,0,2,6,1,7,3,7,Lobby 1,Finals,7.0,0.0,3.0,3.0
3.0,MTR,56,9,0,11,0,3,5,6,4,Lobby 1,Finals,1.0,15.0,7.0,4.0
4.0,APXRS,55,6,11,6,4,7,4,2,8,Lobby 1,Finals,10.0,6.0,12.0,1.0
5.0,BKMN,48,8,3,5,6,6,9,8,2,Lobby 1,Finals,15.0,0.0,2.0,7.0
6.0,SyS,39,10,3,19,0,9,3,1,8,Lobby 1,Finals,6.0,1.0,9.0,3.0
7.0,D4RK,37,4,9,16,0,12,5,13,2,Lobby 1,Finals,14.0,3.0,4.0,5.0
8.0,Serpens,37,16,6,3,2,2,4,4,3,Lobby 1,Finals,11.0,0.0,20.0,0.0
9.0,LAG,35,1,9,18,2,5,2,7,3,Lobby 1,Finals,18.0,0.0,19.0,0.0
10.0,456,32,3,4,8,4,8,2,11,8,Lobby 1,Finals,17.0,0.0,17.0,2.0
11.0,SYTH,32,12,0,7,4,4,1,12,3,Lobby 1,Finals,4.0,7.0,14.0,1.0
12.0,IBSG,30,2,4,17,0,18,1,10,1,Lobby 1,Finals,5.0,1.0,6.0,5.0
13.0,Marine,25,20,0,12,3,14,2,19,0,Lobby 1,Finals,13.0,0.0,1.0,5.0
14.0,NAT,22,7,4,9,5,13,1,17,1,Lobby 1,Finals,20.0,0.0,11.0,4.0
15.0,TW,19,5,1,14,0,20,0,14,0,Lobby 1,Finals,12.0,3.0,10.0,6.0
16.0,JDT,17,17,0,4,4,11,3,18,0,Lobby 1,Finals,16.0,0.0,8.0,2.0
17.0,Servelal alpha,16,18,0,13,0,17,2,20,0,Lobby 1,Finals,3.0,6.0,18.0,0.0
18.0,LandMarkGondola,15,14,0,20,0,19,0,15,2,Lobby 1,Finals,9.0,4.0,5.0,1.0
19.0,EXiA KR,11,13,1,10,0,16,0,9,2,Lobby 1,Finals,19.0,0.0,16.0,3.0
20.0,ScL,9,15,0,15,0,15,0,16,1,Lobby 1,Finals,8.0,2.0,13.0,0.0
