,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 May 08, 2022 - 16:15 BRTStorm Point Fênix Team 1iQ Pirate Dream Esports","Round 1 Round 1 May 08, 2022 - 16:15 BRTStorm Point Fênix Team 1iQ Pirate Dream Esports","Round 2 Round 2 May 08, 2022 - 16:50 BRTStorm Point Fênix Team Dynamics Xen","Round 2 Round 2 May 08, 2022 - 16:50 BRTStorm Point Fênix Team Dynamics Xen","Round 3 Round 3 May 08, 2022 - 17:25 BRTStorm Point 1iQ Fênix Team OnlyFlans","Round 3 Round 3 May 08, 2022 - 17:25 BRTStorm Point 1iQ Fênix Team OnlyFlans","Round 4 Round 4 May 08, 2022 - 18:00 BRTWorld's Edge 1iQ Xen No Org","Round 4 Round 4 May 08, 2022 - 18:00 BRTWorld's Edge 1iQ Xen No Org","Round 5 Round 5 May 08, 2022 - 18:35 BRTWorld's Edge 1iQ GHOST E-Sports Sunset raven's","Round 5 Round 5 May 08, 2022 - 18:35 BRTWorld's Edge 1iQ GHOST E-Sports Sunset raven's","Round 6 Round 6 May 08, 2022 - 19:00 BRTWorld's Edge Plaq Tu Dum OnlyFlans Dynamics","Round 6 Round 6 May 08, 2022 - 19:00 BRTWorld's Edge Plaq Tu Dum OnlyFlans Dynamics"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FNX,87,1,12,1,12,2,10,9,3,8,2,9,1
1,2.0,1IQ,85,2,8,9,3,1,14,1,7,1,5,14,0
2,3.0,SST,57,5,11,11,2,10,5,6,4,3,8,16,1
3,4.0,DYN,51,6,0,2,9,6,1,4,7,18,0,3,1
4,5.0,XEN,48,16,3,3,6,14,0,2,5,16,2,10,3
5,6.0,BRZ,40,4,4,10,5,4,5,15,0,13,1,5,7
6,7.0,PTD,38,10,0,18,0,15,4,14,9,17,0,1,9
7,8.0,AK47,34,7,0,17,1,18,0,16,0,6,6,4,9
8,9.0,OF,33,20,0,15,0,3,4,8,1,9,0,2,5
9,10.0,PD,31,3,2,20,0,12,4,7,7,14,3,20,0
10,11.0,1SE,30,8,4,4,8,8,2,17,0,5,3,17,0
11,12.0,LNW,29,14,3,14,0,9,4,11,7,19,0,8,8
12,13.0,No Org,29,11,6,12,0,19,1,3,2,7,1,6,0
13,14.0,GHT,28,15,0,19,0,17,0,13,3,2,10,15,3
14,15.0,HRS,24,19,0,6,1,13,0,18,0,4,5,11,3
15,16.0,INS,21,17,0,16,0,5,1,5,0,15,3,12,7
16,17.0,BHT,21,9,4,8,5,7,0,20,0,10,0,7,0
17,18.0,TBG,14,12,0,5,4,16,0,10,0,20,0,19,3
18,19.0,TERM,12,13,0,7,1,11,0,19,0,12,4,18,0
19,20.0,DOOD,10,18,0,13,0,20,2,12,0,11,3,13,1
