Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket,Legend
1.0,FUR,73.0,15.0,1.0,19.0,3.0,2.0,6.0,2.0,9.0,1.0,8.0,4.0,0.0,Finals,
2.0,E8,71.0,9.0,7.0,8.0,5.0,6.0,0.0,1.0,7.0,8.0,2.0,1.0,16.0,Finals,
3.0,HCH,71.0,2.0,6.0,4.0,3.0,1.0,10.0,6.0,1.0,6.0,7.0,5.0,1.0,Finals,
4.0,SEN,52.0,1.0,4.0,3.0,8.0,17.0,0.0,13.0,0.0,2.0,7.0,13.0,3.0,Finals,
5.0,UNL,50.0,4.0,0.0,2.0,7.0,3.0,8.0,16.0,2.0,7.0,1.0,17.0,0.0,Finals,
6.0,G2,43.0,12.0,3.0,13.0,5.0,7.0,12.0,3.0,4.0,15.0,0.0,9.0,4.0,Finals,
7.0,GFORCE,43.0,6.0,8.0,1.0,10.0,18.0,1.0,11.0,3.0,16.0,0.0,11.0,4.0,Finals,
8.0,RNG,43.0,8.0,4.0,12.0,0.0,11.0,2.0,8.0,7.0,12.0,5.0,3.0,5.0,Finals,
9.0,COL,31.0,11.0,3.0,6.0,2.0,12.0,0.0,9.0,2.0,14.0,0.0,2.0,7.0,Finals,
10.0,TRP,30.0,17.0,1.0,20.0,0.0,15.0,0.0,4.0,13.0,17.0,3.0,18.0,3.0,Finals,
11.0,TOR,30.0,5.0,3.0,11.0,0.0,4.0,1.0,10.0,1.0,13.0,5.0,12.0,3.0,Finals,
12.0,DY,29.0,16.0,0.0,7.0,3.0,5.0,2.0,12.0,0.0,11.0,0.0,15.0,5.0,Finals,
13.0,FA,28.0,14.0,2.0,17.0,0.0,10.0,4.0,15.0,0.0,3.0,3.0,10.0,4.0,Finals,
14.0,XSET,26.0,3.0,3.0,15.0,0.0,16.0,1.0,19.0,0.0,4.0,6.0,14.0,2.0,Finals,
15.0,NM,25.0,7.0,4.0,16.0,0.0,8.0,3.0,7.0,2.0,10.0,3.0,7.0,0.0,Finals,
16.0,SHEESH,21.0,18.0,0.0,10.0,0.0,14.0,3.0,5.0,0.0,5.0,4.0,6.0,0.0,Finals,
17.0,LZR,15.0,10.0,5.0,18.0,0.0,13.0,2.0,14.0,4.0,18.0,0.0,19.0,0.0,Finals,
18.0,CLT,15.0,19.0,0.0,14.0,2.0,20.0,0.0,17.0,2.0,19.0,0.0,8.0,3.0,Finals,
19.0,SUP,14.0,13.0,0.0,5.0,6.0,19.0,1.0,20.0,0.0,9.0,0.0,16.0,0.0,Finals,
20.0,CAS,9.0,20.0,1.0,9.0,0.0,9.0,4.0,18.0,0.0,20.0,0.0,20.0,0.0,Finals,
1.0,NM,61.0,15.0,2.0,18.0,0.0,1.0,10.0,13.0,0.0,1.0,6.0,2.0,8.0,Losers_Bracket,
2.0,GFORCE,55.0,18.0,0.0,9.0,3.0,15.0,8.0,1.0,18.0,10.0,9.0,20.0,0.0,Losers_Bracket,
3.0,LZR,53.0,5.0,7.0,19.0,3.0,14.0,0.0,2.0,8.0,3.0,4.0,4.0,5.0,Losers_Bracket,
4.0,WING,52.0,8.0,4.0,15.0,0.0,3.0,7.0,5.0,4.0,9.0,3.0,1.0,6.0,Losers_Bracket,
5.0,TPM,41.0,2.0,6.0,8.0,8.0,11.0,3.0,12.0,0.0,4.0,3.0,17.0,3.0,Losers_Bracket,
6.0,SHEESH,40.0,6.0,1.0,1.0,11.0,8.0,3.0,14.0,3.0,7.0,0.0,15.0,0.0,Losers_Bracket,
7.0,CAS,38.0,9.0,0.0,11.0,2.0,16.0,1.0,4.0,7.0,2.0,11.0,18.0,0.0,Losers_Bracket,
8.0,SUP,36.0,16.0,5.0,14.0,2.0,2.0,6.0,6.0,3.0,11.0,2.0,13.0,3.0,Losers_Bracket,
9.0,COL,36.0,1.0,11.0,12.0,0.0,13.0,3.0,16.0,0.0,17.0,0.0,10.0,6.0,Losers_Bracket,
10.0,ASUR,35.0,10.0,0.0,2.0,10.0,4.0,7.0,18.0,0.0,18.0,0.0,12.0,1.0,Losers_Bracket,
11.0,CLG,34.0,4.0,0.0,13.0,0.0,6.0,3.0,15.0,4.0,5.0,4.0,3.0,2.0,Losers_Bracket,
12.0,OXG,32.0,3.0,6.0,6.0,4.0,10.0,0.0,19.0,0.0,13.0,4.0,9.0,3.0,Losers_Bracket,
13.0,SDO,28.0,19.0,2.0,3.0,3.0,9.0,0.0,8.0,1.0,14.0,3.0,5.0,3.0,Losers_Bracket,
14.0,DXT,23.0,20.0,1.0,20.0,0.0,20.0,0.0,7.0,6.0,6.0,1.0,6.0,6.0,Losers_Bracket,
15.0,CCE UCX,21.0,7.0,3.0,10.0,0.0,12.0,3.0,9.0,0.0,16.0,2.0,7.0,2.0,Losers_Bracket,
16.0,5FT12IN,20.0,14.0,3.0,7.0,0.0,17.0,1.0,3.0,0.0,15.0,0.0,8.0,2.0,Losers_Bracket,
17.0,VOID,19.0,12.0,5.0,17.0,0.0,7.0,1.0,10.0,1.0,8.0,2.0,14.0,1.0,Losers_Bracket,
18.0,RCO,19.0,13.0,0.0,4.0,3.0,5.0,2.0,17.0,2.0,19.0,0.0,11.0,1.0,Losers_Bracket,
19.0,WASH,16.0,11.0,0.0,5.0,8.0,18.0,0.0,20.0,0.0,20.0,0.0,19.0,3.0,Losers_Bracket,
20.0,AST,7.0,17.0,2.0,16.0,0.0,19.0,0.0,11.0,0.0,12.0,3.0,16.0,0.0,Losers_Bracket,
