Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,HVND,91,4,5,1,9,1,22,2,17
2.0,CONT,65,2,6,3,14,4,3,1,9
3.0,CCE UCX,40,1,14,4,6,19,3,20,0
4.0,MM,32,20,0,6,6,2,10,13,3
5.0,EX,25,3,2,9,0,5,3,8,5
6.0,OYO,21,13,4,18,0,15,1,3,7
7.0,ZLB,20,5,4,5,5,9,0,15,0
8.0,CDE,17,17,0,2,6,17,0,16,2
9.0,ill,16,11,4,7,0,10,1,6,2
10.0,RLP,16,7,1,10,0,3,3,17,0
11.0,CAA,15,8,5,19,0,20,0,4,3
12.0,Hotdoggers,15,10,2,16,0,6,0,5,4
13.0,cleevlund roxs,12,6,3,12,0,12,0,9,2
14.0,trash,10,12,0,11,4,11,2,12,0
15.0,Them Boiz,10,15,1,20,0,7,4,14,0
16.0,Digitized Ent.,9,9,1,15,4,18,0,19,1
17.0,Patrón,9,16,0,14,3,8,3,18,0
18.0,UNDOGS,9,19,0,13,0,16,0,7,5
19.0,4'10 410,8,14,2,8,1,14,0,11,0
20.0,Dumpster Demons,5,18,0,17,0,13,2,10,0
