Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,VOID,52,2,10,2,14,4,0,11,4
2.0,ShameAssist,45,5,3,1,12,11,2,8,9
3.0,WING,42,3,16,9,9,17,0,7,5
4.0,AE,42,4,7,6,0,1,12,16,3
5.0,CIMJ,40,6,4,7,6,15,1,1,10
6.0,TPM,35,7,4,16,0,3,10,2,2
7.0,Anarchy,28,1,5,8,1,10,3,9,1
8.0,TAG NA,24,12,0,15,0,7,9,3,3
9.0,BF,19,10,0,17,2,2,6,20,0
10.0,TRP,18,8,2,19,0,5,3,6,4
11.0,North,16,20,0,3,4,20,0,5,1
12.0,CPS,12,17,0,10,4,6,0,19,3
13.0,Xile,12,18,1,18,0,13,3,4,2
14.0,Revenge,10,16,0,12,1,12,6,17,1
15.0,ZERO,10,13,1,14,0,8,1,18,4
16.0,Floofgang,10,14,0,5,0,16,1,10,2
17.0,BMM,10,19,1,4,0,9,0,15,1
18.0,OnTheRocks,9,9,3,11,2,18,0,14,0
19.0,FIT,6,11,0,20,0,14,0,12,3
20.0,Devil's Rejects,5,15,0,13,1,19,0,13,1
