Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,ORCL,59,2,6,3,6,1,12,6,4
2.0,NMS,56,1,16,2,6,16,0,2,4
3.0,DI,55,19,0,1,8,11,4,1,18
4.0,SPPI,30,4,9,5,6,7,0,17,3
5.0,SPIRAL,28,3,5,15,7,19,0,13,7
6.0,SCBS,25,8,2,9,0,2,7,11,2
7.0,DynamiX,24,5,3,13,1,4,8,14,1
8.0,ExplosionFusion,22,17,1,14,5,3,4,10,2
9.0,BWG,18,18,0,17,0,6,8,5,3
10.0,BFG,18,12,1,6,2,14,3,3,0
11.0,SlayerOfSundays,18,13,0,4,3,9,2,4,0
12.0,Chupiki,15,11,1,18,0,17,3,7,7
13.0,3FR,13,15,1,7,6,18,0,12,1
14.0,White Clover,11,16,5,10,0,8,1,16,1
15.0,Kissyourhomies,10,7,2,16,0,10,3,19,0
16.0,Justthreeplayers,10,9,0,8,1,13,2,9,0
17.0,LPm,9,6,2,11,0,15,0,8,0
18.0,1515,8,10,0,12,1,5,0,18,0
19.0,Falcons,5,14,1,19,0,12,0,15,1
20.0,Baguette,0,20,0,20,0,20,0,20,0
