,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 16:00 SGTWorld's Edge DML BRP Lightning Unicorn","Round 1 Round 1 December 4, 2021 - 16:00 SGTWorld's Edge DML BRP Lightning Unicorn","Round 2 Round 2 December 4, 2021 - 16:35 SGTWorld's Edge Team Burger Inside The Ring 404 Not Found","Round 2 Round 2 December 4, 2021 - 16:35 SGTWorld's Edge Team Burger Inside The Ring 404 Not Found","Round 3 Round 3 December 4, 2021 - 17:10 SGTWorld's Edge MDY DreamFire WEAREGODGAMERS","Round 3 Round 3 December 4, 2021 - 17:10 SGTWorld's Edge MDY DreamFire WEAREGODGAMERS","Round 4 Round 4 December 4, 2021 - 17:45 SGTWorld's Edge DreamFire MDY Lightning Unicorn","Round 4 Round 4 December 4, 2021 - 17:45 SGTWorld's Edge DreamFire MDY Lightning Unicorn","Round 5 Round 5 December 4, 2021 - 18:20 SGTWorld's Edge DreamFire Perangai Esport BRP","Round 5 Round 5 December 4, 2021 - 18:20 SGTWorld's Edge DreamFire Perangai Esport BRP","Round 6 Round 6 December 4, 2021 - 18:55 SGTWorld's Edge Team Burger Inside The Ring 404 Not Found","Round 6 Round 6 December 4, 2021 - 18:55 SGTWorld's Edge Team Burger Inside The Ring 404 Not Found"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,DF,96,200,0,92,44,29,1515,112,1414,112,1919,54,55
1,2.0,BRGR,70,73,44,112,1414,102,44,180,0,102,77,112,1010
2,3.0,MDY,55,102,1010,131,0,112,1212,29,44,200,0,82,33
3,4.0,BRP,49,29,1111,63,11,111,0,63,11,37,77,73,33
4,5.0,LU,47,37,44,111,55,73,55,37,1010,111,0,63,11
5,6.0,ITR,46,45,0,29,55,170,0,82,11,63,44,29,88
6,7.0,404,41,54,22,37,66,54,66,92,0,73,0,37,0
7,8.0,WGG,40,180,0,180,0,37,22,54,77,45,55,111,99
8,9.0,PG,40,82,55,45,33,151,0,131,22,29,88,131,33
9,10.0,MON,28,111,44,102,11,141,0,160,55,160,33,45,66
10,11.0,DML,23,112,66,121,0,160,0,190,0,92,11,151,0
11,12.0,WHIZ,21,63,66,190,0,82,0,111,33,82,0,92,22
12,13.0,SNG,20,141,33,160,33,45,55,141,0,180,0,102,0
13,14.0,INF,20,92,0,170,0,63,33,45,22,54,0,170,11
14,15.0,O3,17,131,0,82,55,180,0,73,0,141,55,180,0
15,16.0,RL.XV,16,190,0,54,11,121,33,151,44,170,0,141,11
16,17.0,PWLS,14,151,0,73,33,131,0,102,22,151,0,121,0
17,18.0,STB,7,160,0,141,22,190,0,121,22,121,0,190,0
18,19.0,MBTN,6,121,0,151,0,92,0,170,0,131,11,200,0
19,20.0,Magic,4,170,11,200,11,200,0,200,0,190,0,160,22
