,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 16:00 SGTWorld's Edge Perihelion DML Powerless","Round 1 Round 1 December 5, 2021 - 16:00 SGTWorld's Edge Perihelion DML Powerless","Round 2 Round 2 December 5, 2021 - 16:35 SGTWorld's Edge SnG Team Burger 404 Not Found","Round 2 Round 2 December 5, 2021 - 16:35 SGTWorld's Edge SnG Team Burger 404 Not Found","Round 3 Round 3 December 5, 2021 - 17:10 SGTWorld's Edge Golden Sage Team Burger Method2Madness","Round 3 Round 3 December 5, 2021 - 17:10 SGTWorld's Edge Golden Sage Team Burger Method2Madness","Round 4 Round 4 December 5, 2021 - 17:45 SGTWorld's Edge We Are Trash 404 Not Found NXL WOLFPACK","Round 4 Round 4 December 5, 2021 - 17:45 SGTWorld's Edge We Are Trash 404 Not Found NXL WOLFPACK","Round 5 Round 5 December 5, 2021 - 18:20 SGTWorld's Edge Lightning Unicorn 404 Not Found Team Burger","Round 5 Round 5 December 5, 2021 - 18:20 SGTWorld's Edge Lightning Unicorn 404 Not Found Team Burger","Round 6 Round 6 December 5, 2021 - 18:55 SGTWorld's Edge Reignite Perihelion Xenomorph","Round 6 Round 6 December 5, 2021 - 18:55 SGTWorld's Edge Reignite Perihelion Xenomorph"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,GS,65,54,33,45,55,112,1919,54,44,160,22,54,33
1,2.0,404,64,73,33,37,55,151,11,29,99,29,99,82,66
2,3.0,PHN,57,112,1313,54,22,121,55,141,33,151,33,29,33
3,4.0,WAT,57,63,55,73,44,54,11,112,1313,73,44,92,33
4,5.0,BRGR,47,160,0,29,55,29,77,102,22,37,66,200,0
5,6.0,RIG,44,102,11,111,33,141,11,190,0,63,55,112,1515
6,7.0,LU,41,111,11,180,0,45,66,73,44,112,66,121,22
7,8.0,SNG,36,170,0,112,66,102,0,160,0,111,1111,102,22
8,9.0,M2M,36,151,33,160,11,37,22,45,22,54,55,63,33
9,10.0,PWLS,32,37,1010,200,0,160,0,170,55,45,22,111,22
10,11.0,O3,31,45,77,151,0,111,88,63,55,180,11,190,0
11,12.0,Estrell,29,200,0,63,66,170,22,121,33,82,11,45,66
12,13.0,NXL,29,131,0,190,22,63,99,37,11,170,0,131,55
13,14.0,DML,21,29,0,92,33,82,22,111,0,121,11,180,0
14,15.0,EVO BERZ,20,180,33,102,99,92,0,151,22,190,0,141,0
15,16.0,Pavlova,17,141,33,131,11,73,0,92,11,141,0,73,11
16,17.0,Magic,16,121,33,121,44,180,0,131,0,131,33,151,11
17,18.0,INF,14,82,0,141,0,131,11,82,22,92,11,160,22
18,19.0,Xenomorph,13,92,0,170,0,190,0,200,11,102,0,37,11
19,20.0,MBTN,5,190,11,82,11,200,0,180,0,200,0,170,11
