,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 30, 2021 - 16:00 SGTWorld's Edge XSpark Sutoraiku DreamFire","Round 1 Round 1 October 30, 2021 - 16:00 SGTWorld's Edge XSpark Sutoraiku DreamFire","Round 2 Round 2 October 30, 2021 - 16:35 SGTWorld's Edge Monkeyz ATHXHVY Inside The Ring","Round 2 Round 2 October 30, 2021 - 16:35 SGTWorld's Edge Monkeyz ATHXHVY Inside The Ring","Round 3 Round 3 October 30, 2021 - 17:10 SGTWorld's Edge Primis Komanda StinkyB Inside The Ring","Round 3 Round 3 October 30, 2021 - 17:10 SGTWorld's Edge Primis Komanda StinkyB Inside The Ring","Round 4 Round 4 October 30, 2021 - 17:45 SGTWorld's Edge ATHXHVY Inside The Ring BRP","Round 4 Round 4 October 30, 2021 - 17:45 SGTWorld's Edge ATHXHVY Inside The Ring BRP","Round 5 Round 5 October 30, 2021 - 18:20 SGTWorld's Edge DNZ Inside The Ring EXO Clan","Round 5 Round 5 October 30, 2021 - 18:20 SGTWorld's Edge DNZ Inside The Ring EXO Clan","Round 6 Round 6 October 30, 2021 - 18:55 SGTWorld's Edge EXO Clan WEAREGODGAMERS Kakkoii","Round 6 Round 6 October 30, 2021 - 18:55 SGTWorld's Edge EXO Clan WEAREGODGAMERS Kakkoii"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ATH,56,45,33,29,77,131,11,112,77,141,0,45,55
1,2.0,EXO,54,131,11,82,55,151,11,54,22,37,99,112,99
2,3.0,ITR,47,92,44,37,22,37,0,29,44,29,33,190,0
3,4.0,STK,41,29,77,170,0,54,22,45,88,151,0,63,22
4,5.0,PK,40,63,22,63,11,112,1313,180,22,190,0,131,33
5,6.0,DNZ,40,151,11,54,11,92,0,82,66,112,99,111,11
6,7.0,DF,40,37,77,92,55,141,33,92,0,131,22,73,77
7,8.0,KAK,40,102,66,73,88,82,33,151,0,102,11,37,55
8,9.0,MON,39,121,44,112,77,73,11,111,0,54,66,160,0
9,10.0,WGG,38,141,22,190,0,45,88,131,0,73,22,29,77
10,11.0,STB,38,180,11,160,33,29,44,102,11,82,99,92,55
11,12.0,MDY,34,73,0,121,44,102,33,63,1515,170,33,200,0
12,13.0,TX,33,112,88,111,11,180,0,73,22,92,11,180,33
13,14.0,BRP,33,54,33,102,33,111,11,37,33,180,22,54,33
14,15.0,RET,28,170,22,45,44,63,88,160,33,111,0,141,11
15,16.0,WHIZ,20,200,0,141,33,200,0,121,0,45,99,121,0
16,17.0,AMG TW,16,111,55,151,33,170,0,190,0,63,22,151,0
17,18.0,PG,11,160,0,131,11,121,0,141,0,121,0,82,44
18,19.0,RL.XV,8,82,33,180,0,160,11,200,0,200,0,102,0
19,20.0,Azure,6,190,0,200,0,190,33,170,0,160,0,170,33
