,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 23, 2021 - 12:00 SGTWorld's Edge Sutoraiku EXO Clan ATHXHVY","Round 1 Round 1 October 23, 2021 - 12:00 SGTWorld's Edge Sutoraiku EXO Clan ATHXHVY","Round 2 Round 2 October 23, 2021 - 12:35 SGTWorld's Edge Reignite Kakkoii Sutoraiku","Round 2 Round 2 October 23, 2021 - 12:35 SGTWorld's Edge Reignite Kakkoii Sutoraiku","Round 3 Round 3 October 23, 2021 - 13:10 SGTWorld's Edge Method2Madness ATHXHVY XSpark","Round 3 Round 3 October 23, 2021 - 13:10 SGTWorld's Edge Method2Madness ATHXHVY XSpark","Round 4 Round 4 October 23, 2021 - 13:45 SGTWorld's Edge XSpark Evolution BERZERKER Estrell","Round 4 Round 4 October 23, 2021 - 13:45 SGTWorld's Edge XSpark Evolution BERZERKER Estrell","Round 5 Round 5 October 23, 2021 - 14:20 SGTWorld's Edge DNZ Reignite Kakkoii","Round 5 Round 5 October 23, 2021 - 14:20 SGTWorld's Edge DNZ Reignite Kakkoii","Round 6 Round 6 October 23, 2021 - 14:55 SGTWorld's Edge EXO Clan ATHXHVY Kakkoii","Round 6 Round 6 October 23, 2021 - 14:55 SGTWorld's Edge EXO Clan ATHXHVY Kakkoii"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,EXO,67,29,1414,92,11,45,99,131,55,200,0,112,99
1,2.0,TX,64,63,55,200,0,37,44,112,1414,45,1010,73,11
2,3.0,RIG,57,73,33,112,1414,131,22,111,11,29,99,151,11
3,4.0,KAK,57,92,44,29,77,73,55,141,0,37,55,37,77
4,5.0,ATH,56,37,44,73,33,29,66,73,22,111,11,29,88
5,6.0,STK,50,112,77,37,33,102,22,63,44,190,0,54,66
6,7.0,DNZ,41,82,0,54,88,54,11,160,0,112,99,121,0
7,8.0,M2M,36,131,33,151,0,112,1313,151,11,151,0,190,33
8,9.0,RET,36,54,66,111,0,151,0,92,77,92,33,45,55
9,10.0,PK,35,45,22,82,22,63,11,102,66,73,88,180,11
10,11.0,Estrell,30,102,22,45,77,190,0,37,11,131,0,102,33
11,12.0,GS,27,200,0,63,44,121,33,54,44,54,22,141,11
12,13.0,EVO BERZ,23,121,11,131,11,141,11,29,77,141,0,200,0
13,14.0,Pavlova,17,151,0,141,22,92,11,121,0,82,44,111,22
14,15.0,WAT,12,180,33,180,11,111,33,200,0,170,0,92,22
15,16.0,AMG TW,12,141,0,170,11,82,11,82,22,102,0,131,0
16,17.0,StrawberryJam,11,190,0,121,0,200,0,45,33,180,0,82,0
17,18.0,Xenomorph,11,170,0,102,22,170,0,190,0,63,22,170,22
18,19.0,NXL,10,160,0,190,0,180,22,170,0,160,11,63,44
19,20.0,PHN,3,111,0,160,0,160,11,180,0,121,0,160,0
