,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 16:00 SGTWorld's Edge Perihelion DML Powerless","Round 1 Round 1 December 5, 2021 - 16:00 SGTWorld's Edge Perihelion DML Powerless","Round 2 Round 2 December 5, 2021 - 16:35 SGTWorld's Edge SnG Team Burger 404 Not Found","Round 2 Round 2 December 5, 2021 - 16:35 SGTWorld's Edge SnG Team Burger 404 Not Found","Round 3 Round 3 December 5, 2021 - 17:10 SGTWorld's Edge Golden Sage Team Burger Method2Madness","Round 3 Round 3 December 5, 2021 - 17:10 SGTWorld's Edge Golden Sage Team Burger Method2Madness","Round 4 Round 4 December 5, 2021 - 17:45 SGTWorld's Edge We Are Trash 404 Not Found NXL WOLFPACK","Round 4 Round 4 December 5, 2021 - 17:45 SGTWorld's Edge We Are Trash 404 Not Found NXL WOLFPACK","Round 5 Round 5 December 5, 2021 - 18:20 SGTWorld's Edge Lightning Unicorn 404 Not Found Team Burger","Round 5 Round 5 December 5, 2021 - 18:20 SGTWorld's Edge Lightning Unicorn 404 Not Found Team Burger","Round 6 Round 6 December 5, 2021 - 18:55 SGTWorld's Edge Reignite Perihelion Xenomorph","Round 6 Round 6 December 5, 2021 - 18:55 SGTWorld's Edge Reignite Perihelion Xenomorph"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,GS,65,5,3,4,5,1,19,5,4,16,2,5,3
1,2.0,404,64,7,3,3,5,15,1,2,9,2,9,8,6
2,3.0,PHN,57,1,13,5,2,12,5,14,3,15,3,2,3
3,4.0,WAT,57,6,5,7,4,5,1,1,13,7,4,9,3
4,5.0,BRGR,47,16,0,2,5,2,7,10,2,3,6,20,0
5,6.0,RIG,44,10,1,11,3,14,1,19,0,6,5,1,15
6,7.0,LU,41,11,1,18,0,4,6,7,4,1,6,12,2
7,8.0,SNG,36,17,0,1,6,10,0,16,0,11,11,10,2
8,9.0,M2M,36,15,3,16,1,3,2,4,2,5,5,6,3
9,10.0,PWLS,32,3,10,20,0,16,0,17,5,4,2,11,2
10,11.0,O3,31,4,7,15,0,11,8,6,5,18,1,19,0
11,12.0,Estrell,29,20,0,6,6,17,2,12,3,8,1,4,6
12,13.0,NXL,29,13,0,19,2,6,9,3,1,17,0,13,5
13,14.0,DML,21,2,0,9,3,8,2,11,0,12,1,18,0
14,15.0,EVO BERZ,20,18,3,10,9,9,0,15,2,19,0,14,0
15,16.0,Pavlova,17,14,3,13,1,7,0,9,1,14,0,7,1
16,17.0,Magic,16,12,3,12,4,18,0,13,0,13,3,15,1
17,18.0,INF,14,8,0,14,0,13,1,8,2,9,1,16,2
18,19.0,Xenomorph,13,9,0,17,0,19,0,20,1,10,0,3,1
19,20.0,MBTN,5,19,1,8,1,20,0,18,0,20,0,17,1
