,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 16:00 SGTWorld's Edge Kakkoii XSpark BRP","Round 1 Round 1 December 5, 2021 - 16:00 SGTWorld's Edge Kakkoii XSpark BRP","Round 2 Round 2 December 5, 2021 - 16:35 SGTWorld's Edge MDY BRP Inside The Ring","Round 2 Round 2 December 5, 2021 - 16:35 SGTWorld's Edge MDY BRP Inside The Ring","Round 3 Round 3 December 5, 2021 - 17:10 SGTWorld's Edge Kakkoii EXO Clan MDY","Round 3 Round 3 December 5, 2021 - 17:10 SGTWorld's Edge Kakkoii EXO Clan MDY","Round 4 Round 4 December 5, 2021 - 17:45 SGTWorld's Edge DreamFire ATHXHVY Reckless Lads XV","Round 4 Round 4 December 5, 2021 - 17:45 SGTWorld's Edge DreamFire ATHXHVY Reckless Lads XV","Round 5 Round 5 December 5, 2021 - 18:20 SGTWorld's Edge EXO Clan Reckless Lads XV Primis Komanda","Round 5 Round 5 December 5, 2021 - 18:20 SGTWorld's Edge EXO Clan Reckless Lads XV Primis Komanda","Round 6 Round 6 December 5, 2021 - 18:55 SGTWorld's Edge MDY BRP Primis Komanda","Round 6 Round 6 December 5, 2021 - 18:55 SGTWorld's Edge MDY BRP Primis Komanda"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,EXO,68,9,4,7,0,2,10,12,3,1,14,4,5
1,2.0,DF,56,8,2,5,5,11,5,1,9,6,7,5,2
2,3.0,MDY,56,12,0,1,8,3,4,14,0,10,1,1,8
3,4.0,KAK,52,1,10,15,1,1,10,17,0,8,1,11,2
4,5.0,RL.XV,49,19,0,20,0,7,3,3,12,2,12,6,0
5,6.0,BRP,46,3,3,2,8,12,1,6,1,12,0,2,3
6,7.0,PK,42,4,6,9,1,20,0,8,0,3,2,3,10
7,8.0,TX,41,2,3,4,2,17,2,5,5,9,5,12,3
8,9.0,RET,40,17,0,6,4,6,4,7,8,14,0,8,12
9,10.0,MON,29,11,6,17,2,8,4,10,6,18,1,7,2
10,11.0,ITR,29,14,4,3,4,14,0,15,2,5,5,19,0
11,12.0,ATH,28,18,0,12,3,10,3,2,4,11,3,16,2
12,13.0,PG,26,10,3,11,4,13,2,16,3,7,4,9,1
13,14.0,DNZ,26,13,3,10,3,4,5,9,1,16,0,13,3
14,15.0,STB,16,6,1,19,0,5,2,13,0,15,0,15,3
15,16.0,STK,15,15,3,13,2,16,0,4,3,19,0,17,0
16,17.0,Azure,13,16,2,14,3,18,0,11,0,4,0,14,0
17,18.0,WHIZ,9,20,2,8,0,9,0,20,0,13,1,20,1
18,19.0,WGG,8,5,1,18,0,15,0,19,0,17,0,10,0
19,20.0,AMG TW,7,7,4,16,0,19,0,18,0,20,0,18,0
