,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 20, 2021 - 16:00 SGTWorld's Edge Team Burger Inferno Esport 404 Not Found","Round 1 Round 1 November 20, 2021 - 16:00 SGTWorld's Edge Team Burger Inferno Esport 404 Not Found","Round 2 Round 2 November 20, 2021 - 16:35 SGTWorld's Edge Rage Entertainment Team ATHXHVY XSpark","Round 2 Round 2 November 20, 2021 - 16:35 SGTWorld's Edge Rage Entertainment Team ATHXHVY XSpark","Round 3 Round 3 November 20, 2021 - 17:10 SGTWorld's Edge Ogre 3 404 Not Found Sutoraiku","Round 3 Round 3 November 20, 2021 - 17:10 SGTWorld's Edge Ogre 3 404 Not Found Sutoraiku","Round 4 Round 4 November 20, 2021 - 17:45 SGTWorld's Edge Primis Komanda 404 Not Found EXO Clan","Round 4 Round 4 November 20, 2021 - 17:45 SGTWorld's Edge Primis Komanda 404 Not Found EXO Clan","Round 5 Round 5 November 20, 2021 - 18:20 SGTWorld's Edge Sutoraiku SnG AFTERMATH Gaming Taiwan","Round 5 Round 5 November 20, 2021 - 18:20 SGTWorld's Edge Sutoraiku SnG AFTERMATH Gaming Taiwan","Round 6 Round 6 November 20, 2021 - 18:55 SGTWorld's Edge Primis Komanda EXO Clan DML","Round 6 Round 6 November 20, 2021 - 18:55 SGTWorld's Edge Primis Komanda EXO Clan DML"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,PK,67,7,1,5,3,15,0,1,10,7,4,1,14
1,2.0,RET,57,6,10,1,6,11,2,13,9,10,4,4,2
2,3.0,STK,56,16,3,17,0,3,10,7,1,1,12,6,5
3,4.0,O3,54,8,0,8,0,1,15,4,4,9,9,7,0
4,5.0,BRGR,53,1,12,4,0,6,3,12,1,4,7,5,0
5,6.0,EXO,47,11,2,9,3,8,3,3,10,11,1,2,6
6,7.0,KAK,44,4,11,10,7,14,0,10,4,5,5,9,1
7,8.0,TX,43,5,7,3,10,18,3,14,0,8,0,15,8
8,9.0,ATH,39,13,0,2,9,4,8,11,1,17,0,10,3
9,10.0,LU,32,18,0,7,6,5,4,6,2,12,2,11,6
10,11.0,DML,31,9,3,13,0,9,1,5,7,18,0,3,4
11,12.0,404,30,3,0,11,0,2,2,2,0,20,0,12,1
12,13.0,INF,26,2,3,16,0,10,0,20,0,6,2,8,5
13,14.0,SNG,24,10,3,14,1,17,0,19,0,2,8,19,0
14,15.0,Magic,19,12,2,19,3,12,5,15,4,13,1,17,0
15,16.0,MBTN,13,14,0,6,4,16,0,18,2,14,0,20,2
16,17.0,PWLS,11,15,1,20,0,13,1,9,1,16,3,14,0
17,18.0,DNZ,10,17,0,15,3,19,0,8,2,15,0,13,0
18,19.0,AMG TW,10,19,0,18,0,20,0,16,0,3,3,16,0
19,20.0,Azure,4,20,0,12,0,7,0,17,0,19,0,18,0
