,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 23, 2021 - 16:00 SGTWorld's Edge DreamFire Team Burger StinkyB","Round 1 Round 1 October 23, 2021 - 16:00 SGTWorld's Edge DreamFire Team Burger StinkyB","Round 2 Round 2 October 23, 2021 - 16:35 SGTWorld's Edge BRP Perangai Esport Team Burger","Round 2 Round 2 October 23, 2021 - 16:35 SGTWorld's Edge BRP Perangai Esport Team Burger","Round 3 Round 3 October 23, 2021 - 17:10 SGTWorld's Edge Reckless Lads XV Lightning Unicorn MBT.NAGA","Round 3 Round 3 October 23, 2021 - 17:10 SGTWorld's Edge Reckless Lads XV Lightning Unicorn MBT.NAGA","Round 4 Round 4 October 23, 2021 - 17:45 SGTWorld's Edge SnG Lightning Unicorn Monkeyz","Round 4 Round 4 October 23, 2021 - 17:45 SGTWorld's Edge SnG Lightning Unicorn Monkeyz","Round 5 Round 5 October 23, 2021 - 18:20 SGTWorld's Edge 404 Not Found StinkyB Inside The Ring","Round 5 Round 5 October 23, 2021 - 18:20 SGTWorld's Edge 404 Not Found StinkyB Inside The Ring","Round 6 Round 6 October 23, 2021 - 18:55 SGTWorld's Edge StinkyB SnG DreamFire","Round 6 Round 6 October 23, 2021 - 18:55 SGTWorld's Edge StinkyB SnG DreamFire"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,STB,77,37,1010,190,11,73,77,121,11,29,88,112,1818
1,2.0,ITR,52,54,33,63,22,45,66,45,66,37,11,73,77
2,3.0,LU,50,170,0,54,77,29,77,29,99,151,44,200,0
3,4.0,DF,48,112,1919,200,11,180,0,190,22,141,0,37,66
4,5.0,BRP,48,45,33,112,88,63,22,131,0,45,55,82,22
5,6.0,BRGR,46,29,1010,37,77,54,33,160,0,63,33,170,0
6,7.0,SNG,45,63,11,180,33,170,33,112,1111,121,11,29,11
7,8.0,404,40,73,44,73,11,111,11,141,55,112,88,121,0
8,9.0,PG,39,121,11,29,66,131,22,92,33,54,66,102,22
9,10.0,MBTN,37,111,0,45,66,37,99,73,0,180,0,54,22
10,11.0,RL.XV,35,102,22,170,0,112,1212,200,0,170,0,131,66
11,12.0,PWLS,27,92,11,131,0,200,0,63,66,82,33,45,44
12,13.0,MON,25,180,0,92,44,160,0,37,66,92,44,180,0
13,14.0,WGG,23,131,0,151,0,121,44,102,11,73,11,63,66
14,15.0,DML,16,82,55,102,22,82,0,82,0,200,0,141,0
15,16.0,Magic,16,190,0,121,11,92,11,54,33,190,11,92,11
16,17.0,MDY,15,141,0,141,0,190,0,180,11,111,77,151,33
17,18.0,INF,15,151,0,82,44,151,0,151,0,102,0,111,33
18,19.0,WHIZ,8,160,0,160,22,141,0,170,11,131,33,190,0
19,20.0,O3,8,200,0,111,11,102,0,111,11,160,11,160,11
