,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 16:00 SGTWorld's Edge DML BRP Lightning Unicorn","Round 1 Round 1 December 4, 2021 - 16:00 SGTWorld's Edge DML BRP Lightning Unicorn","Round 2 Round 2 December 4, 2021 - 16:35 SGTWorld's Edge Team Burger Inside The Ring 404 Not Found","Round 2 Round 2 December 4, 2021 - 16:35 SGTWorld's Edge Team Burger Inside The Ring 404 Not Found","Round 3 Round 3 December 4, 2021 - 17:10 SGTWorld's Edge MDY DreamFire WEAREGODGAMERS","Round 3 Round 3 December 4, 2021 - 17:10 SGTWorld's Edge MDY DreamFire WEAREGODGAMERS","Round 4 Round 4 December 4, 2021 - 17:45 SGTWorld's Edge DreamFire MDY Lightning Unicorn","Round 4 Round 4 December 4, 2021 - 17:45 SGTWorld's Edge DreamFire MDY Lightning Unicorn","Round 5 Round 5 December 4, 2021 - 18:20 SGTWorld's Edge DreamFire Perangai Esport BRP","Round 5 Round 5 December 4, 2021 - 18:20 SGTWorld's Edge DreamFire Perangai Esport BRP","Round 6 Round 6 December 4, 2021 - 18:55 SGTWorld's Edge Team Burger Inside The Ring 404 Not Found","Round 6 Round 6 December 4, 2021 - 18:55 SGTWorld's Edge Team Burger Inside The Ring 404 Not Found"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,DF,96,20,0,9,4,2,15,1,14,1,19,5,5
1,2.0,BRGR,70,7,4,1,14,10,4,18,0,10,7,1,10
2,3.0,MDY,55,10,10,13,0,1,12,2,4,20,0,8,3
3,4.0,BRP,49,2,11,6,1,11,0,6,1,3,7,7,3
4,5.0,LU,47,3,4,11,5,7,5,3,10,11,0,6,1
5,6.0,ITR,46,4,0,2,5,17,0,8,1,6,4,2,8
6,7.0,404,41,5,2,3,6,5,6,9,0,7,0,3,0
7,8.0,WGG,40,18,0,18,0,3,2,5,7,4,5,11,9
8,9.0,PG,40,8,5,4,3,15,0,13,2,2,8,13,3
9,10.0,MON,28,11,4,10,1,14,0,16,5,16,3,4,6
10,11.0,DML,23,1,6,12,0,16,0,19,0,9,1,15,0
11,12.0,WHIZ,21,6,6,19,0,8,0,11,3,8,0,9,2
12,13.0,SNG,20,14,3,16,3,4,5,14,0,18,0,10,0
13,14.0,INF,20,9,0,17,0,6,3,4,2,5,0,17,1
14,15.0,O3,17,13,0,8,5,18,0,7,0,14,5,18,0
15,16.0,RL.XV,16,19,0,5,1,12,3,15,4,17,0,14,1
16,17.0,PWLS,14,15,0,7,3,13,0,10,2,15,0,12,0
17,18.0,STB,7,16,0,14,2,19,0,12,2,12,0,19,0
18,19.0,MBTN,6,12,0,15,0,9,0,17,0,13,1,20,0
19,20.0,Magic,4,17,1,20,1,20,0,20,0,19,0,16,2
