,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 20, 2021 - 16:00 SGTWorld's Edge Team Burger Inferno Esport 404 Not Found","Round 1 Round 1 November 20, 2021 - 16:00 SGTWorld's Edge Team Burger Inferno Esport 404 Not Found","Round 2 Round 2 November 20, 2021 - 16:35 SGTWorld's Edge Rage Entertainment Team ATHXHVY XSpark","Round 2 Round 2 November 20, 2021 - 16:35 SGTWorld's Edge Rage Entertainment Team ATHXHVY XSpark","Round 3 Round 3 November 20, 2021 - 17:10 SGTWorld's Edge Ogre 3 404 Not Found Sutoraiku","Round 3 Round 3 November 20, 2021 - 17:10 SGTWorld's Edge Ogre 3 404 Not Found Sutoraiku","Round 4 Round 4 November 20, 2021 - 17:45 SGTWorld's Edge Primis Komanda 404 Not Found EXO Clan","Round 4 Round 4 November 20, 2021 - 17:45 SGTWorld's Edge Primis Komanda 404 Not Found EXO Clan","Round 5 Round 5 November 20, 2021 - 18:20 SGTWorld's Edge Sutoraiku SnG AFTERMATH Gaming Taiwan","Round 5 Round 5 November 20, 2021 - 18:20 SGTWorld's Edge Sutoraiku SnG AFTERMATH Gaming Taiwan","Round 6 Round 6 November 20, 2021 - 18:55 SGTWorld's Edge Primis Komanda EXO Clan DML","Round 6 Round 6 November 20, 2021 - 18:55 SGTWorld's Edge Primis Komanda EXO Clan DML"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,PK,67,73,11,54,33,151,0,112,1010,73,44,112,1414
1,2.0,RET,57,63,1010,112,66,111,22,131,99,102,44,45,22
2,3.0,STK,56,160,33,170,0,37,1010,73,11,112,1212,63,55
3,4.0,O3,54,82,0,82,0,112,1515,45,44,92,99,73,0
4,5.0,BRGR,53,112,1212,45,0,63,33,121,11,45,77,54,0
5,6.0,EXO,47,111,22,92,33,82,33,37,1010,111,11,29,66
6,7.0,KAK,44,45,1111,102,77,141,0,102,44,54,55,92,11
7,8.0,TX,43,54,77,37,1010,180,33,141,0,82,0,151,88
8,9.0,ATH,39,131,0,29,99,45,88,111,11,170,0,102,33
9,10.0,LU,32,180,0,73,66,54,44,63,22,121,22,111,66
10,11.0,DML,31,92,33,131,0,92,11,54,77,180,0,37,44
11,12.0,404,30,37,0,111,0,29,22,29,0,200,0,121,11
12,13.0,INF,26,29,33,160,0,102,0,200,0,63,22,82,55
13,14.0,SNG,24,102,33,141,11,170,0,190,0,29,88,190,0
14,15.0,Magic,19,121,22,190,33,121,55,151,44,131,11,170,0
15,16.0,MBTN,13,141,0,63,44,160,0,180,22,141,0,200,22
16,17.0,PWLS,11,151,11,200,0,131,11,92,11,160,33,141,0
17,18.0,DNZ,10,170,0,151,33,190,0,82,22,151,0,131,0
18,19.0,AMG TW,10,190,0,180,0,200,0,160,0,37,33,160,0
19,20.0,Azure,4,200,0,121,0,73,0,170,0,190,0,180,0
