,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 16:00 SGTWorld's Edge Kakkoii XSpark BRP","Round 1 Round 1 December 5, 2021 - 16:00 SGTWorld's Edge Kakkoii XSpark BRP","Round 2 Round 2 December 5, 2021 - 16:35 SGTWorld's Edge MDY BRP Inside The Ring","Round 2 Round 2 December 5, 2021 - 16:35 SGTWorld's Edge MDY BRP Inside The Ring","Round 3 Round 3 December 5, 2021 - 17:10 SGTWorld's Edge Kakkoii EXO Clan MDY","Round 3 Round 3 December 5, 2021 - 17:10 SGTWorld's Edge Kakkoii EXO Clan MDY","Round 4 Round 4 December 5, 2021 - 17:45 SGTWorld's Edge DreamFire ATHXHVY Reckless Lads XV","Round 4 Round 4 December 5, 2021 - 17:45 SGTWorld's Edge DreamFire ATHXHVY Reckless Lads XV","Round 5 Round 5 December 5, 2021 - 18:20 SGTWorld's Edge EXO Clan Reckless Lads XV Primis Komanda","Round 5 Round 5 December 5, 2021 - 18:20 SGTWorld's Edge EXO Clan Reckless Lads XV Primis Komanda","Round 6 Round 6 December 5, 2021 - 18:55 SGTWorld's Edge MDY BRP Primis Komanda","Round 6 Round 6 December 5, 2021 - 18:55 SGTWorld's Edge MDY BRP Primis Komanda"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,EXO,68,92,44,73,0,29,1010,121,33,112,1414,45,55
1,2.0,DF,56,82,22,54,55,111,55,112,99,63,77,54,22
2,3.0,MDY,56,121,0,112,88,37,44,141,0,102,11,112,88
3,4.0,KAK,52,112,1010,151,11,112,1010,170,0,82,11,111,22
4,5.0,RL.XV,49,190,0,200,0,73,33,37,1212,29,1212,63,0
5,6.0,BRP,46,37,33,29,88,121,11,63,11,121,0,29,33
6,7.0,PK,42,45,66,92,11,200,0,82,0,37,22,37,1010
7,8.0,TX,41,29,33,45,22,170,22,54,55,92,55,121,33
8,9.0,RET,40,170,0,63,44,63,44,73,88,141,0,82,1212
9,10.0,MON,29,111,66,170,22,82,44,102,66,180,11,73,22
10,11.0,ITR,29,141,44,37,44,141,0,151,22,54,55,190,0
11,12.0,ATH,28,180,0,121,33,102,33,29,44,111,33,160,22
12,13.0,PG,26,102,33,111,44,131,22,160,33,73,44,92,11
13,14.0,DNZ,26,131,33,102,33,45,55,92,11,160,0,131,33
14,15.0,STB,16,63,11,190,0,54,22,131,0,151,0,151,33
15,16.0,STK,15,151,33,131,22,160,0,45,33,190,0,170,0
16,17.0,Azure,13,160,22,141,33,180,0,111,0,45,0,141,0
17,18.0,WHIZ,9,200,22,82,0,92,0,200,0,131,11,200,11
18,19.0,WGG,8,54,11,180,0,151,0,190,0,170,0,102,0
19,20.0,AMG TW,7,73,44,160,0,190,0,180,0,200,0,180,0
