,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 16, 2021 - 12:00 SGTWorld's Edge Reignite WEAREGODGAMERS Estrell","Round 1 Round 1 October 16, 2021 - 12:00 SGTWorld's Edge Reignite WEAREGODGAMERS Estrell","Round 2 Round 2 October 16, 2021 - 12:35 SGTWorld's Edge Reignite WHIZ Reckless Lads XV","Round 2 Round 2 October 16, 2021 - 12:35 SGTWorld's Edge Reignite WHIZ Reckless Lads XV","Round 3 Round 3 October 16, 2021 - 13:10 SGTWorld's Edge MDY Pavlova Reignite","Round 3 Round 3 October 16, 2021 - 13:10 SGTWorld's Edge MDY Pavlova Reignite","Round 4 Round 4 October 16, 2021 - 13:45 SGTWorld's Edge Reignite Evolution BERZERKER Perangai Esport","Round 4 Round 4 October 16, 2021 - 13:45 SGTWorld's Edge Reignite Evolution BERZERKER Perangai Esport","Round 5 Round 5 October 16, 2021 - 14:20 SGTWorld's Edge Reignite StinkyB Golden Sage","Round 5 Round 5 October 16, 2021 - 14:20 SGTWorld's Edge Reignite StinkyB Golden Sage","Round 6 Round 6 October 16, 2021 - 14:55 SGTWorld's Edge DreamFire Monkeyz We Are Trash","Round 6 Round 6 October 16, 2021 - 14:55 SGTWorld's Edge DreamFire Monkeyz We Are Trash"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RIG,117,112,99,112,99,37,44,112,1212,112,1212,54,1212
1,2.0,MDY,42,170,44,82,11,112,1313,160,0,131,33,82,44
2,3.0,WHIZ,41,190,0,29,99,63,44,141,0,54,66,92,33
3,4.0,WGG,41,29,55,131,22,82,77,170,33,102,33,63,44
4,5.0,GS,37,82,55,180,11,54,33,92,33,37,66,180,44
5,6.0,DF,36,131,0,111,0,45,0,200,0,180,33,112,1414
6,7.0,RL.XV,35,63,33,37,99,131,11,111,11,151,33,73,22
7,8.0,BRP,34,45,44,63,33,73,55,54,33,63,11,190,0
8,9.0,STB,32,200,11,54,66,180,0,131,33,29,88,170,0
9,10.0,ITR,30,102,11,45,55,200,0,45,22,170,11,45,44
10,11.0,MON,29,73,11,151,11,92,66,82,22,141,0,29,11
11,12.0,PG,28,111,0,121,22,190,0,37,1111,111,11,111,33
12,13.0,WAT,26,121,44,170,0,102,0,121,33,82,33,37,33
13,14.0,M2M,25,54,1111,141,11,160,11,151,11,92,22,141,0
14,15.0,EVO BERZ,25,151,11,92,44,170,0,29,55,121,11,151,0
15,16.0,Estrell,24,37,22,102,11,141,22,63,33,190,0,131,22
16,17.0,Pavlova,23,180,11,73,11,29,44,180,0,73,0,102,0
17,18.0,Xenomorph,16,160,0,190,11,151,0,73,11,45,44,160,11
18,19.0,NXL,14,92,0,200,0,121,11,102,44,200,11,121,22
19,20.0,PHN,12,141,22,160,0,111,88,190,0,160,0,200,0
