,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 16, 2021 - 16:00 SGTWorld's Edge Team Burger Sutoraiku AFTERMATH Gaming Taiwan","Round 1 Round 1 October 16, 2021 - 16:00 SGTWorld's Edge Team Burger Sutoraiku AFTERMATH Gaming Taiwan","Round 2 Round 2 October 16, 2021 - 16:35 SGTWorld's Edge 404 Not Found Primis Komanda Ogre 3","Round 2 Round 2 October 16, 2021 - 16:35 SGTWorld's Edge 404 Not Found Primis Komanda Ogre 3","Round 3 Round 3 October 16, 2021 - 17:10 SGTWorld's Edge Team Burger 404 Not Found Lightning Unicorn","Round 3 Round 3 October 16, 2021 - 17:10 SGTWorld's Edge Team Burger 404 Not Found Lightning Unicorn","Round 4 Round 4 October 16, 2021 - 17:45 SGTWorld's Edge Ogre 3 404 Not Found SnG","Round 4 Round 4 October 16, 2021 - 17:45 SGTWorld's Edge Ogre 3 404 Not Found SnG","Round 5 Round 5 October 16, 2021 - 18:20 SGTWorld's Edge SnG Team Burger 404 Not Found","Round 5 Round 5 October 16, 2021 - 18:20 SGTWorld's Edge SnG Team Burger 404 Not Found","Round 6 Round 6 October 16, 2021 - 18:55 SGTWorld's Edge Team Burger Inferno Esport DNZ","Round 6 Round 6 October 16, 2021 - 18:55 SGTWorld's Edge Team Burger Inferno Esport DNZ"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BRGR,92,1,8,5,0,1,12,5,0,2,6,1,13
1,2.0,O3,65,8,2,3,7,19,0,1,17,9,12,5,0
2,3.0,404,56,12,0,1,9,2,1,2,3,3,1,7,1
3,4.0,SNG,42,14,0,4,2,18,0,3,1,1,8,6,3
4,5.0,AMG TW,36,3,5,6,7,15,0,8,0,18,3,12,7
5,6.0,KAK,36,5,4,9,2,11,3,4,7,11,4,11,2
6,7.0,LU,36,10,3,11,1,3,7,9,5,15,0,8,5
7,8.0,DNZ,34,17,3,7,7,14,4,18,0,17,0,3,9
8,9.0,ATH,32,13,0,17,1,4,9,11,1,4,7,9,0
9,10.0,PK,30,4,7,2,2,16,0,19,3,14,2,15,0
10,11.0,EXO,30,7,5,8,5,13,4,7,2,6,0,18,2
11,12.0,TX,25,6,3,19,0,12,3,6,6,19,0,4,1
12,13.0,INF,25,18,0,10,0,9,2,12,1,7,1,2,4
13,14.0,RET,24,16,0,14,4,7,1,13,3,8,4,10,3
14,15.0,STK,23,2,3,12,1,8,4,16,1,12,0,13,0
15,16.0,Magic,19,15,7,18,1,17,0,14,0,10,4,16,3
16,17.0,StrawberryJam,17,11,0,15,0,6,4,15,4,20,0,14,2
17,18.0,MBTN,15,19,1,13,4,5,1,10,2,16,0,17,0
18,19.0,PWLS,12,9,2,16,1,20,0,20,0,5,3,19,0
19,20.0,DML,4,20,0,20,0,10,1,17,0,13,0,20,0
