Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,AM,85,14,3,1,17,1,10,1,7,6,2,16,6,Lobby 1
2.0,TSS,64,1,8,19,0,12,2,4,12,2,12,11,2,Lobby 1
3.0,Sussy Bakas,58,19,3,9,1,5,7,7,3,5,7,1,12,Lobby 1
4.0,LMX,50,4,2,7,3,2,5,6,4,4,1,3,3,Lobby 1
5.0,Select,42,5,10,4,0,8,5,19,1,15,0,2,5,Lobby 1
6.0,RL,41,7,5,11,1,3,8,10,0,7,7,8,2,Lobby 1
7.0,UNL,41,16,0,3,4,16,0,11,6,1,5,5,2,Lobby 1
8.0,SHEESH,39,2,8,13,8,19,0,16,3,9,6,10,0,Lobby 1
9.0,RT,38,3,4,2,6,13,0,5,4,10,0,12,0,Lobby 1
10.0,CenterZone,25,18,1,15,0,4,10,14,0,8,3,15,1,Lobby 1
11.0,CLX,23,15,1,5,5,11,0,15,0,11,0,6,6,Lobby 1
12.0,RCO,22,20,0,14,0,10,1,2,8,13,0,18,0,Lobby 1
13.0,CAS,21,12,5,16,1,7,0,8,0,20,0,4,4,Lobby 1
14.0,MoJo,21,13,1,20,0,18,1,9,3,3,3,9,1,Lobby 1
15.0,SLS,19,9,3,18,2,15,0,13,0,14,7,14,1,Lobby 1
16.0,NEAN,18,6,3,12,0,20,1,12,1,12,3,7,1,Lobby 1
17.0,IFE,17,10,0,10,0,17,2,3,3,16,0,20,1,Lobby 1
18.0,Stonks,15,17,0,6,1,14,3,20,0,17,0,13,6,Lobby 1
19.0,BLitLd Revengers,11,8,0,17,2,6,1,17,0,19,0,17,3,Lobby 1
20.0,Tijuana Piranas,11,11,1,8,3,9,1,18,1,18,0,19,0,Lobby 1
1.0,LM,90,1,12,1,11,5,0,9,7,1,15,7,0,Lobby 2
2.0,CPR Certified,65,15,1,5,8,1,13,3,12,14,0,13,5,Lobby 2
3.0,BAD,49,5,4,9,0,19,0,11,3,3,6,1,10,Lobby 2
4.0,EST,48,9,4,4,5,3,7,1,5,17,0,15,0,Lobby 2
5.0,2B1C,42,2,11,6,1,18,3,4,2,12,3,12,3,Lobby 2
6.0,OA,41,7,2,10,0,10,0,6,5,2,5,3,3,Lobby 2
7.0,Wonderboys,37,16,0,3,3,14,0,2,7,7,3,8,2,Lobby 2
8.0,O TAMA,36,3,7,11,2,17,0,10,5,11,3,5,4,Lobby 2
9.0,BP,36,8,3,7,3,6,5,5,0,15,3,6,6,Lobby 2
10.0,JOYBOYS,35,4,0,2,7,11,0,20,1,4,5,14,1,Lobby 2
11.0,Beamer Bros,29,11,0,12,1,2,5,18,0,13,1,4,5,Lobby 2
12.0,Never Lucky,28,6,3,13,0,4,8,12,0,5,2,11,0,Lobby 2
13.0,InevitableGaming,26,18,1,14,3,15,3,13,1,18,0,2,6,Lobby 2
14.0,MOAN,20,20,0,20,0,8,5,15,1,9,2,10,5,Lobby 2
15.0,RAWR,19,13,3,15,6,9,0,8,4,16,0,20,0,Lobby 2
16.0,AST,19,17,3,8,5,7,2,14,1,8,0,16,0,Lobby 2
17.0,GNR,16,19,0,19,0,12,2,7,2,6,5,18,0,Lobby 2
18.0,SUP,14,12,2,16,0,13,3,19,0,19,0,9,5,Lobby 2
19.0,LVG,11,14,2,18,0,16,0,17,0,10,6,17,0,Lobby 2
20.0,Bot Squad,2,10,0,17,0,20,0,16,0,20,0,19,0,Lobby 2
