Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,UC,63,1,17,15,3,1,15,8,1,16,0,20,0,Lobby 1
2.0,HE,60,15,3,13,2,16,0,2,14,2,12,7,6,Lobby 1
3.0,ORB.G,59,14,0,7,0,7,9,1,6,14,3,1,9,Lobby 1
4.0,ENG,55,3,4,5,10,6,1,11,4,1,9,16,0,Lobby 1
5.0,IBSG,52,9,0,1,18,5,0,20,1,10,4,4,4,Lobby 1
6.0,RPG,45,6,1,6,4,3,1,18,0,9,2,2,13,Lobby 1
7.0,ARZ,41,10,4,10,3,2,16,12,0,19,0,10,2,Lobby 1
8.0,Solid,40,4,3,14,3,10,0,3,12,7,1,9,1,Lobby 1
9.0,LAG,37,2,7,3,0,11,4,6,1,12,4,17,0,Lobby 1
10.0,AVA,29,18,1,11,2,8,3,7,0,5,3,5,6,Lobby 1
11.0,Ace1,28,11,2,8,0,4,1,14,0,3,8,13,0,Lobby 1
12.0,RUG,26,13,0,19,0,14,0,9,2,4,3,3,5,Lobby 1
13.0,BeastMode,23,16,0,2,5,18,3,17,0,15,0,6,2,Lobby 1
14.0,Zenith,22,8,4,16,0,9,2,4,3,6,1,18,0,Lobby 1
15.0,D4RK,20,19,3,17,3,15,1,19,1,13,6,15,3,Lobby 1
16.0,ARK5,20,5,4,4,0,13,0,16,0,17,0,8,4,Lobby 1
17.0,KaisenDONDON,19,7,2,9,4,12,0,13,0,11,3,11,1,Lobby 1
18.0,YaBaL,14,20,0,20,0,17,0,5,6,8,2,0,0,Lobby 1
19.0,C-VA KAG,8,17,1,18,0,19,0,10,5,18,0,19,0,Lobby 1
20.0,OC,6,12,0,12,0,20,0,15,1,20,1,14,0,Lobby 1
1.0,LFT BKGK,62,6,5,12,0,6,4,1,11,5,6,3,6,Lobby 2
2.0,Lunatics,58,5,8,2,7,4,4,3,3,3,4,16,0,Lobby 2
3.0,Marine,53,11,5,7,5,8,3,6,0,1,13,4,1,Lobby 2
4.0,TW,50,1,7,5,2,7,3,12,4,15,5,7,5,Lobby 2
5.0,FC Destroy,46,13,0,4,6,5,7,10,2,7,9,12,6,Lobby 2
6.0,HIT,46,7,4,1,5,1,5,18,0,11,0,15,3,Lobby 2
7.0,Black,44,18,0,3,11,14,0,20,0,2,1,1,3,Lobby 2
8.0,goo choki paa,36,19,0,13,0,3,12,5,5,19,0,11,6,Lobby 2
9.0,Joel Mark,35,14,5,15,3,2,5,14,0,14,3,10,4,Lobby 2
10.0,BlackGorillaN,32,2,8,14,1,20,0,17,0,6,3,5,3,Lobby 2
11.0,Atum,32,20,0,19,0,16,3,2,8,13,0,2,2,Lobby 2
12.0,RuinZ,30,16,3,10,7,9,2,9,5,4,1,14,0,Lobby 2
13.0,LapiLegends,23,3,3,6,2,11,3,19,0,16,0,6,1,Lobby 2
14.0,Fujii Gaming,22,10,1,20,0,10,2,16,2,10,2,9,7,Lobby 2
15.0,Crest,22,15,1,11,2,15,0,4,3,18,2,8,4,Lobby 2
16.0,SYTH,17,17,0,9,1,18,0,8,10,8,0,19,0,Lobby 2
17.0,NrTv.Vs,17,4,3,18,0,12,2,13,0,9,3,20,0,Lobby 2
18.0,Welfare,9,12,1,8,2,17,0,15,0,12,0,13,0,Lobby 2
19.0,EB,7,9,1,16,0,13,0,7,0,20,0,18,0,Lobby 2
20.0,KIBIINA-NO-OUCHI,6,8,1,17,0,19,0,11,0,17,0,17,2,Lobby 2
