,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings,League Standings
,Team,Team.1,Total,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
0,1.0,RID,52,3,4,9,12,12,12
1,2.0,RIG-N,41,7,1,12,7,5,9
2,3.0,RC,39,1,9,4,4,9,12
3,4.0,Flora,38,9,9,5,7,7,1
4,5.0,UNI,37,5,3,9,2,9,9
5,6.0,CR,31,12,3,3,5,1,7
6,7.0,456,27,7,12,1,3,2,2
7,8.0,IBSG,26,1,12,1,1,4,7
8,9.0,FL,25,1,5,1,9,7,2
9,10.0,BKGK,24,12,1,7,2,1,1
10,11.0,UC,22,0,3,1,9,4,5
11,12.0,V3,20,9,1,4,1,3,2
12,13.0,GTS,19,2,3,7,1,3,3
13,14.0,RXC,19,0,4,12,1,1,1
14,15.0,FAV,19,3,1,5,3,3,4
15,16.0,D4RK,17,4,1,0,12,0,0
16,17.0,LAG,16,2,0,0,1,12,1
17,18.0,FCD,15,5,5,2,1,2,0
18,19.0,A2,15,1,7,1,2,2,2
19,20.0,SG,15,3,0,1,5,2,4
20,21.0,BKMN,14,2,2,1,4,5,0
21,22.0,DTN,12,1,7,1,0,1,2
22,23.0,USG,11,0,2,3,0,1,5
23,24.0,MTR,9,0,2,3,1,0,3
24,25.0,LDN,9,1,1,0,3,1,3
25,26.0,FSV,8,2,0,1,1,3,1
26,27.0,ORF,8,1,2,2,0,2,1
27,28.0,CJAM,8,1,2,1,1,0,3
28,29.0,LFO,8,1,0,3,3,1,0
29,30.0,APXRS,8,4,0,0,2,1,1
30,31.0,RZ,6,2,1,2,0,0,1
31,32.0,NTH,6,0,2,2,0,0,2
32,33.0,SYTH,5,0,1,0,2,2,0
33,34.0,RPG,5,3,1,0,0,1,0
34,35.0,G8S,4,0,0,2,0,1,1
35,36.0,AVA,3,0,0,0,2,0,1
36,37.0,TW,3,2,0,0,1,0,0
37,38.0,Marine,3,1,0,2,0,0,0
38,39.0,ENG,1,0,1,0,0,0,0
39,40.0,Ace1,0,0,0,0,0,0,0
