,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 16:00 JSTWorld's Edge United Crew γ Crazy Raccoon CTG ibushiGin","Round 1 Round 1 November 21, 2021 - 16:00 JSTWorld's Edge United Crew γ Crazy Raccoon CTG ibushiGin","Round 2 Round 2 November 21, 2021 - 16:35 JSTWorld's Edge 456 RxR Clover Riddle","Round 2 Round 2 November 21, 2021 - 16:35 JSTWorld's Edge 456 RxR Clover Riddle","Round 3 Round 3 November 21, 2021 - 17:10 JSTWorld's Edge Riddle United Crew γ CTG ibushiGin","Round 3 Round 3 November 21, 2021 - 17:10 JSTWorld's Edge Riddle United Crew γ CTG ibushiGin","Round 4 Round 4 November 21, 2021 - 17:45 JSTWorld's Edge Riddle Crazy Raccoon 456","Round 4 Round 4 November 21, 2021 - 17:45 JSTWorld's Edge Riddle Crazy Raccoon 456","Round 5 Round 5 November 21, 2021 - 18:20 JSTWorld's Edge Flora esports FAV gaming Marine","Round 5 Round 5 November 21, 2021 - 18:20 JSTWorld's Edge Flora esports FAV gaming Marine","Round 6 Round 6 November 21, 2021 - 18:55 JSTWorld's Edge Team UNITE Apexers Flora esports","Round 6 Round 6 November 21, 2021 - 18:55 JSTWorld's Edge Team UNITE Apexers Flora esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RID,91,82,55,37,77,112,1010,112,1212,121,11,54,1818
1,2.0,UC,65,112,1212,54,77,29,66,92,44,102,66,141,0
2,3.0,Flora,48,160,0,73,11,111,22,73,33,112,1414,37,22
3,4.0,CR,45,29,88,45,77,200,0,29,55,82,0,200,0
4,5.0,BKMN,44,121,99,102,88,82,1010,151,33,111,11,73,33
5,6.0,FAV,43,151,11,92,55,63,44,180,0,29,1313,63,22
6,7.0,456,42,73,22,112,99,92,22,37,22,73,0,170,0
7,8.0,APXRS,40,92,44,141,33,45,66,141,0,131,11,29,77
8,9.0,A2,35,45,77,63,44,73,55,131,22,160,33,111,11
9,10.0,UNI,34,180,0,160,22,54,0,82,33,92,22,112,77
10,11.0,RXC,31,170,0,29,33,141,0,102,1212,200,11,82,11
11,12.0,FSV,30,63,11,180,0,121,44,54,55,180,55,121,66
12,13.0,IBSG,30,37,22,200,0,37,55,200,0,151,0,45,33
13,14.0,MTR,20,54,55,82,0,151,0,121,0,54,22,151,0
14,15.0,CJAM,18,111,0,131,22,102,22,160,0,63,22,131,44
15,16.0,Marine,16,200,0,121,0,131,0,111,11,37,22,92,11
16,17.0,ENG,14,102,0,170,0,160,0,63,22,45,22,160,0
17,18.0,Joel Mark,11,190,0,111,11,170,33,170,0,170,0,102,44
18,19.0,USG,11,141,0,151,0,190,0,45,22,141,0,180,11
19,20.0,DTN,3,131,11,190,0,180,0,190,0,190,11,190,0
