,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 31, 2021 - 16:00 JSTWorld's Edge Crazy Raccoon V3 VEGA FAV gaming","Round 1 Round 1 October 31, 2021 - 16:00 JSTWorld's Edge Crazy Raccoon V3 VEGA FAV gaming","Round 2 Round 2 October 31, 2021 - 16:35 JSTWorld's Edge ORTHROS FANG RIG North Pro Gaming team Selector","Round 2 Round 2 October 31, 2021 - 16:35 JSTWorld's Edge ORTHROS FANG RIG North Pro Gaming team Selector","Round 3 Round 3 October 31, 2021 - 17:10 JSTWorld's Edge Riddle Pro Gaming team Selector Meteor","Round 3 Round 3 October 31, 2021 - 17:10 JSTWorld's Edge Riddle Pro Gaming team Selector Meteor","Round 4 Round 4 October 31, 2021 - 17:45 JSTWorld's Edge RIG North V3 VEGA Good 8 Squad","Round 4 Round 4 October 31, 2021 - 17:45 JSTWorld's Edge RIG North V3 VEGA Good 8 Squad","Round 5 Round 5 October 31, 2021 - 18:20 JSTWorld's Edge FAV gaming Fascination Colors Destroy RIG North","Round 5 Round 5 October 31, 2021 - 18:20 JSTWorld's Edge FAV gaming Fascination Colors Destroy RIG North","Round 6 Round 6 October 31, 2021 - 18:55 JSTWorld's Edge Pro Gaming team Selector Crazy Raccoon Good 8 Squad","Round 6 Round 6 October 31, 2021 - 18:55 JSTWorld's Edge Pro Gaming team Selector Crazy Raccoon Good 8 Squad"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RIG-N,80,45,1010,29,66,54,66,112,99,37,66,45,11
1,2.0,RID,60,63,22,73,88,112,1717,141,55,111,33,82,33
2,3.0,GTS,56,82,22,37,99,29,33,73,0,82,11,112,66
3,4.0,FAV,45,37,44,92,55,170,22,180,11,112,1212,190,0
4,5.0,V3,45,29,44,82,22,73,33,29,88,151,33,111,0
5,6.0,CR,43,112,1111,160,33,111,11,190,0,170,0,29,66
6,7.0,MTR,38,54,66,54,11,37,22,131,11,73,55,131,33
7,8.0,ORF,37,111,0,112,1111,45,22,102,0,92,11,121,0
8,9.0,FCD,36,190,33,190,11,160,22,111,22,29,1111,102,55
9,10.0,G8S,33,121,0,121,0,141,0,37,77,45,44,37,0
10,11.0,UC,32,131,22,63,0,121,11,82,11,131,55,63,1212
11,12.0,FSV,31,200,11,102,22,102,55,160,11,102,33,73,1010
12,13.0,456,24,160,11,131,33,151,33,63,33,63,22,92,22
13,14.0,A2,22,180,0,170,0,131,0,54,55,190,0,54,88
14,15.0,BKMN,22,102,22,180,0,63,33,45,66,121,0,180,0
15,16.0,D4RK,14,151,22,45,22,190,22,170,22,160,0,200,0
16,17.0,LAG,13,92,22,200,0,200,0,200,0,54,11,151,33
17,18.0,SYTH,13,73,33,111,0,82,22,121,0,200,0,141,0
18,19.0,AVA,12,141,11,151,33,92,0,151,11,141,11,170,0
19,20.0,ENG,8,170,0,141,0,180,0,92,55,180,0,160,0
