,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 31, 2021 - 12:00 JSTWorld's Edge RxR Clover Northeption Hybrid Eclipse","Round 1 Round 1 October 31, 2021 - 12:00 JSTWorld's Edge RxR Clover Northeption Hybrid Eclipse","Round 2 Round 2 October 31, 2021 - 12:35 JSTWorld's Edge Team UNITE CTG ibushiGin DeToNator","Round 2 Round 2 October 31, 2021 - 12:35 JSTWorld's Edge Team UNITE CTG ibushiGin DeToNator","Round 3 Round 3 October 31, 2021 - 13:10 JSTWorld's Edge Team UNITE Flora esports Marine","Round 3 Round 3 October 31, 2021 - 13:10 JSTWorld's Edge Team UNITE Flora esports Marine","Round 4 Round 4 October 31, 2021 - 13:45 JSTWorld's Edge Flora esports TEQWING RxR Clover","Round 4 Round 4 October 31, 2021 - 13:45 JSTWorld's Edge Flora esports TEQWING RxR Clover","Round 5 Round 5 October 31, 2021 - 14:20 JSTWorld's Edge REJECT FENNEL BAKAGAKI","Round 5 Round 5 October 31, 2021 - 14:20 JSTWorld's Edge REJECT FENNEL BAKAGAKI","Round 6 Round 6 October 31, 2021 - 14:55 JSTWorld's Edge BAKAGAKIMissing: donut usg Team UNITE","Round 6 Round 6 October 31, 2021 - 14:55 JSTWorld's Edge BAKAGAKIMissing: donut usg Team UNITE"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RXC,73,112,66,180,0,45,1212,37,77,54,88,92,1010
1,2.0,UNI,69,63,22,112,99,112,1111,180,0,45,66,37,22
2,3.0,BKGK,57,141,99,102,22,131,11,141,22,37,33,112,1616
3,4.0,Flora,51,121,0,160,33,29,55,112,1010,63,22,63,33
4,5.0,RC,46,131,22,73,77,63,22,160,33,112,99,121,33
5,6.0,USG,44,102,33,54,11,102,22,63,88,121,44,29,55
6,7.0,HE,36,37,99,92,0,190,0,45,44,82,33,102,22
7,8.0,Joel Mark,33,92,66,121,44,121,22,111,22,141,44,45,44
8,9.0,Marine,29,45,0,82,11,37,33,73,33,131,44,200,0
9,10.0,DTN,27,180,0,37,11,170,66,92,66,111,11,131,22
10,11.0,NTH,27,29,44,151,11,92,11,121,0,102,11,151,44
11,12.0,FL,27,54,77,200,11,180,0,82,0,29,22,82,0
12,13.0,SG,26,160,44,45,99,151,11,170,0,190,44,170,22
13,14.0,CJAM,26,82,0,131,11,54,33,54,55,92,0,73,11
14,15.0,IBSG,24,151,0,29,88,111,33,190,0,151,0,111,0
15,16.0,Ace1,19,111,22,111,33,73,11,151,0,73,22,180,22
16,17.0,RPG,16,200,0,141,22,82,22,200,0,200,11,54,44
17,18.0,LDN,16,73,0,63,22,160,22,102,22,170,11,190,11
18,19.0,TW,14,190,11,170,0,141,0,29,33,180,0,160,0
19,20.0,APXRS,5,170,0,190,0,200,0,131,0,160,33,141,0
