,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 12:00 JSTWorld's Edge Donuts Unsold Stuff Gaming CatJAM Team UNITE","Round 1 Round 1 December 5, 2021 - 12:00 JSTWorld's Edge Donuts Unsold Stuff Gaming CatJAM Team UNITE","Round 2 Round 2 December 5, 2021 - 12:35 JSTWorld's Edge REJECT RxR Clover Ace1","Round 2 Round 2 December 5, 2021 - 12:35 JSTWorld's Edge REJECT RxR Clover Ace1","Round 3 Round 3 December 5, 2021 - 13:10 JSTWorld's Edge Team UNITE Ravens Zero LEDIAN MAGICAL","Round 3 Round 3 December 5, 2021 - 13:10 JSTWorld's Edge Team UNITE Ravens Zero LEDIAN MAGICAL","Round 4 Round 4 December 5, 2021 - 13:45 JSTWorld's Edge CTG ibushiGin CatJAM Flora esports","Round 4 Round 4 December 5, 2021 - 13:45 JSTWorld's Edge CTG ibushiGin CatJAM Flora esports","Round 5 Round 5 December 5, 2021 - 14:20 JSTWorld's Edge REJECT Sengoku Gaming Donuts Unsold Stuff Gaming","Round 5 Round 5 December 5, 2021 - 14:20 JSTWorld's Edge REJECT Sengoku Gaming Donuts Unsold Stuff Gaming","Round 6 Round 6 December 5, 2021 - 14:55 JSTWorld's Edge Donuts Unsold Stuff Gaming REJECT Team UNITE","Round 6 Round 6 December 5, 2021 - 14:55 JSTWorld's Edge Donuts Unsold Stuff Gaming REJECT Team UNITE"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RC,78,121,11,112,1313,54,55,54,33,112,1111,29,33
1,2.0,UNI,62,37,88,180,0,112,99,45,22,73,44,37,55
2,3.0,IBSG,57,111,33,131,44,45,1010,112,1414,111,0,102,44
3,4.0,USG,53,112,55,160,0,141,11,151,22,37,33,112,99
4,5.0,LDN,43,92,44,82,88,37,77,121,22,63,66,121,0
5,6.0,SG,43,102,11,54,11,131,55,92,33,29,77,45,33
6,7.0,CJAM,40,29,77,170,11,82,11,29,44,200,0,54,33
7,8.0,FL,35,141,11,45,33,151,11,73,22,45,1010,170,33
8,9.0,NTH,31,180,11,190,44,102,77,141,33,151,22,92,88
9,10.0,DTN,31,45,99,121,11,200,0,131,33,131,33,63,44
10,11.0,RZ,30,160,0,111,33,29,55,82,33,141,0,82,44
11,12.0,APXRS,25,63,44,63,0,63,33,102,22,180,0,151,44
12,13.0,Flora,24,131,11,102,11,92,0,37,55,102,22,131,0
13,14.0,RXC,23,73,55,29,33,111,0,111,0,170,0,141,0
14,15.0,BKGK,21,190,11,73,44,190,0,63,33,160,22,73,22
15,16.0,Ace1,18,151,0,37,22,73,11,180,0,92,0,190,22
16,17.0,TW,17,200,0,141,33,170,0,200,0,54,99,180,0
17,18.0,Marine,11,82,11,200,0,160,0,190,22,190,11,111,44
18,19.0,LFO,11,170,33,92,11,180,0,160,22,82,11,200,0
19,20.0,RPG,10,54,22,151,0,121,11,170,0,121,0,160,0
