,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 16:00 JSTWorld's Edge United Crew γ Crazy Raccoon CTG ibushiGin","Round 1 Round 1 November 21, 2021 - 16:00 JSTWorld's Edge United Crew γ Crazy Raccoon CTG ibushiGin","Round 2 Round 2 November 21, 2021 - 16:35 JSTWorld's Edge 456 RxR Clover Riddle","Round 2 Round 2 November 21, 2021 - 16:35 JSTWorld's Edge 456 RxR Clover Riddle","Round 3 Round 3 November 21, 2021 - 17:10 JSTWorld's Edge Riddle United Crew γ CTG ibushiGin","Round 3 Round 3 November 21, 2021 - 17:10 JSTWorld's Edge Riddle United Crew γ CTG ibushiGin","Round 4 Round 4 November 21, 2021 - 17:45 JSTWorld's Edge Riddle Crazy Raccoon 456","Round 4 Round 4 November 21, 2021 - 17:45 JSTWorld's Edge Riddle Crazy Raccoon 456","Round 5 Round 5 November 21, 2021 - 18:20 JSTWorld's Edge Flora esports FAV gaming Marine","Round 5 Round 5 November 21, 2021 - 18:20 JSTWorld's Edge Flora esports FAV gaming Marine","Round 6 Round 6 November 21, 2021 - 18:55 JSTWorld's Edge Team UNITE Apexers Flora esports","Round 6 Round 6 November 21, 2021 - 18:55 JSTWorld's Edge Team UNITE Apexers Flora esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RID,91,8,5,3,7,1,10,1,12,12,1,5,18
1,2.0,UC,65,1,12,5,7,2,6,9,4,10,6,14,0
2,3.0,Flora,48,16,0,7,1,11,2,7,3,1,14,3,2
3,4.0,CR,45,2,8,4,7,20,0,2,5,8,0,20,0
4,5.0,BKMN,44,12,9,10,8,8,10,15,3,11,1,7,3
5,6.0,FAV,43,15,1,9,5,6,4,18,0,2,13,6,2
6,7.0,456,42,7,2,1,9,9,2,3,2,7,0,17,0
7,8.0,APXRS,40,9,4,14,3,4,6,14,0,13,1,2,7
8,9.0,A2,35,4,7,6,4,7,5,13,2,16,3,11,1
9,10.0,UNI,34,18,0,16,2,5,0,8,3,9,2,1,7
10,11.0,RXC,31,17,0,2,3,14,0,10,12,20,1,8,1
11,12.0,FSV,30,6,1,18,0,12,4,5,5,18,5,12,6
12,13.0,IBSG,30,3,2,20,0,3,5,20,0,15,0,4,3
13,14.0,MTR,20,5,5,8,0,15,0,12,0,5,2,15,0
14,15.0,CJAM,18,11,0,13,2,10,2,16,0,6,2,13,4
15,16.0,Marine,16,20,0,12,0,13,0,11,1,3,2,9,1
16,17.0,ENG,14,10,0,17,0,16,0,6,2,4,2,16,0
17,18.0,Joel Mark,11,19,0,11,1,17,3,17,0,17,0,10,4
18,19.0,USG,11,14,0,15,0,19,0,4,2,14,0,18,1
19,20.0,DTN,3,13,1,19,0,18,0,19,0,19,1,19,0
