,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 17, 2021 - 12:00 JSTWorld's Edge D4RK Esports RIG North Sengoku Gaming","Round 1 Round 1 October 17, 2021 - 12:00 JSTWorld's Edge D4RK Esports RIG North Sengoku Gaming","Round 2 Round 2 October 17, 2021 - 12:35 JSTWorld's Edge Fascination Colors Destroy RIG North Sengoku Gaming","Round 2 Round 2 October 17, 2021 - 12:35 JSTWorld's Edge Fascination Colors Destroy RIG North Sengoku Gaming","Round 3 Round 3 October 17, 2021 - 13:10 JSTWorld's Edge BAKAGAKI Sengoku Gaming Pro Gaming team Selector","Round 3 Round 3 October 17, 2021 - 13:10 JSTWorld's Edge BAKAGAKI Sengoku Gaming Pro Gaming team Selector","Round 4 Round 4 October 17, 2021 - 13:45 JSTWorld's Edge BAKAGAKI Syth Gaming D4RK Esports","Round 4 Round 4 October 17, 2021 - 13:45 JSTWorld's Edge BAKAGAKI Syth Gaming D4RK Esports","Round 5 Round 5 October 17, 2021 - 14:20 JSTWorld's Edge V3 VEGA Radical Pop Gaming Lag Gaming","Round 5 Round 5 October 17, 2021 - 14:20 JSTWorld's Edge V3 VEGA Radical Pop Gaming Lag Gaming","Round 6 Round 6 October 17, 2021 - 14:55 JSTWorld's Edge V3 VEGA BAKAGAKI RIG North","Round 6 Round 6 October 17, 2021 - 14:55 JSTWorld's Edge V3 VEGA BAKAGAKI RIG North"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BKGK,72,141,33,63,33,112,1010,112,1111,160,33,29,55
1,2.0,V3,66,121,44,111,33,160,33,102,88,112,1212,112,88
2,3.0,RIG-N,58,29,66,29,1313,141,33,141,0,63,22,37,44
3,4.0,FCD,53,170,0,112,1313,45,1010,180,33,190,0,54,66
4,5.0,D4RK,42,112,1010,82,33,200,0,37,66,121,0,151,0
5,6.0,RPG,41,160,0,45,11,73,33,54,55,29,22,111,88
6,7.0,SG,40,37,44,37,0,29,55,92,0,82,11,82,11
7,8.0,GTS,35,190,0,92,22,37,44,151,0,73,1010,102,44
8,9.0,LAG,33,111,11,73,66,63,33,190,0,37,22,63,44
9,10.0,TW,27,63,66,131,0,54,22,45,33,111,22,200,0
10,11.0,HE,26,45,33,54,33,131,0,73,33,180,0,92,22
11,12.0,ORF,23,73,11,151,0,121,0,121,33,54,55,121,33
12,13.0,RC,22,54,66,151,0,170,11,111,55,170,33,180,11
13,14.0,FL,22,200,0,170,33,151,11,160,22,102,44,45,44
14,15.0,LDN,22,82,66,102,33,92,11,131,0,141,0,73,11
15,16.0,G8S,19,151,33,121,33,180,11,200,22,92,33,160,33
16,17.0,AVA,17,92,0,180,0,190,33,170,0,45,55,141,11
17,18.0,SYTH,17,180,0,190,0,102,0,29,33,131,0,170,22
18,19.0,Ace1,16,102,33,200,0,111,33,63,44,200,0,190,0
19,20.0,NTH,11,131,0,160,0,82,0,82,22,151,11,131,11
