,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 24, 2021 - 16:00 JSTWorld's Edge DeToNator Pro Gaming team Selector CTG ibushiGin","Round 1 Round 1 October 24, 2021 - 16:00 JSTWorld's Edge DeToNator Pro Gaming team Selector CTG ibushiGin","Round 2 Round 2 October 24, 2021 - 16:35 JSTWorld's Edge Team UNITE Flora esports Syth Gaming","Round 2 Round 2 October 24, 2021 - 16:35 JSTWorld's Edge Team UNITE Flora esports Syth Gaming","Round 3 Round 3 October 24, 2021 - 17:10 JSTWorld's Edge Flora esports CTG ibushiGin CatJAM","Round 3 Round 3 October 24, 2021 - 17:10 JSTWorld's Edge Flora esports CTG ibushiGin CatJAM","Round 4 Round 4 October 24, 2021 - 17:45 JSTWorld's Edge Fascination Colors Destroy CTG ibushiGin Pro Gaming team Selector","Round 4 Round 4 October 24, 2021 - 17:45 JSTWorld's Edge Fascination Colors Destroy CTG ibushiGin Pro Gaming team Selector","Round 5 Round 5 October 24, 2021 - 18:20 JSTWorld's Edge CTG ibushiGin Flora esports RxR Clover","Round 5 Round 5 October 24, 2021 - 18:20 JSTWorld's Edge CTG ibushiGin Flora esports RxR Clover","Round 6 Round 6 October 24, 2021 - 18:55 JSTWorld's Edge Donuts Unsold Stuff Gaming RxR Clover Fascination Colors Destroy","Round 6 Round 6 October 24, 2021 - 18:55 JSTWorld's Edge Donuts Unsold Stuff Gaming RxR Clover Fascination Colors Destroy"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,IBSG,64,37,11,82,0,29,33,29,44,112,1010,45,22
1,2.0,Flora,64,102,33,29,44,112,77,45,44,29,88,151,0
2,3.0,DTN,62,112,2323,45,88,141,0,54,77,160,0,190,22
3,4.0,FCD,60,82,77,54,33,190,0,112,1616,151,11,37,77
4,5.0,RXC,51,160,11,92,1010,102,33,121,0,37,55,29,1111
5,6.0,UNI,40,63,33,112,77,151,22,92,0,63,22,102,33
6,7.0,GTS,38,29,11,73,22,111,0,37,88,102,33,170,22
7,8.0,ORF,34,73,33,111,44,73,55,141,22,45,55,92,0
8,9.0,CJAM,31,111,22,102,0,37,22,160,0,54,99,141,33
9,10.0,USG,30,200,0,200,0,54,66,200,0,131,0,112,77
10,11.0,Joel Mark,28,141,0,131,44,92,77,102,44,73,22,121,11
11,12.0,SYTH,28,45,11,37,66,170,44,63,0,82,0,180,0
12,13.0,D4RK,21,121,0,180,22,82,33,73,33,170,22,73,22
13,14.0,V3,20,131,22,160,11,45,55,111,0,141,0,131,33
14,15.0,RIG-N,19,92,11,170,0,63,1010,170,0,111,22,160,0
15,16.0,LAG,19,190,0,63,44,180,0,190,0,92,11,54,55
16,17.0,APXRS,15,180,0,141,11,121,0,82,44,190,44,111,11
17,18.0,G8S,14,170,33,151,0,200,0,131,11,180,33,82,33
18,19.0,Marine,14,54,11,190,0,160,0,151,33,200,0,63,22
19,20.0,AVA,13,151,44,121,44,131,11,180,0,121,0,200,0
