,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 16:00 JSTWorld's Edge CTG ibushiGin Lag Gaming Flora esports","Round 1 Round 1 December 4, 2021 - 16:00 JSTWorld's Edge CTG ibushiGin Lag Gaming Flora esports","Round 2 Round 2 December 4, 2021 - 16:35 JSTWorld's Edge RIG North Lag Gaming RxR Clover","Round 2 Round 2 December 4, 2021 - 16:35 JSTWorld's Edge RIG North Lag Gaming RxR Clover","Round 3 Round 3 December 4, 2021 - 17:10 JSTWorld's Edge Team UNITE Apexers Lag Gaming","Round 3 Round 3 December 4, 2021 - 17:10 JSTWorld's Edge Team UNITE Apexers Lag Gaming","Round 4 Round 4 December 4, 2021 - 17:45 JSTWorld's Edge Syth Gaming Lag Gaming Marine","Round 4 Round 4 December 4, 2021 - 17:45 JSTWorld's Edge Syth Gaming Lag Gaming Marine","Round 5 Round 5 December 4, 2021 - 18:20 JSTWorld's Edge Flora esports Team UNITE CTG ibushiGin","Round 5 Round 5 December 4, 2021 - 18:20 JSTWorld's Edge Flora esports Team UNITE CTG ibushiGin","Round 6 Round 6 December 4, 2021 - 18:55 JSTWorld's Edge Pro Gaming team Selector Team UNITE V3 VEGA","Round 6 Round 6 December 4, 2021 - 18:55 JSTWorld's Edge Pro Gaming team Selector Team UNITE V3 VEGA"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,LAG,73,2,12,2,3,3,7,2,13,9,2,20,0
1,2.0,UNI,64,17,1,12,0,1,10,4,1,2,8,2,8
2,3.0,Flora,56,3,1,4,11,12,0,18,0,1,9,6,7
3,4.0,RIG-N,47,12,5,1,10,14,1,14,3,8,4,5,3
4,5.0,IBSG,47,1,8,7,2,6,2,10,0,3,6,8,0
5,6.0,V3,46,15,0,5,5,15,2,6,6,6,7,3,7
6,7.0,GTS,36,16,3,15,0,8,0,15,0,4,2,1,10
7,8.0,FCD,29,14,3,14,6,9,5,8,2,15,6,18,0
8,9.0,ORF,29,6,1,8,0,5,4,9,7,5,0,19,2
9,10.0,USG,28,7,3,10,3,18,0,5,4,10,0,7,4
10,11.0,SYTH,28,4,4,19,0,20,0,1,4,17,0,9,1
11,12.0,RXC,27,18,0,3,9,13,1,20,1,16,5,16,3
12,13.0,DTN,26,11,3,11,3,16,8,12,3,11,2,14,2
13,14.0,G8S,23,9,1,17,0,4,5,17,0,18,0,4,5
14,15.0,RZ,21,5,1,13,0,19,0,7,7,14,2,10,0
15,16.0,APXRS,21,10,5,20,0,2,4,19,0,12,0,17,0
16,17.0,AVA,20,8,3,9,0,7,2,13,4,19,1,13,1
17,18.0,Marine,19,13,0,16,0,10,2,3,1,7,2,15,0
18,19.0,D4RK,13,20,1,18,2,17,5,16,1,13,2,11,0
19,20.0,CJAM,13,19,0,6,2,11,0,11,2,20,0,12,3
