,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 17, 2021 - 16:00 JSTWorld's Edge Riddle Crazy Raccoon Flora esports","Round 1 Round 1 October 17, 2021 - 16:00 JSTWorld's Edge Riddle Crazy Raccoon Flora esports","Round 2 Round 2 October 17, 2021 - 16:35 JSTWorld's Edge 456 Crazy Raccoon Apexers","Round 2 Round 2 October 17, 2021 - 16:35 JSTWorld's Edge 456 Crazy Raccoon Apexers","Round 3 Round 3 October 17, 2021 - 17:10 JSTWorld's Edge FAV gaming A2 Apexers","Round 3 Round 3 October 17, 2021 - 17:10 JSTWorld's Edge FAV gaming A2 Apexers","Round 4 Round 4 October 17, 2021 - 17:45 JSTWorld's Edge Joel Mark Flora esports FAV gaming","Round 4 Round 4 October 17, 2021 - 17:45 JSTWorld's Edge Joel Mark Flora esports FAV gaming","Round 5 Round 5 October 17, 2021 - 18:20 JSTWorld's Edge Team UNITE CTG ibushiGin CatJAM","Round 5 Round 5 October 17, 2021 - 18:20 JSTWorld's Edge Team UNITE CTG ibushiGin CatJAM","Round 6 Round 6 October 17, 2021 - 18:55 JSTWorld's Edge Crazy Raccoon RxR Clover FOR7","Round 6 Round 6 October 17, 2021 - 18:55 JSTWorld's Edge Crazy Raccoon RxR Clover FOR7"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,CR,70,29,66,29,1212,121,44,111,0,180,0,112,1616
1,2.0,Flora,55,37,1010,151,0,92,1010,29,1010,141,0,111,44
2,3.0,456,53,45,33,112,1010,54,22,92,0,45,33,63,44
3,4.0,UNI,50,121,11,63,33,45,99,63,33,112,1010,200,0
4,5.0,APXRS,44,170,0,37,1313,37,22,141,0,102,66,92,44
5,6.0,FAV,44,63,33,141,22,112,55,37,66,92,22,131,0
6,7.0,RID,43,112,1414,82,0,190,11,131,11,63,44,73,22
7,8.0,BKMN,37,54,22,54,33,111,22,102,1010,121,33,102,33
8,9.0,FSV,34,73,55,131,33,82,11,190,0,54,55,37,33
9,10.0,Joel Mark,33,200,0,170,0,151,22,112,77,73,55,121,22
10,11.0,A2,29,111,0,190,0,29,99,180,11,131,44,151,33
11,12.0,Marine,27,190,0,45,55,141,44,45,22,111,0,141,33
12,13.0,CJAM,27,141,0,73,11,131,0,82,33,37,33,45,11
13,14.0,DTN,22,160,55,92,33,180,0,160,66,151,33,180,22
14,15.0,IBSG,22,92,11,180,0,63,22,170,0,29,55,190,0
15,16.0,MTR,20,131,0,121,0,102,11,121,0,82,44,54,44
16,17.0,USG,19,102,0,102,11,73,22,54,22,190,0,82,11
17,18.0,RXC,18,180,22,200,0,200,0,151,33,170,11,29,22
18,19.0,UC,13,151,11,111,0,160,33,73,44,160,0,170,0
19,20.0,ENG,4,82,0,160,0,170,0,200,0,200,11,160,11
