,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 12:00 JSTWorld's Edge Crazy Raccoon Good 8 Squad RIG North","Round 1 Round 1 December 5, 2021 - 12:00 JSTWorld's Edge Crazy Raccoon Good 8 Squad RIG North","Round 2 Round 2 December 5, 2021 - 12:35 JSTWorld's Edge Pro Gaming team Selector Riddle ORTHROS FANG","Round 2 Round 2 December 5, 2021 - 12:35 JSTWorld's Edge Pro Gaming team Selector Riddle ORTHROS FANG","Round 3 Round 3 December 5, 2021 - 13:10 JSTWorld's Edge Riddle Crazy Raccoon Meteor","Round 3 Round 3 December 5, 2021 - 13:10 JSTWorld's Edge Riddle Crazy Raccoon Meteor","Round 4 Round 4 December 5, 2021 - 13:45 JSTWorld's Edge Riddle V3 VEGA RIG North","Round 4 Round 4 December 5, 2021 - 13:45 JSTWorld's Edge Riddle V3 VEGA RIG North","Round 5 Round 5 December 5, 2021 - 14:20 JSTWorld's Edge Riddle 456 A2","Round 5 Round 5 December 5, 2021 - 14:20 JSTWorld's Edge Riddle 456 A2","Round 6 Round 6 December 5, 2021 - 14:55 JSTWorld's Edge United Crew γ Meteor FAV gaming","Round 6 Round 6 December 5, 2021 - 14:55 JSTWorld's Edge United Crew γ Meteor FAV gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RID,121,9,6,2,13,1,18,1,16,1,18,18,3
1,2.0,RIG-N,54,3,12,8,1,6,3,3,5,12,3,4,5
2,3.0,CR,45,1,8,16,0,2,11,13,0,14,0,16,3
3,4.0,UC,45,19,0,7,2,19,0,12,9,6,7,1,8
4,5.0,FAV,45,6,9,15,3,5,4,9,4,13,5,3,2
5,6.0,MTR,43,5,2,9,0,3,1,6,4,9,3,2,6
6,7.0,GTS,42,8,1,1,10,20,0,16,0,5,2,5,7
7,8.0,V3,41,13,4,12,1,15,4,2,5,7,4,7,5
8,9.0,A2,35,16,0,13,0,17,0,4,5,3,7,8,8
9,10.0,456,30,18,4,11,0,7,6,19,0,2,7,19,0
10,11.0,AVA,28,14,1,4,5,4,2,7,3,8,0,15,0
11,12.0,ORF,25,4,3,3,4,14,0,18,1,18,0,14,3
12,13.0,FSV,24,11,1,5,10,8,4,11,0,19,0,11,0
13,14.0,G8S,19,2,6,17,0,9,0,14,0,20,0,12,0
14,15.0,LAG,18,20,0,6,3,10,4,20,0,11,2,10,1
15,16.0,ENG,16,10,0,19,0,13,1,8,3,10,1,9,2
16,17.0,SYTH,16,17,0,14,0,11,0,5,2,4,0,6,0
17,18.0,FCD,14,7,1,10,0,16,2,10,3,15,0,20,0
18,19.0,BKMN,7,15,0,18,0,12,0,17,0,17,0,13,4
19,20.0,D4RK,5,12,0,20,2,18,0,15,1,16,0,17,0
