Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby
1.0,My Neck My Back,103,2,20,1,13,6,10,1,24,Lobby 10
2.0,Verticality,64,1,7,3,17,2,8,14,3,Lobby 10
3.0,NM,48,10,0,4,6,1,11,3,5,Lobby 10
4.0,Them Boiz,34,5,5,11,0,3,5,2,3,Lobby 10
5.0,TS,27,3,2,7,2,5,2,6,4,Lobby 10
6.0,VHS,26,6,2,8,2,4,6,5,2,Lobby 10
7.0,TOAOS GG,18,9,2,5,3,9,1,9,2,Lobby 10
8.0,We Better Word,16,7,0,2,2,14,0,13,0,Lobby 10
9.0,NA Assault,11,4,0,10,0,12,0,7,0,Lobby 10
10.0,Fallen Legacy,10,15,0,12,0,8,0,4,1,Lobby 10
11.0,Team XT4,9,14,1,6,0,13,0,8,1,Lobby 10
12.0,Aquatik,7,0,0,0,0,7,3,12,0,Lobby 10
13.0,Dark Matter,7,11,2,13,0,11,0,10,0,Lobby 10
14.0,DaBeehive,5,16,0,9,0,10,0,15,0,Lobby 10
15.0,Bandits,4,13,0,15,0,15,0,11,0,Lobby 10
16.0,Modern Esports,2,12,0,14,0,16,0,16,0,Lobby 10
1.0,TSS,93,1,18,1,12,1,11,3,9,Lobby 11
2.0,CLX,59,12,4,3,13,4,12,4,12,Lobby 11
3.0,INF,39,8,5,5,4,2,8,9,5,Lobby 11
4.0,FROG,38,15,0,4,7,5,3,1,6,Lobby 11
5.0,Crusaders,31,2,0,2,0,3,2,5,0,Lobby 11
6.0,Tilly Titans,17,13,2,14,0,7,0,2,1,Lobby 11
7.0,YND,15,14,0,8,1,8,3,7,3,Lobby 11
8.0,Team Savage,15,3,3,10,0,14,0,14,1,Lobby 11
9.0,TriCore,14,5,5,9,1,15,0,15,0,Lobby 11
10.0,Monke Mode 3B,14,9,1,13,0,6,4,6,0,Lobby 11
11.0,Bear Gang,13,6,0,6,0,12,0,8,4,Lobby 11
12.0,AEG Esports,11,4,2,15,0,9,0,12,0,Lobby 11
13.0,VATOS LOCOS,11,7,0,7,2,11,0,10,0,Lobby 11
14.0,Flamingo Gang,5,11,0,12,0,10,0,11,0,Lobby 11
15.0,On They Ayy,5,10,0,11,0,13,0,13,0,Lobby 11
1.0,EXAgents,55,2,8,1,7,6,3,3,6,Lobby 12
2.0,Controller Bots,41,1,10,7,5,4,4,9,0,Lobby 12
3.0,Select,39,10,6,3,8,7,2,6,8,Lobby 12
4.0,Vandals,36,15,0,13,0,3,6,1,9,Lobby 12
5.0,TAG NA,35,13,0,2,3,1,8,8,0,Lobby 12
6.0,Beamer Bros,32,3,2,9,0,5,4,2,4,Lobby 12
7.0,Shady Kings,27,7,1,12,3,8,6,4,6,Lobby 12
8.0,TRK,27,4,5,4,7,11,0,7,1,Lobby 12
9.0,PepegaBakeryInc,26,14,1,5,4,2,0,5,3,Lobby 12
10.0,Meow Syndicate,18,5,6,10,3,13,0,11,1,Lobby 12
11.0,The Wolf Union,9,6,0,6,0,15,0,10,0,Lobby 12
12.0,Faithwithhope,6,8,1,14,0,14,0,13,0,Lobby 12
13.0,Bloody Hunters,6,9,0,11,0,9,0,14,0,Lobby 12
14.0,Passivaggressive,6,12,0,8,0,10,0,12,0,Lobby 12
15.0,Apex Scrubs,3,11,0,15,0,12,0,0,0,Lobby 12
1.0,LZR,87,1,12,1,18,12,3,1,17,Lobby 13
2.0,ZERO,45,4,3,2,6,3,7,7,5,Lobby 13
3.0,Nobody,45,3,5,12,0,1,7,2,4,Lobby 13
4.0,1 vs Lobby,39,8,4,5,10,2,7,8,1,Lobby 13
5.0,Stick Drift,27,5,2,9,3,6,2,4,6,Lobby 13
6.0,AZA,22,6,4,4,1,9,5,9,0,Lobby 13
7.0,The Kant Krew,20,11,1,3,3,4,1,12,1,Lobby 13
8.0,TTV Squad,20,2,2,8,0,5,0,6,0,Lobby 13
9.0,Sauce Packets,18,10,3,11,0,7,1,3,1,Lobby 13
10.0,AFK,15,9,0,6,0,10,3,5,1,Lobby 13
11.0,Vendetta,8,7,0,14,0,8,0,10,0,Lobby 13
12.0,Hunt Legends,5,14,0,10,0,11,0,13,0,Lobby 13
13.0,Watson 2 Strong,5,12,0,7,0,13,0,0,0,Lobby 13
14.0,SQUAD,4,13,0,13,0,14,0,11,0,Lobby 13
15.0,Mid Piece,0,0,0,0,0,0,0,0,0,Lobby 13
1.0,FNG NEW ERA,79,1,15,8,7,2,4,1,18,Lobby 14
2.0,IFE,52,6,0,1,12,3,7,3,4,Lobby 14
3.0,MXGamers,47,3,8,12,0,1,12,5,3,Lobby 14
4.0,Sussy Bakas,29,4,6,5,8,6,2,14,0,Lobby 14
5.0,Chesco,28,2,2,6,1,13,0,2,3,Lobby 14
6.0,SCARRA LOVERS,22,5,5,3,0,15,1,12,3,Lobby 14
7.0,DoorKickingGang,20,12,3,9,3,7,4,7,1,Lobby 14
