Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,WGG,68,1,9,10,7,2,16,5,9
2.0,DREAM,48,2,8,8,1,12,0,1,15
3.0,Estrell,37,4,5,5,2,10,3,2,7
4.0,Quentiam,36,11,2,1,9,5,0,6,5
5.0,BTCxWGG,31,3,6,14,0,9,4,3,4
6.0,Exusiai,30,13,0,3,3,1,5,10,0
7.0,Teriyaki Boyz,25,5,3,4,5,8,0,4,1
8.0,Boink Gang,24,8,3,2,8,14,0,14,0
9.0,Rogue_One,21,7,1,6,0,3,6,11,0
10.0,Hardstuck D4,20,6,1,11,3,7,6,7,0
11.0,Prey,14,10,0,7,0,4,2,9,0
12.0,Freedom,6,9,0,13,1,11,0,13,0
13.0,Waht Are WeDoing,6,14,0,12,0,6,0,12,0
14.0,Saint,6,12,0,9,0,13,0,8,0
