Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,MBTN,78,1,10,2,6,4,13,1,11
2.0,HeadHunters,53,2,6,3,9,1,9,13,0
3.0,4Thumbs1Arm,49,3,5,1,8,2,7,14,0
4.0,Warsoul Hammer,42,6,2,6,2,5,4,2,15
5.0,60 Hurtz,22,4,0,4,1,11,0,3,3
6.0,PWLS,17,7,8,12,1,9,0,12,1
7.0,Kopi,17,5,0,10,0,3,0,11,3
8.0,RJININ,15,9,1,5,3,12,2,10,0
9.0,INF,14,8,0,7,4,10,0,7,0
10.0,Elegants,12,13,0,14,0,6,1,5,2
11.0,Conquerors,12,10,0,8,2,7,0,6,0
12.0,Informal Squad,9,12,2,11,0,8,1,8,0
13.0,GOB Valhalla,9,14,0,13,0,14,0,4,1
14.0,Speed,7,11,0,9,1,13,0,9,0
