,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 9, 2021 - 14:20 PDTWorld's Edge Team Animo Truth & Honor Apelization","Round 1 Round 1 October 9, 2021 - 14:20 PDTWorld's Edge Team Animo Truth & Honor Apelization","Round 2 Round 2 October 9, 2021 - 14:55 PDTWorld's Edge TEAM Workaholics Sussy Bakas F451","Round 2 Round 2 October 9, 2021 - 14:55 PDTWorld's Edge TEAM Workaholics Sussy Bakas F451","Round 3 Round 3 October 9, 2021 - 15:30 PDTWorld's Edge Apelization APEX BOIZ Sussy Bakas","Round 3 Round 3 October 9, 2021 - 15:30 PDTWorld's Edge Apelization APEX BOIZ Sussy Bakas","Round 4 Round 4 October 9, 2021 - 16:05 PDTWorld's Edge Sussy Bakas Team Animo Vandals","Round 4 Round 4 October 9, 2021 - 16:05 PDTWorld's Edge Sussy Bakas Team Animo Vandals"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,Team Amino (missing),22,1,10,0,0,0,0,0,0
1,2.0,T&H,18,2,9,0,0,0,0,0,0
2,3.0,Sussy Bakas,15,4,10,0,0,0,0,0,0
3,4.0,ROT,13,5,9,0,0,0,0,0,0
4,5.0,Aplization (missing),11,3,4,0,0,0,0,0,0
5,6.0,High Dexterity,6,7,3,0,0,0,0,0,0
6,7.0,Unsigned Talent,4,19,4,0,0,0,0,0,0
7,8.0,F451,4,9,2,0,0,0,0,0,0
8,9.0,APEX BOIZ,3,14,2,0,0,0,0,0,0
9,10.0,TEAM Workaholics,3,8,1,0,0,0,0,0,0
10,11.0,Vandals,3,6,0,0,0,0,0,0,0
11,12.0,SickksT9 Fanclub (missing),2,18,2,0,0,0,0,0,0
12,13.0,Bocek Bandits,2,11,1,0,0,0,0,0,0
13,14.0,Undisputed,2,12,1,0,0,0,0,0,0
14,15.0,VermilionKnights,2,10,0,0,0,0,0,0,0
15,16.0,WraithsSquirtgun,1,16,1,0,0,0,0,0,0
16,17.0,Darlah (missing),1,13,0,0,0,0,0,0,0
17,18.0,Unknown,1,15,0,0,0,0,0,0,0
18,19.0,Drop Zone,0,17,0,0,0,0,0,0,0
19,20.0,Team WishList (missing),0,20,0,0,0,0,0,0,0
