Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,0_Reverse,57,37,77,37,1212,29,88,54,33
2.0,We Need Team,54,92,44,29,44,112,99,63,1111
3.0,ARK5,33,112,22,73,33,54,55,121,33
4.0,YaBaL,33,29,0,45,44,121,0,29,55
5.0,SyS,32,54,22,112,77,82,33,92,0
6.0,LLGS,25,63,55,111,0,73,0,45,88
7.0,BEXT,25,111,0,92,0,111,33,112,66
8.0,We Can Do it,24,45,77,121,0,131,0,37,33
9.0,NrTv.Vs,20,73,33,54,0,45,33,82,0
10.0,WOW.AXIS,20,131,0,63,33,37,33,73,0
11.0,BeastMode,8,102,0,82,11,102,0,111,0
12.0,RDNS,8,82,0,131,0,63,0,102,0
13.0,RAZE,6,121,0,102,0,92,0,131,0
