Standings,Team.1,Total
1.0,Aisle 5,102
2.0,ZERO,51
3.0,Lorax,39
4.0,Razer 3dge Black,28
5.0,NightMare Red,28
6.0,Exoterran Y,26
7.0,L1FT,21
8.0,Audio Visual,13
9.0,Swagnificent,12
10.0,Vertic,11
11.0,ObviouslyMX,11
12.0,BootyBoyz,9
13.0,KING OF HELL,8
14.0,Mist Gaming,5
