Standings,Team.1,Total
1.0,Jacked and Tan,87
2.0,MoJo,52
3.0,UORG,48
4.0,BobaBallers,27
5.0,Black Panthers,26
6.0,G7 Legends,21
7.0,Sopa de Mancos,17
8.0,SolarImpact,17
9.0,Elation Esports,17
10.0,TTN ALPHA,16
11.0,Los Nenuckles,12
12.0,Tin Roof Tacos,6
13.0,Krazy Krew,6
14.0,WRLDDomination,2
