Standings,Team.1,Total
1.0,NBL,66
2.0,My Neck My Back,62
3.0,The Semi Pros,47
4.0,Titanes,37
5.0,LadyandTheTramps,32
6.0,Phantom Troupe,30
7.0,On They Ayy,27
8.0,Dream,14
9.0,Faithwithhope,13
10.0,Alfa Lobo,10
11.0,The Goon Squad,9
12.0,Team PreMid,8
13.0,Mercurial Gaming,7
14.0,Hunter Legends,6
15.0,Crew 686,6
